ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-19,12347.974657939156,11780.68210984637,12874.664615333779,
2023-05-20,12308.599628450547,11744.730264514603,12849.1923304268,-0.3188784442741954
2023-05-21,12366.417538453827,11826.985487039588,12962.141253387417,0.4697358899353299
2023-05-22,12362.811569251493,11811.442391946257,12898.437083648703,-0.029159368031372868
2023-05-23,12382.932405706228,11802.0390689227,12879.005732921214,0.16275291702074757
2023-05-24,12383.98941015412,11841.656377101552,12924.446453697601,0.008535978500567865
2023-05-25,12375.344009801604,11787.194278807678,12964.837897223233,-0.06981110905527332
2023-05-26,12408.368764653625,11826.444941256035,12947.283028598798,0.26685928751448706
2023-05-27,12394.571717834448,11867.4624872775,12956.648964903654,-0.11119146344586994
2023-05-28,12473.914017104376,11900.692450685372,12995.506929561447,0.6401374817635919
2023-05-29,12487.813475464036,11941.995887828496,13057.755932858572,0.11142820401519593
2023-05-30,12520.39831683374,11980.422940563487,13135.200371157645,0.2609331203875298
2023-05-31,12528.675632540038,12019.250260505067,13085.638534822296,0.06611064198467353
2023-06-01,12521.734084035916,11984.578597614662,13096.748405557819,-0.055405285504350754
2023-06-02,12550.658366059475,12020.646039296755,13131.727912630717,0.23099262314183466
2023-06-03,12527.566665802167,11992.90735947929,13105.024757482832,-0.1839879597054006
2023-06-04,12592.07107227942,12011.443071136191,13142.738081602623,0.5148997263238364
2023-06-05,12586.91827637013,11999.60437365128,13135.531799035482,-0.04092095636779591
2023-06-06,12596.503863635555,12049.513586941996,13150.022574616116,0.07615515613079715
2023-06-07,12578.878833985587,12013.13432279769,13133.53892008533,-0.13992001146324595
2023-06-08,12544.023834323345,11972.747349597023,13086.392753201113,-0.2770914651635814
2023-06-09,12543.783778895184,11973.801965845962,13077.938842066702,-0.0019137035398797408
2023-06-10,12491.786764507182,11928.704245235473,13051.515392043471,-0.4145241603692673
2023-06-11,12528.020132120258,11983.672625799682,13063.69198110054,0.2900575257658522
2023-06-12,12497.086486464814,11939.270377626355,13046.7823506409,-0.2469156764534186
2023-06-13,12483.96267370031,11883.04203292114,13048.183529413207,-0.10501497912108748
2023-06-14,12447.834925645113,11906.448976561416,13023.506124480453,-0.28939327198811426
2023-06-15,12399.441883683945,11852.539389273777,12890.410968677359,-0.3887667393585703
2023-06-16,12391.033416965332,11838.397378034882,12934.502742929883,-0.06781326770584073
2023-06-17,12337.181691701231,11795.997714889474,12863.176890644938,-0.4346023729576043
2023-06-18,12377.489922533367,11852.667638345225,12911.700082561869,0.3267215466174811
2023-06-19,12357.486583004098,11814.504199486317,12933.814920425379,-0.16161063070512238
2023-06-20,12361.657094545091,11799.38446513035,12917.007643797206,0.03374886562068635
2023-06-21,12349.139945244584,11790.57318876277,12904.589399155719,-0.10125785891627048
2023-06-22,12330.17421876231,11801.49233764221,12921.99529622684,-0.15357933075799135
2023-06-23,12356.120625910387,11849.780684147336,12960.353908693343,0.21043017468964642
2023-06-24,12341.203916174733,11797.61496885632,12851.604926958635,-0.1207232446758022
2023-06-25,12423.393512512941,11873.979727107502,13020.571114346201,0.6659771355895794
2023-06-26,12447.973943504208,11905.788493834123,13005.357028354372,0.19785601226034455
2023-06-27,12497.884975758956,11907.140020055824,13048.671738748964,0.40095707527403324
2023-06-28,12531.311070715838,12032.65969958487,13075.077822524667,0.2674540133927872
2023-06-29,12557.26144101132,12005.256008293498,13124.808155596791,0.20708424002118253
2023-06-30,12625.676131700428,12081.666616809576,13184.718447671332,0.5448217432637792
