ds,yhat,yhat_lower,yhat_upper,growth_percent
2025-01-01,2624.967467758215,2458.2167584965446,2787.9120819290697,
2025-01-02,2598.761028015318,2432.9390663222857,2772.267513596342,-0.99835293445667
2025-01-03,2581.621753337455,2402.7671978002795,2737.431435040732,-0.6595171504073294
2025-01-04,2608.9956078936575,2446.7002144153303,2777.9784143622087,1.0603356018678678
2025-01-05,2504.6536164506942,2331.1990378799987,2670.574444629311,-3.9993164851359286
2025-01-06,2556.8438176692525,2386.29690671975,2727.653416346675,2.083729297966408
2025-01-07,2551.574763124689,2378.839392168331,2726.4492921766055,-0.20607651152374507
2025-01-08,2582.169957340828,2412.1979759241212,2753.3612528610947,1.199071046567024
2025-01-09,2569.2188388201907,2396.3566941997565,2737.708408139741,-0.5015594920008581
2025-01-10,2562.862503604512,2387.9716738676702,2726.5374834628738,-0.24740341770955743
2025-01-11,2598.584922992518,2425.271144564862,2769.010063493101,1.393848454131441
2025-01-12,2500.357097203848,2338.4578893325265,2666.0443582240346,-3.780050631385612
2025-01-13,2556.496390824939,2392.3269567021443,2721.807800682916,2.245251035696949
2025-01-14,2553.343305702105,2386.5506623464257,2723.1875056238828,-0.12333618518493017
2025-01-15,2584.4650546688076,2408.0157087052153,2735.5732402442322,1.2188626925804025
2025-01-16,2570.7946404798827,2406.5146909453097,2741.5306695044087,-0.5289455999503478
2025-01-17,2562.7771928432408,2397.132608471871,2737.2644630974114,-0.3118665143609145
2025-01-18,2596.2088890274763,2437.345267928156,2770.5782595929277,1.3045104458396128
2025-01-19,2495.4515252873643,2329.672381653524,2662.536809987944,-3.8809420985325693
2025-01-20,2548.9980177247094,2385.2978316081794,2715.838358219602,2.145763678225676
2025-01-21,2543.5439778832524,2369.644239512694,2707.668863472044,-0.213967990697983
2025-01-22,2572.8445361945573,2414.3101826092193,2732.6937559959947,1.151957998999853
2025-01-23,2558.0479891501345,2389.8121642860115,2722.3056332477317,-0.5751045909018648
2025-01-24,2549.711277451435,2381.482017079185,2726.0700004683654,-0.32590130185435884
2025-01-25,2583.69684199761,2422.301430597213,2750.559388825055,1.3329181561351433
2025-01-26,2484.4691575972956,2317.572502037099,2666.0611343641353,-3.8405312414128145
2025-01-27,2540.378834220286,2376.5347041798705,2710.3832634388095,2.25036710365365
2025-01-28,2538.1418860567264,2361.310803334661,2704.475703350737,-0.08805569206555841
2025-01-29,2571.3627139191285,2403.976121715544,2730.719804342934,1.3088640964045606
2025-01-30,2561.0748279569057,2404.0764401727147,2726.9825753267014,-0.40009470101332045
2025-01-31,2557.637175134226,2389.760527442645,2726.9231242887986,-0.134226957570871
2025-02-01,2596.6994826666296,2428.8738880963433,2768.139163865543,1.5272810354875155
2025-02-02,2502.589840326405,2338.7571183259224,2674.4292054351504,-3.624202298664936
2025-02-03,2563.3247701051346,2394.9200851449577,2729.6472529856082,2.4268830952661524
2025-02-04,2565.5016483724476,2401.6310127815022,2724.7303655175556,0.08492401324642351
2025-02-05,2602.4912793480257,2430.5254800926027,2763.500458142671,1.4418088953107588
2025-02-06,2595.18704370643,2420.6647250171122,2761.601262276558,-0.2806632129589981
2025-02-07,2593.7813630853425,2430.6714444439635,2756.3717399250168,-0.054164905936027186
2025-02-08,2633.7968411673187,2462.4784049229593,2809.420241862841,1.5427467654550941
2025-02-09,2539.560375049867,2378.6294758575546,2715.319210931839,-3.577970200453473
2025-02-10,2598.9330491629157,2444.4240395878137,2772.3261410425553,2.337911502178125
2025-02-11,2598.6081945798464,2434.879584517675,2758.539270126128,-0.012499536422216906
2025-02-12,2631.964956724174,2454.9746614570613,2800.1780001434163,1.2836395349596241
2025-02-13,2620.016514774951,2453.8587616640625,2786.3978012044613,-0.45397420352034645
2025-02-14,2613.0569068913665,2429.6187424554555,2778.7430190500836,-0.2656322143138157
2025-02-15,2646.748115892191,2488.4296427833197,2821.4124813596786,1.2893408066227519
2025-02-16,2545.6711191616223,2366.5157603751354,2709.164132764645,-3.8189125789363843
2025-02-17,2597.7665989863367,2445.08232322597,2771.502516931291,2.0464340201915565
2025-02-18,2590.0305136998095,2415.5419475251247,2755.7071484637745,-0.29779755000106656
2025-02-19,2616.0216725559862,2449.851111775264,2787.579589400628,1.003507824278449
2025-02-20,2597.003395002524,2427.2186335466604,2761.3909308516577,-0.7269923545732859
2025-02-21,2583.4565873627303,2410.1484644304837,2751.4311348319234,-0.5216322653201821
2025-02-22,2611.220296976871,2445.732574257704,2782.1323245780413,1.0746729691510915
2025-02-23,2505.1189110814194,2351.7754385370977,2678.0874005174637,-4.063287422294093
2025-02-24,2553.1145793875025,2373.623745242733,2726.2346746089315,1.915903795774887
2025-02-25,2542.402812744428,2369.7537956057145,2706.488295858378,-0.41955683186158943
2025-02-26,2566.578091407999,2399.818200435842,2731.5377024859613,0.9508830993415485
2025-02-27,2546.9743347717085,2371.8221765097587,2721.7043853183636,-0.7638090850193513
2025-02-28,2534.050739384614,2355.8214693994087,2706.9875189407326,-0.507409721827945
2025-03-01,2563.5932093695687,2388.6660689515625,2731.588248678092,1.1658199863878282
2025-03-02,2460.4257427819557,2292.7785793915864,2623.7288221927643,-4.024330623538496
2025-03-03,2512.2829500114344,2345.8718864121133,2680.000915229264,2.1076517908175108
2025-03-04,2506.3141184233405,2332.6501961496388,2677.3828023739334,-0.23758596093114148
2025-03-05,2535.9150567678744,2368.4320488408384,2703.6519815005063,1.1810546063218519
2025-03-06,2522.275066198664,2358.3286762874427,2690.0129213737428,-0.5378725337352286
2025-03-07,2515.6424632440844,2350.3660785758357,2675.309984736409,-0.2629611275734245
2025-03-08,2551.5928169070908,2382.0112001886064,2707.1820459951628,1.4290724611416339
2025-03-09,2454.829272232853,2275.219358821193,2617.939309454232,-3.7922800234063025
2025-03-10,2512.778587180527,2351.5862810400176,2679.056812652472,2.3606250586610145
2025-03-11,2512.5056607707315,2341.99365683007,2677.0864945475773,-0.010861538345963151
2025-03-12,2547.2121378355273,2385.9442221715085,2719.213286752813,1.3813492087476176
