ds,yhat,yhat_lower,yhat_upper,growth_percent
2025-01-01,7946.260283259531,7296.633474890234,8527.729425060508,
2025-01-02,7345.730428974146,6737.375282571358,8013.244644518507,-7.557389676128878
2025-01-03,6817.974831010964,6211.886291421045,7444.149177781119,-7.184521717289371
2025-01-04,6430.091387004872,5801.907458090567,7062.069561607233,-5.689129890034772
2025-01-05,6198.225124546828,5593.912952729185,6817.462494792947,-3.6059559421914633
2025-01-06,5992.866552426474,5386.218229992903,6611.689413833561,-3.313183500016348
2025-01-07,5756.045197865834,5123.568610539037,6378.471308807238,-3.9517208082124444
2025-01-08,5570.722346736449,4955.228686251255,6207.175681929948,-3.219621194046507
2025-01-09,5346.264882186119,4701.931453495731,5981.134649828236,-4.029234461520526
2025-01-10,5175.032747448508,4550.573187436441,5772.246622098188,-3.2028367189242846
2025-01-11,5118.249252009228,4507.752301207715,5773.623363987046,-1.0972586688900998
2025-01-12,5187.429994536419,4541.014010698428,5850.33902547296,1.3516485642045106
2025-01-13,5249.851129769498,4580.120262230131,5879.280473358002,1.203315231218971
2025-01-14,5245.4245197563205,4583.177017882375,5907.9092213715385,-0.0843187721662364
2025-01-15,5255.95342702962,4673.274173835849,5873.894012886165,0.20072555107109036
2025-01-16,5190.997134985606,4587.311959412458,5847.549712606099,-1.2358612561132132
2025-01-17,5143.846945947913,4488.631656268372,5731.033657913883,-0.9083069747797823
2025-01-18,5177.592049632813,4593.883433569401,5809.516034726123,0.6560285334983096
2025-01-19,5306.441924490064,4638.503490268592,5948.7873611331115,2.4886061632914735
2025-01-20,5401.185670683209,4772.173570576732,6005.182171623403,1.7854477169699567
2025-01-21,5405.597192359965,4799.945550406103,5989.302544312877,0.08167691217693118
2025-01-22,5405.432610821003,4818.581808641568,6048.843862139001,-0.003044650444816721
2025-01-23,5314.59685698832,4675.186161987815,5886.878741952376,-1.680452988181591
2025-01-24,5230.452846874654,4603.068014980609,5846.084773510538,-1.5832623316107686
2025-01-25,5220.061013938843,4648.467295185647,5816.626340043208,-0.19867941151635593
2025-01-26,5301.405757431605,4659.536857873394,5921.801647820151,1.5583102051020425
2025-01-27,5348.886959609923,4771.206465924026,5970.866200752775,0.895634183664562
2025-01-28,5309.324111435193,4660.96175526317,5881.533070230063,-0.7396463689263499
2025-01-29,5270.788675520531,4668.874467488317,5887.40082887008,-0.7258068090374215
2025-01-30,5149.186124818215,4547.830242008701,5745.812104125432,-2.307103513124753
2025-01-31,5043.02749621086,4399.212841527502,5634.170762479352,-2.061658406474931
2025-02-01,5019.9827010273375,4419.397870582492,5660.007935699261,-0.45696350457810064
2025-02-02,5098.157098818891,4487.693141028412,5731.804568176686,1.5572642864995379
2025-02-03,5151.762312660034,4593.6767385012645,5760.174522985742,1.0514625736731675
2025-02-04,5126.862692532554,4515.104477140404,5750.825422018932,-0.4833223781751439
2025-02-05,5110.177856650122,4492.040684250948,5739.567232300678,-0.3254394916160863
2025-02-06,5016.203240205444,4395.070119395502,5645.770707351935,-1.8389695834634012
2025-02-07,4941.551472436776,4344.934728079852,5565.189700579287,-1.4882125821841785
2025-02-08,4951.908480358957,4337.464120181931,5561.062562367286,0.20959020623281255
2025-02-09,5063.428666572661,4439.697145799269,5688.011987794544,2.25206476767561
2025-02-10,5148.631607999286,4556.501344203393,5766.007882092865,1.6827123879340933
2025-02-11,5151.914955974719,4553.98474322122,5733.36023856306,0.06377127410577277
2025-02-12,5158.328939609805,4512.454027223329,5803.520092152085,0.12449707904529372
2025-02-13,5081.215786993804,4519.7839933924315,5721.099103252088,-1.4949250720299068
2025-02-14,5016.081439756711,4435.857533716955,5622.88319319431,-1.2818654032331178
2025-02-15,5027.897289669363,4453.999825366222,5667.094808166443,0.23555937148471706
2025-02-16,5132.541812245852,4504.121530190567,5740.762048741233,2.0812780482110993
2025-02-17,5202.83910622048,4564.565097043741,5800.492827475966,1.3696389926508568
2025-02-18,5183.745683434819,4521.956625894243,5780.446481287507,-0.3669808424948906
2025-02-19,5160.999442373424,4550.595785077755,5755.83943282758,-0.4387993248604394
2025-02-20,5049.179138198846,4408.667203279323,5673.991659770517,-2.1666405009947987
2025-02-21,4945.009819677496,4301.8949281510195,5587.456205594074,-2.0630941321386653
2025-02-22,4914.919146490584,4336.452510321793,5503.550729394592,-0.6085058328331949
2025-02-23,4976.443049931836,4302.5687193085905,5581.922958310216,1.2517785462489606
2025-02-24,5004.334982041159,4406.480472288083,5589.629510069404,0.5604792786627844
2025-02-25,4945.368966961624,4340.488375185534,5554.8785340613085,-1.1782987208319051
2025-02-26,4886.820598104175,4267.61255160124,5509.206610205029,-1.1839029453331373
2025-02-27,4744.920397885297,4149.566480387667,5335.792560429617,-2.903732546963722
2025-02-28,4617.583617202847,4035.470253394842,5253.346240266313,-2.6836441922018506
2025-03-01,4572.228487318598,3965.4715924322327,5214.115223203943,-0.9822264986231621
2025-03-02,4627.169309748343,4025.1117467979366,5255.981689198849,1.2016202292192357
2025-03-03,4657.834655556725,4043.6628408662327,5285.436904416916,0.6627236600955433
2025-03-04,4611.238057944075,3968.7915152972723,5236.011369395137,-1.000391835658243
2025-03-05,4574.3534305983785,3992.203323594538,5193.103438309025,-0.7998855596308418
2025-03-06,4463.033271681388,3835.841484021183,5085.967200421073,-2.433571445799465
2025-03-07,4374.239628003995,3735.668701621862,4969.059704412088,-1.9895357769524669
2025-03-08,4374.204071444779,3773.4025503564685,5013.634828953498,-0.0008128626284631402
2025-03-09,4479.888086433975,3856.360356647284,5174.547186544233,2.416074176308136
2025-03-10,4565.387309096954,3944.565031957314,5226.4387047978835,1.9085124675745302
2025-03-11,4576.1414632801025,3919.194614529485,5182.458989332229,0.23555841936389044
2025-03-12,4597.267846366155,3973.235258138891,5212.843877557064,0.4616636801020091
2025-03-13,4542.997920064484,3911.140431880986,5203.624136620906,-1.1804821497309104
2025-03-14,4508.45111976016,3915.596424958693,5119.731370908978,-0.7604405925819568
2025-03-15,4558.165059888821,3960.106064043548,5213.420272261881,1.1026833563919425
2025-03-16,4707.637716366929,4109.384760067235,5359.521210423334,3.2792286921210057
2025-03-17,4829.917868071201,4196.304758387392,5451.082681800501,2.5974843238073086
2025-03-18,4869.540285489937,4244.655274570507,5442.437353636807,0.8203538548898548
2025-03-19,4910.789815825126,4321.717350687935,5553.522285611776,0.8470929064516408
2025-03-20,4867.616555493569,4215.542753626539,5478.382376449845,-0.8791510520859802
2025-03-21,4834.901923701164,4197.819077502994,5454.397841250202,-0.6720872817207124
2025-03-22,4877.299658714989,4301.022452326772,5485.005477037191,0.8769099287409876
2025-03-23,5010.793709507319,4429.928534746564,5647.995853719777,2.7370483696607995
2025-03-24,5109.404563867457,4494.606972568301,5704.791098438219,1.9679687506000576
2025-03-25,5118.777683895169,4477.556443561021,5723.911715590141,0.18344838249835238
2025-03-26,5124.307067400914,4494.435254948076,5736.268193817593,0.1080215599740253
2025-03-27,5041.461278110336,4437.843658080101,5665.612110361159,-1.6167217967403724
2025-03-28,4966.479829164023,4355.470256290125,5613.038220991151,-1.4872959407994935
2025-03-29,4965.4709329838,4305.85018957234,5599.093642729155,-0.020314110092600757
2025-03-30,5055.940828899742,4477.185815185391,5683.415068624164,1.8219801734209007
2025-03-31,5113.582976585171,4507.708740681063,5725.602897175536,1.1400874661338323
2025-04-01,5085.499047092875,4426.935401447521,5671.286201523988,-0.5492025771536513
2025-04-02,5058.174233299622,4396.829548316204,5675.808297353008,-0.5373084045482868
2025-04-03,4948.2195457850685,4314.99134274867,5592.720809986993,-2.17380189853259
2025-04-04,4852.51675417887,4183.638686750153,5451.26255011198,-1.9340853961849591
2025-04-05,4837.603230748439,4197.705183974975,5460.2773522143925,-0.3073358462407638
2025-04-06,4921.21397412334,4312.276946706603,5513.20779074614,1.7283505774814412
2025-04-07,4979.204295158337,4364.354619207783,5623.056313283484,1.1783743064195162
2025-04-08,4958.461479474134,4339.1009436032455,5554.52574707529,-0.4165889659191735
2025-04-09,4944.795317269466,4342.9543052028175,5557.118696788435,-0.2756129549708053
2025-04-10,4854.163171679106,4219.560340270634,5440.795622423066,-1.8328796193814445
2025-04-11,4782.330605758141,4161.25765692318,5388.679886541357,-1.479813582288736
2025-04-12,4794.608636882545,4151.296067082466,5420.198206390584,0.25673739723517386
2025-04-13,4907.469603467582,4264.236084700204,5554.203062693053,2.353914054983619
2025-04-14,4995.658113693082,4384.214656051853,5638.552882254359,1.7970261122592923
2025-04-15,5004.839799474275,4394.7726445044345,5679.471525681754,0.1837933175616424
2025-04-16,5019.443459991894,4400.9210980596,5669.585382023955,0.29179076859069397
2025-04-17,4954.393957922317,4307.83172550443,5534.901619021511,-1.2959504890943108
2025-04-18,4904.301339486506,4314.470696813166,5491.594615600007,-1.0110745907824015
2025-04-19,4933.550589072036,4331.021196931899,5549.918330543668,0.5963999265304665
2025-04-20,5057.978695666673,4373.452096947197,5630.73399794878,2.522080281699135
2025-04-21,5152.148929830895,4506.419628530615,5730.238854435644,1.8618155557851734
2025-04-22,5161.700348759092,4561.325867688432,5784.991490514317,0.1853870891210807
2025-04-23,5171.095102704459,4530.007731884648,5807.326467651017,0.18200889843646983
2025-04-24,5095.8042629451065,4457.895817037532,5709.013786185813,-1.4559941030667933
2025-04-25,5030.964068786378,4436.701048935283,5632.60049964473,-1.2724231703761246
2025-04-26,5041.752563681206,4463.534105081681,5634.221522484845,0.21444189915333922
2025-04-27,5145.060373230682,4515.294692035854,5772.432423759253,2.049045609529987
