ds,yhat,yhat_lower,yhat_upper,growth_percent
2025-01-29,6647.579274234996,6479.664180441754,6822.419548468635,
2025-01-30,6659.820094936113,6489.018881679869,6835.540563941131,0.1841395220145925
2025-01-31,6668.781490504782,6487.912620024173,6843.055842933048,0.13455912383404378
2025-02-01,6675.057066315465,6508.203197954654,6853.0959407601995,0.09410378522101137
2025-02-02,6672.38189200821,6495.035257814792,6856.972796393232,-0.040077175081454364
2025-02-03,6746.954137140498,6557.182543533396,6922.016918469536,1.11762555470043
2025-02-04,6734.961610297234,6559.898420826351,6924.067258205214,-0.17774727083510466
2025-02-05,6696.138971958606,6510.26815159675,6858.53466746128,-0.5764344414268319
2025-02-06,6682.973996318675,6510.397849819758,6844.586053193894,-0.1966054721244892
2025-02-07,6666.439336654557,6482.7640810183075,6840.722803040405,-0.24741469401535765
2025-02-08,6647.835745613011,6470.700235175542,6835.294259252088,-0.2790633815454857
2025-02-09,6621.614813755899,6444.033519052089,6795.277288468197,-0.39442809450300764
2025-02-10,6673.942258620533,6504.3133698283,6863.010935183941,0.7902520206389374
2025-02-11,6642.766642136052,6471.752312219208,6817.254229249099,-0.46712445622694165
2025-02-12,6587.829859986378,6411.707802027288,6771.262397067917,-0.8270165897624859
2025-02-13,6561.58425253274,6394.234473597269,6727.394975687423,-0.39839534431590495
2025-02-14,6535.475115597755,6365.125977190843,6694.733244385648,-0.3979090404105823
2025-02-15,6510.9438246303935,6325.542878040948,6683.827858245527,-0.3753558927768519
2025-02-16,6482.5282933874,6310.450714440455,6648.802158632239,-0.43642722174165316
2025-02-17,6535.687315759905,6356.358222758639,6704.580117281951,0.8200353313803532
2025-02-18,6509.431548942106,6336.715022152405,6694.799731997532,-0.4017292374818293
2025-02-19,6462.8075138177155,6283.984407549655,6638.189498562947,-0.7162535587607155
2025-02-20,6447.545267320155,6289.156695736189,6630.584422621195,-0.2361550528145684
2025-02-21,6434.910392202934,6267.952806632895,6599.772923329532,-0.1959641164717585
2025-02-22,6425.8842197353315,6257.955232689746,6601.506136429291,-0.14026881366584476
2025-02-23,6414.5572276381845,6243.993806810635,6592.645931016338,-0.17627133807296413
2025-02-24,6485.2272899977615,6308.9447513715195,6658.842316065812,1.101713802709292
2025-02-25,6477.603112821025,6299.568183369739,6651.677322727193,-0.11756222003961314
2025-02-26,6449.769039422036,6266.285920732816,6612.655898769763,-0.42969711040025116
2025-02-27,6452.567556657988,6263.120117458889,6632.303830840566,0.04338941780466232
2025-02-28,6457.021965381668,6279.800229721568,6630.759690816183,0.06903312029773456
2025-03-01,6463.691895761709,6271.636885325697,6625.809830841388,0.10329731594225233
2025-03-02,6466.35495418499,6290.522114744335,6649.54664876556,0.04120026861160753
2025-03-03,6548.37153267538,6375.068772765747,6723.929781505185,1.268358744168685
2025-03-04,6550.4509756172965,6369.937179575671,6725.386386228549,0.03175511547475196
2025-03-05,6530.085454236578,6358.546579066288,6707.053471743484,-0.31090258451708097
2025-03-06,6537.653955816226,6355.814272454297,6723.687451252652,0.11590202965472418
