ds,yhat,yhat_lower,yhat_upper,growth_percent
2024-03-04,2000.0,1999.9999975877884,2000.0000027022495,
2024-03-05,2000.0,1999.9999975077678,2000.0000024349786,0.0
2024-03-06,2000.0,1999.9999975146743,2000.0000025440534,0.0
2024-03-07,2000.0,1999.999997346153,2000.0000024476774,0.0
2024-03-08,2000.0,1999.9999974715838,2000.0000024765973,0.0
2024-03-09,2000.0,1999.9999975975882,2000.0000024695694,0.0
2024-03-10,2000.0,1999.9999976166469,2000.0000025326665,0.0
2024-03-11,2000.0,1999.999997296948,2000.000002613522,0.0
2024-03-12,2000.0,1999.9999973925892,2000.000002594552,0.0
2024-03-13,2000.0,1999.9999976081103,2000.0000026350415,0.0
2024-03-14,2000.0,1999.999997237357,2000.000002519009,0.0
2024-03-15,2000.0,1999.9999973668598,2000.000002671967,0.0
2024-03-16,2000.0,1999.9999975193643,2000.0000025286586,0.0
2024-03-17,2000.0,1999.9999974348673,2000.000002426885,0.0
2024-03-18,2000.0,1999.9999976077925,2000.0000025497816,0.0
2024-03-19,2000.0,1999.9999974850004,2000.0000023691111,0.0
2024-03-20,2000.0,1999.9999975358942,2000.0000027381693,0.0
2024-03-21,2000.0,1999.9999973236952,2000.0000027797364,0.0
2024-03-22,2000.0,1999.9999973611557,2000.0000025746967,0.0
2024-03-23,2000.0,1999.9999975534217,2000.000002810173,0.0
2024-03-24,2000.0,1999.9999973799167,2000.0000025874037,0.0
2024-03-25,2000.0,1999.9999973981971,2000.0000024622038,0.0
2024-03-26,2000.0,1999.9999974165914,2000.0000023571124,0.0
2024-03-27,2000.0,1999.999997563908,2000.0000025753163,0.0
2024-03-28,2000.0,1999.9999975389396,2000.0000025836252,0.0
2024-03-29,2000.0,1999.9999975008882,2000.0000026397954,0.0
2024-03-30,2000.0,1999.9999974484515,2000.0000024905385,0.0
2024-03-31,2000.0,1999.9999975199134,2000.0000025223067,0.0
2024-04-01,2000.0,1999.9999974899636,2000.0000025210652,0.0
2024-04-02,2000.0,1999.9999975421067,2000.0000025666227,0.0
2024-04-03,2000.0,1999.9999974969521,2000.000002725007,0.0
2024-04-04,2000.0,1999.999997254151,2000.0000026243397,0.0
2024-04-05,2000.0,1999.9999976669008,2000.0000024183862,0.0
2024-04-06,2000.0,1999.999997527624,2000.00000233206,0.0
2024-04-07,2000.0,1999.9999974760474,2000.0000026406292,0.0
2024-04-08,2000.0,1999.9999974617654,2000.0000025987572,0.0
2024-04-09,2000.0,1999.9999973180352,2000.0000024504914,0.0
2024-04-10,2000.0,1999.999997239172,2000.0000024709705,0.0
2024-04-11,2000.0,1999.9999972286364,2000.0000023683801,0.0
2024-04-12,2000.0,1999.9999973675287,2000.0000026139935,0.0
2024-04-13,2000.0,1999.9999974156217,2000.00000241391,0.0
2024-04-14,2000.0,1999.999997461895,2000.0000024435462,0.0
2024-04-15,2000.0,1999.9999973716483,2000.0000023887808,0.0
2024-04-16,2000.0,1999.9999973936294,2000.0000024977805,0.0
2024-04-17,2000.0,1999.9999974175657,2000.0000026510747,0.0
2024-04-18,2000.0,1999.9999974261707,2000.0000024715537,0.0
2024-04-19,2000.0,1999.9999974041505,2000.00000252944,0.0
2024-04-20,2000.0,1999.9999975654832,2000.0000025021616,0.0
2024-04-21,2000.0,1999.999997393558,2000.0000026437442,0.0
2024-04-22,2000.0,1999.9999974354846,2000.0000026613557,0.0
2024-04-23,2000.0,1999.9999975128649,2000.0000025901354,0.0
2024-04-24,2000.0,1999.9999974738037,2000.0000025839954,0.0
2024-04-25,2000.0,1999.9999973896433,2000.0000026407158,0.0
2024-04-26,2000.0,1999.9999974311922,2000.0000024367705,0.0
2024-04-27,2000.0,1999.9999973051247,2000.0000025067477,0.0
2024-04-28,2000.0,1999.9999975952687,2000.0000024891028,0.0
2024-04-29,2000.0,1999.999997488402,2000.000002615144,0.0
2024-04-30,2000.0,1999.9999975224687,2000.000002551299,0.0
2024-05-01,2000.0,1999.9999974729872,2000.0000023398543,0.0
2024-05-02,2000.0,1999.9999974440505,2000.0000026308387,0.0
2024-05-03,2000.0,1999.9999974280806,2000.000002404143,0.0
2024-05-04,2000.0,1999.9999974516807,2000.0000025315971,0.0
2024-05-05,2000.0,1999.9999974869622,2000.0000024769045,0.0
2024-05-06,2000.0,1999.9999973627696,2000.0000025493696,0.0
2024-05-07,2000.0,1999.999997603001,2000.000002688303,0.0
2024-05-08,2000.0,1999.999997444028,2000.0000025656648,0.0
2024-05-09,2000.0,1999.9999974648129,2000.0000026947612,0.0
2024-05-10,2000.0,1999.9999974328514,2000.0000025012332,0.0
2024-05-11,2000.0,1999.999997340348,2000.0000024291958,0.0
2024-05-12,2000.0,1999.9999974757968,2000.0000026614541,0.0
2024-05-13,2000.0,1999.9999971377424,2000.0000026752673,0.0
2024-05-14,2000.0,1999.999997452618,2000.0000025384493,0.0
2024-05-15,2000.0,1999.9999974577827,2000.0000025563525,0.0
2024-05-16,2000.0,1999.9999975349992,2000.0000025224565,0.0
2024-05-17,2000.0,1999.9999975217218,2000.000002426441,0.0
2024-05-18,2000.0,1999.999997319574,2000.000002490845,0.0
2024-05-19,2000.0,1999.999997722014,2000.00000261081,0.0
2024-05-20,2000.0,1999.9999974059776,2000.0000023318041,0.0
2024-05-21,2000.0,1999.999997658773,2000.0000025445102,0.0
2024-05-22,2000.0,1999.9999974121556,2000.0000026991363,0.0
2024-05-23,2000.0,1999.9999974503314,2000.0000024203755,0.0
2024-05-24,2000.0,1999.999997340024,2000.0000024354651,0.0
2024-05-25,2000.0,1999.999997586743,2000.0000026200971,0.0
2024-05-26,2000.0,1999.9999974307486,2000.000002509238,0.0
