ds,yhat,yhat_lower,yhat_upper,growth_percent
2024-03-04,2000.0,1999.9999972950136,2000.00000274257,
2024-03-05,2000.0,1999.9999976311626,2000.000002643736,0.0
2024-03-06,2000.0,1999.999997421439,2000.0000025323109,0.0
2024-03-07,2000.0,1999.9999977513291,2000.0000026555242,0.0
2024-03-08,2000.0,1999.9999973671374,2000.000002659509,0.0
2024-03-09,2000.0,1999.9999975533988,2000.0000026274072,0.0
2024-03-10,2000.0,1999.9999974446291,2000.0000024754202,0.0
2024-03-11,2000.0,1999.999997470058,2000.0000025482789,0.0
2024-03-12,2000.0,1999.9999974873217,2000.0000026954472,0.0
2024-03-13,2000.0,1999.99999743251,2000.000002511908,0.0
2024-03-14,2000.0,1999.9999973620695,2000.0000024726337,0.0
2024-03-15,2000.0,1999.999997336878,2000.0000026613325,0.0
2024-03-16,2000.0,1999.999997537376,2000.0000024896099,0.0
2024-03-17,2000.0,1999.9999974469329,2000.000002548071,0.0
2024-03-18,2000.0,1999.9999973822842,2000.0000026597252,0.0
2024-03-19,2000.0,1999.9999976414083,2000.00000259733,0.0
2024-03-20,2000.0,1999.9999974975206,2000.0000026992216,0.0
2024-03-21,2000.0,1999.9999975221115,2000.0000025506388,0.0
2024-03-22,2000.0,1999.9999974484988,2000.0000026269408,0.0
2024-03-23,2000.0,1999.9999974463053,2000.000002491536,0.0
2024-03-24,2000.0,1999.999997264343,2000.000002482526,0.0
2024-03-25,2000.0,1999.9999973942483,2000.0000025997908,0.0
2024-03-26,2000.0,1999.9999971516065,2000.0000023796845,0.0
2024-03-27,2000.0,1999.999997400713,2000.0000025265163,0.0
2024-03-28,2000.0,1999.9999974805833,2000.0000024835597,0.0
2024-03-29,2000.0,1999.999997298701,2000.0000025819477,0.0
2024-03-30,2000.0,1999.999997651094,2000.000002617096,0.0
2024-03-31,2000.0,1999.9999974915231,2000.0000025905736,0.0
2024-04-01,2000.0,1999.999997324368,2000.0000024083445,0.0
2024-04-02,2000.0,1999.9999974085267,2000.0000025637032,0.0
2024-04-03,2000.0,1999.9999975424068,2000.0000025266227,0.0
2024-04-04,2000.0,1999.9999975589303,2000.0000024976152,0.0
2024-04-05,2000.0,1999.9999973579334,2000.0000027184385,0.0
2024-04-06,2000.0,1999.9999974194184,2000.0000026315158,0.0
2024-04-07,2000.0,1999.999997532594,2000.0000026591115,0.0
2024-04-08,2000.0,1999.9999974545594,2000.0000025129432,0.0
2024-04-09,2000.0,1999.9999972143155,2000.000002587737,0.0
2024-04-10,2000.0,1999.9999973691793,2000.0000023775365,0.0
2024-04-11,2000.0,1999.999997467785,2000.0000025336444,0.0
2024-04-12,2000.0,1999.9999973052243,2000.0000027046758,0.0
2024-04-13,2000.0,1999.9999972929172,2000.0000024076526,0.0
2024-04-14,2000.0,1999.9999974550185,2000.0000026513405,0.0
2024-04-15,2000.0,1999.9999974227678,2000.0000026088417,0.0
2024-04-16,2000.0,1999.9999973644324,2000.0000025638994,0.0
2024-04-17,2000.0,1999.9999976792558,2000.0000026268688,0.0
2024-04-18,2000.0,1999.999997439731,2000.0000025209579,0.0
2024-04-19,2000.0,1999.9999973373344,2000.000002716542,0.0
2024-04-20,2000.0,1999.9999974433513,2000.0000026173675,0.0
2024-04-21,2000.0,1999.9999974810096,2000.0000025388197,0.0
2024-04-22,2000.0,1999.9999974807902,2000.0000026196942,0.0
2024-04-23,2000.0,1999.9999975201297,2000.0000026914956,0.0
2024-04-24,2000.0,1999.9999974169446,2000.0000025519007,0.0
2024-04-25,2000.0,1999.9999973108218,2000.0000024743065,0.0
2024-04-26,2000.0,1999.9999975464366,2000.0000025535808,0.0
2024-04-27,2000.0,1999.9999971568225,2000.0000024086899,0.0
2024-04-28,2000.0,1999.999997572706,2000.000002683389,0.0
2024-04-29,2000.0,1999.9999975202884,2000.0000026178682,0.0
2024-04-30,2000.0,1999.9999974988273,2000.00000257319,0.0
2024-05-01,2000.0,1999.9999974943232,2000.000002604819,0.0
2024-05-02,2000.0,1999.999997632329,2000.0000026320347,0.0
2024-05-03,2000.0,1999.9999974375362,2000.0000024606688,0.0
2024-05-04,2000.0,1999.9999975429143,2000.0000026919975,0.0
2024-05-05,2000.0,1999.9999974058285,2000.0000025283464,0.0
2024-05-06,2000.0,1999.9999975614269,2000.0000025985053,0.0
2024-05-07,2000.0,1999.9999975612461,2000.000002567398,0.0
2024-05-08,2000.0,1999.999997354691,2000.0000026475423,0.0
2024-05-09,2000.0,1999.9999975541668,2000.0000025351687,0.0
2024-05-10,2000.0,1999.9999974096795,2000.0000024830963,0.0
2024-05-11,2000.0,1999.9999974919972,2000.0000025535567,0.0
2024-05-12,2000.0,1999.999997455357,2000.0000025347563,0.0
2024-05-13,2000.0,1999.9999973332792,2000.0000026853752,0.0
2024-05-14,2000.0,1999.9999976082822,2000.0000026167506,0.0
2024-05-15,2000.0,1999.999997411662,2000.0000026014784,0.0
2024-05-16,2000.0,1999.9999976334143,2000.0000024955066,0.0
2024-05-17,2000.0,1999.9999974792013,2000.000002636659,0.0
2024-05-18,2000.0,1999.9999972243725,2000.0000023919615,0.0
2024-05-19,2000.0,1999.9999974188415,2000.0000023844457,0.0
2024-05-20,2000.0,1999.9999974829343,2000.000002444331,0.0
2024-05-21,2000.0,1999.9999977181285,2000.0000026813366,0.0
2024-05-22,2000.0,1999.9999974166008,2000.0000025292723,0.0
2024-05-23,2000.0,1999.9999976143692,2000.0000023229188,0.0
2024-05-24,2000.0,1999.9999973849629,2000.0000024310614,0.0
2024-05-25,2000.0,1999.9999974432474,2000.0000025570835,0.0
2024-05-26,2000.0,1999.9999974623877,2000.0000025546906,0.0
2024-05-27,2000.0,1999.9999973768256,2000.0000027870908,0.0
2024-05-28,2000.0,1999.9999973384324,2000.000002392516,0.0
2024-05-29,2000.0,1999.9999976657791,2000.0000027690135,0.0
2024-05-30,2000.0,1999.9999974050704,2000.0000025481006,0.0
2024-05-31,2000.0,1999.9999971833292,2000.0000025275467,0.0
2024-06-01,2000.0,1999.9999974086275,2000.0000024324654,0.0
2024-06-02,2000.0,1999.9999973979075,2000.0000026337716,0.0
2024-06-03,2000.0,1999.9999974622133,2000.000002650046,0.0
2024-06-04,2000.0,1999.9999974963484,2000.0000025724266,0.0
2024-06-05,2000.0,1999.999997384476,2000.0000025819768,0.0
2024-06-06,2000.0,1999.99999732764,2000.0000026755652,0.0
2024-06-07,2000.0,1999.9999976042952,2000.0000025595307,0.0
2024-06-08,2000.0,1999.9999971826733,2000.0000024477706,0.0
2024-06-09,2000.0,1999.9999973547694,2000.000002329421,0.0
2024-06-10,2000.0,1999.999997495146,2000.0000026384823,0.0
2024-06-11,2000.0,1999.9999975016435,2000.000002627849,0.0
2024-06-12,2000.0,1999.9999974260736,2000.000002476149,0.0
2024-06-13,2000.0,1999.9999976287747,2000.000002457858,0.0
2024-06-14,2000.0,1999.9999976566523,2000.0000025481245,0.0
2024-06-15,2000.0,1999.9999973368715,2000.0000025511506,0.0
2024-06-16,2000.0,1999.9999974298385,2000.0000025617421,0.0
2024-06-17,2000.0,1999.999997476567,2000.0000024635701,0.0
2024-06-18,2000.0,1999.9999973325787,2000.0000025699042,0.0
2024-06-19,2000.0,1999.9999974888947,2000.0000024660517,0.0
2024-06-20,2000.0,1999.999997341673,2000.00000271449,0.0
2024-06-21,2000.0,1999.9999973952988,2000.0000025173338,0.0
2024-06-22,2000.0,1999.999997502881,2000.0000025258826,0.0
2024-06-23,2000.0,1999.9999976566596,2000.0000025340903,0.0
2024-06-24,2000.0,1999.9999975924752,2000.000002628735,0.0
2024-06-25,2000.0,1999.999997328837,2000.00000241103,0.0
2024-06-26,2000.0,1999.99999752649,2000.000002640226,0.0
2024-06-27,2000.0,1999.9999973881158,2000.000002445338,0.0
2024-06-28,2000.0,1999.9999975983392,2000.0000025394102,0.0
2024-06-29,2000.0,1999.9999977179689,2000.0000025906486,0.0
2024-06-30,2000.0,1999.9999972853918,2000.0000023298378,0.0
2024-07-01,2000.0,1999.9999975141243,2000.0000024793812,0.0
2024-07-02,2000.0,1999.9999974776163,2000.0000024172903,0.0
2024-07-03,2000.0,1999.999997370955,2000.000002582189,0.0
2024-07-04,2000.0,1999.999997555348,2000.0000026616742,0.0
2024-07-05,2000.0,1999.9999973565991,2000.0000026080425,0.0
2024-07-06,2000.0,1999.99999742796,2000.0000026473376,0.0
2024-07-07,2000.0,1999.999997417472,2000.0000026103846,0.0
2024-07-08,2000.0,1999.9999975556732,2000.0000024623612,0.0
2024-07-09,2000.0,1999.9999975416954,2000.0000027302597,0.0
2024-07-10,2000.0,1999.999997579512,2000.0000025377212,0.0
2024-07-11,2000.0,1999.9999974581426,2000.0000026738214,0.0
2024-07-12,2000.0,1999.9999977645978,2000.0000026964829,0.0
2024-07-13,2000.0,1999.9999973706442,2000.0000027168733,0.0
2024-07-14,2000.0,1999.9999973740523,2000.0000024315252,0.0
2024-07-15,2000.0,1999.9999974260516,2000.0000026515986,0.0
2024-07-16,2000.0,1999.9999974348732,2000.0000025860775,0.0
2024-07-17,2000.0,1999.9999974806117,2000.0000027668525,0.0
2024-07-18,2000.0,1999.9999974425527,2000.000002347793,0.0
2024-07-19,2000.0,1999.9999974475963,2000.0000024741018,0.0
2024-07-20,2000.0,1999.9999974524162,2000.000002598629,0.0
2024-07-21,2000.0,1999.9999975654846,2000.0000025827449,0.0
2024-07-22,2000.0,1999.999997311227,2000.000002625008,0.0
2024-07-23,2000.0,1999.9999973748556,2000.0000026131318,0.0
2024-07-24,2000.0,1999.9999976143135,2000.0000023744994,0.0
2024-07-25,2000.0,1999.9999974461653,2000.000002542248,0.0
