ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-19,60358.11936535442,53769.75238225942,67346.44811858796,
2023-05-20,60439.70228511798,53451.099776919036,67369.30572723548,0.135164780847008
2023-05-21,60289.95774772619,53356.208819946725,67096.4150358118,-0.24775856222021275
2023-05-22,60129.79441019078,53467.53814080553,66534.92778995441,-0.2656550833981197
2023-05-23,60255.40818228549,53016.9656646658,67014.87016812553,0.2089043764856635
2023-05-24,59989.054298659,53548.64658979822,67066.64955015604,-0.44204145596477007
2023-05-25,60141.855641780596,53451.60748662693,66572.79724056138,0.2547153725092288
2023-05-26,60603.433607829,53777.63237483577,67222.19828095639,0.7674820823581952
2023-05-27,60639.3834754726,54447.36983834441,67300.79859208665,0.05931985285889674
2023-05-28,60453.690904700925,54008.22866994583,67036.04258703032,-0.3062243712401602
2023-05-29,60270.004175503855,53779.863931371314,67175.83010465647,-0.30384700495232897
2023-05-30,60387.685983134885,53818.526374595705,67111.32131535558,0.19525767293517848
2023-05-31,60122.40994417542,53389.06336552909,67066.82422918633,-0.4392882996602121
2023-06-01,60292.812211728,53615.11220708769,66938.36324540366,0.2834255441702904
2023-06-02,60786.76359129175,54261.191480086614,67762.35022936795,0.8192541721709024
2023-06-03,60861.77420175497,54159.98432423813,67445.84035819724,0.12339957917082423
2023-06-04,60722.49319794309,53544.1120226377,66879.77591570717,-0.22884808344588725
2023-06-05,60593.11135050808,53941.27906486855,67280.15479529425,-0.21307071007979905
2023-06-06,60773.977206124946,54124.49749588183,67645.19325146155,0.29849243847313023
2023-06-07,60572.07453889204,53607.32540310629,66652.8864653981,-0.3322189471788528
2023-06-08,60811.57478471106,54000.08954119124,67033.9708190854,0.39539713249419073
2023-06-09,61376.80743098208,54763.52740334548,67490.67072918345,0.9294820077790922
2023-06-10,61515.64890990369,55482.79730849371,67966.78282546239,0.22621163389402454
2023-06-11,61432.15680160751,55467.958393490604,68200.22154906354,-0.13572498994274262
2023-06-12,61350.14875589565,54761.39406499518,67910.00047439837,-0.13349367819968094
2023-06-13,61570.422261921834,54731.513093242145,68140.90708332548,0.35904314902743817
2023-06-14,61391.14415181729,54374.69042127373,67839.38963560607,-0.2911757033952078
2023-06-15,61642.32561249792,55238.152660254884,68351.19978038078,0.40914933929148134
2023-06-16,62205.50223746376,55094.393366143726,69038.04866041109,0.9136200157439545
2023-06-17,62320.10741408858,55246.1507565179,68997.89288088412,0.18423639791111945
2023-06-18,62191.22964416863,55578.65209893023,68895.50119368169,-0.2067996594800836
2023-06-19,62044.344628043546,55612.39493741853,68628.16115862213,-0.23618284598245776
2023-06-20,62183.10377203515,55719.71508388081,68752.21999873279,0.2236451119332017
2023-06-21,61899.58963274094,55527.13308814383,68304.05609111402,-0.45593436495801054
2023-06-22,62032.65691922746,55379.00925502594,68654.80602929337,0.21497280882800673
2023-06-23,62464.25625872363,55419.20738627285,68729.22808987302,0.6957614923025934
2023-06-24,62428.71813502801,55583.22330895297,68787.87853342589,-0.05689353531790342
2023-06-25,62135.553058501515,55242.42515194512,68797.90817114603,-0.46959970552719055
2023-06-26,61815.252108667184,55585.93038586048,68671.59315021125,-0.5154874046630953
2023-06-27,61777.557119079436,55255.70259794688,68800.6908834819,-0.0609800790288495
2023-06-28,61311.49486186774,54569.162544404695,68411.97893331955,-0.7544200174722682
2023-06-29,61267.49900359972,54667.83948653052,68178.6565661954,-0.07175792788471913
2023-06-30,61530.297020080696,54695.23674601247,67488.83242582454,0.428935440086331
