ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-06-02,4822.329692797957,4692.8644507508425,4950.053515776896,
2023-06-03,4827.058562050626,4713.7982970915855,4962.443884464544,0.09806192346681897
2023-06-04,4832.164025811429,4718.828272980365,4954.429742803933,0.10576759521712109
2023-06-05,4835.643142411344,4713.198414624138,4964.253337809651,0.07199914119908613
2023-06-06,4835.328295616175,4720.013252399937,4962.92070643456,-0.006510960091499207
2023-06-07,4835.389909908751,4709.101322596939,4963.702953730953,0.001274252518324026
2023-06-08,4831.425950813734,4704.741884365283,4949.561343794312,-0.08197806524132822
2023-06-09,4829.935818053921,4711.428055081551,4950.589292460066,-0.03084250436585778
2023-06-10,4822.992713415558,4695.619150715895,4952.85692473488,-0.14375148863077225
2023-06-11,4816.551248561221,4691.620151100186,4929.111403125414,-0.1335574245513449
2023-06-12,4808.780150149313,4679.976525725044,4923.3891912078325,-0.1613415493965542
2023-06-13,4797.673689706089,4675.450679492263,4920.679679576613,-0.23096211713649062
2023-06-14,4787.6602453703945,4653.902890092444,4920.188708989442,-0.20871457675788463
2023-06-15,4774.433578209286,4644.399598928711,4897.141228834642,-0.27626578502304433
2023-06-16,4764.753753194152,4650.387026187027,4886.505347857292,-0.20274289832648007
2023-06-17,4750.686895029089,4626.7208259238,4872.94007228428,-0.2952273904109459
2023-06-18,4738.389132085722,4613.90652029336,4858.415103896875,-0.2588628384715297
2023-06-19,4726.070848504972,4607.284612924177,4858.1234200429835,-0.2599677493209218
2023-06-20,4711.735753029394,4590.848921185044,4852.09995467928,-0.30331952133372253
2023-06-21,4699.899230863671,4585.734683034703,4826.42473257485,-0.2512136245780061
2023-06-22,4686.165776247883,4563.737300962737,4809.969648741741,-0.2922074270359287
2023-06-23,4677.361639712847,4539.435222594752,4793.678653601694,-0.18787505511775882
2023-06-24,4665.346862408422,4536.897431970219,4795.5617060980585,-0.25687082226900637
2023-06-25,4656.280508460414,4529.925609004483,4782.682499235617,-0.19433397377289774
2023-06-26,4648.2213471822,4521.742363986835,4769.730094563853,-0.17308152426751544
2023-06-27,4638.999246851802,4516.17439445633,4770.838472728371,-0.1984006277151118
2023-06-28,4635.824838003272,4510.344167996921,4760.37417324639,-0.06842874248544906
2023-06-29,4631.26403304328,4499.255049894886,4764.030875848667,-0.09838173613904155
2023-06-30,4632.09016935343,4504.183112695035,4756.2430805748145,0.01783824684267188
2023-07-01,4629.84239370696,4508.397155356722,4747.489311624036,-0.04852616344434013
2023-07-02,4630.617692154652,4502.232959264503,4755.445393288337,0.016745676888385574
2023-07-03,4632.271262293842,4497.529345249752,4758.913825782732,0.035709493832558614
2023-07-04,4632.429844058435,4502.413092102398,4757.587891070319,0.0034234127410659454
2023-07-05,4635.470455266626,4503.557534996629,4758.83165526852,0.06563750149590764
2023-07-06,4636.5322870333675,4516.71462288227,4766.8269637980975,0.022906666690869493
2023-07-07,4642.413617954335,4517.063391404489,4761.075535239977,0.12684762138754913
2023-07-08,4644.390837961056,4520.366937827851,4765.001191095521,0.04259034565714526
2023-07-09,4648.615549740863,4516.94471775534,4775.165625519723,0.090963743733119
2023-07-10,4652.854410882543,4532.162154579461,4775.215036417998,0.0911854528799827
2023-07-11,4654.665303666263,4530.6325051069325,4777.2974778079115,0.03892003969616642
