ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-22,6798.884761638275,4671.915807277861,8700.333657965519,
2023-05-23,6781.6083863737795,4850.777965413401,8749.80613775808,-0.2541060169452436
2023-05-24,6899.466321598939,4995.203308460216,8873.053048487738,1.73790535386813
2023-05-25,6705.427704521071,4760.869334180833,8628.720995489755,-2.8123713927036054
2023-05-26,6595.072368728883,4788.073276304317,8453.370100840426,-1.6457613243340496
2023-05-27,6529.7254246962,4748.052463380175,8542.436954825916,-0.9908449881843695
2023-05-28,6474.587759020059,4519.808692084815,8454.004988707873,-0.8444101717907437
2023-05-29,6416.545688024245,4601.966046334204,8404.838823668899,-0.8964597153688025
2023-05-30,6423.793430718652,4415.369219892438,8385.2880559742,0.11295396381163503
2023-05-31,6560.714603457612,4787.515008819636,8663.50137552358,2.1314691111361084
2023-06-01,6398.672106749642,4507.260233286842,8194.59719851377,-2.4698909570395
2023-06-02,6315.567341005362,4358.418019330411,8169.05869622711,-1.2987814402400266
2023-06-03,6273.61514910559,4286.599200761292,8066.316732768594,-0.6642664013316368
2023-06-04,6238.8311507668295,4167.423144718673,8003.715204551458,-0.5544490299778659
2023-06-05,6198.071230639765,4402.962032458715,8154.724160575638,-0.6533262263726192
2023-06-06,6215.991805725899,4409.955812279878,8071.00026249439,0.28913148008924416
2023-06-07,6353.644381232053,4520.883512453543,8317.255672776717,2.2144909422074033
2023-06-08,6201.32721643562,4221.85411301431,8121.796310175889,-2.3973196429809662
2023-06-09,6119.933793135173,4298.976821459876,8057.947284744472,-1.3125161833861476
2023-06-10,6073.351740059395,4191.106504215623,7992.236975284074,-0.7611528923405997
2023-06-11,6029.28687798359,4039.1936419633635,7717.361122335619,-0.7255443775000869
2023-06-12,5975.5091572296815,4101.288294757849,7909.57160840762,-0.8919416481952824
2023-06-13,5974.124665363991,3982.629206361005,7849.786270676939,-0.023169437603742793
2023-06-14,6083.855206202983,4145.6794359472815,7985.433167062185,1.8367634923183607
2023-06-15,5914.92248384935,3951.9668778341565,7925.092024002637,-2.7767380489494897
2023-06-16,5812.156155438358,3958.027310673144,7928.147647798899,-1.737407864457985
2023-06-17,5741.9875163689285,3784.67219349563,7569.032006839421,-1.2072738101465808
2023-06-18,5674.582330065314,3814.964515429358,7524.438901491597,-1.173899910291687
2023-06-19,5599.267437555511,3488.448367083453,7445.555026535839,-1.3272323517233398
2023-06-20,5576.091673915829,3717.995931658705,7388.460771294879,-0.41390706727519877
2023-06-21,5661.771324029929,3746.529164241249,7390.219699865594,1.536553828820586
2023-06-22,5486.592014956628,3625.6266249000732,7334.684892091161,-3.0940724915857643
2023-06-23,5379.2664224349655,3499.496251669519,7220.755323631807,-1.9561431254427109
2023-06-24,5308.518076325684,3401.0722308052846,7194.646222847404,-1.3152043522926427
2023-06-25,5246.523918691358,3338.3701240114174,7164.648223106318,-1.1678241788570132
2023-06-26,5183.528218042941,3237.3443366075917,7092.70777402652,-1.2007131126189452
2023-06-27,5176.704692892067,3288.783186913976,7116.176463363843,-0.1316386226493882
2023-06-28,5279.785611237085,3288.077908958907,7196.325932509806,1.9912458689512302
2023-06-29,5142.004272448882,3234.9388937666226,6943.165049481612,-2.6096010128699
2023-06-30,5074.729854972832,3235.5019142224432,6912.941308764224,-1.3083306413514628
2023-07-01,5047.672793380603,3240.474664790623,7035.371156189772,-0.5331724518442105
2023-07-02,5033.671693529615,3044.16394007625,6953.720244042361,-0.2773773266236401
2023-07-03,5022.531487034357,3148.858184163428,6819.2374593141,-0.22131372829853335
