ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-06-28,14174.139865093488,13189.22026058017,15209.750968812288,
2023-06-29,14078.620747978064,13029.7807343208,15182.97579039076,-0.6738970972810732
2023-06-30,14053.358838860951,13015.376817096796,15107.713682967365,-0.17943454525359837
2023-07-01,14180.266048520383,13129.763776854279,15250.822690650122,0.9030382779987356
2023-07-02,14123.055032908165,12941.722356243432,15178.190185494148,-0.4034551637921324
2023-07-03,14057.187085480098,12997.523377494683,15140.568822970246,-0.4663859715521079
2023-07-04,13953.238369897363,12857.081409671631,14956.893971988908,-0.7394702435888134
2023-07-05,13817.777170284704,12804.431047479336,14893.730546576218,-0.9708226579494439
2023-07-06,13661.361561317166,12626.144818285127,14722.281266519269,-1.1319882137331927
2023-07-07,13574.117538723915,12533.03857627705,14651.304634830025,-0.6386187950715438
2023-07-08,13636.482522373872,12586.133879106927,14655.542542438412,0.45944042750509784
2023-07-09,13523.748624158776,12494.846774119336,14655.364606690197,-0.8267080460824805
2023-07-10,13406.885079488102,12394.854446172976,14545.019453421193,-0.8641357357227819
2023-07-11,13258.2770820373,12227.251529432324,14248.74691842724,-1.1084453739233169
2023-07-12,13085.046279570719,12021.869672226323,14156.924039480842,-1.3065860774721605
2023-07-13,12898.0327478548,11850.727162897285,13955.243131342231,-1.4292156689418634
2023-07-14,12784.925356885764,11761.425824920436,13853.565878189043,-0.8769352131459685
2023-07-15,12823.825061263839,11767.778283787653,13876.188564630418,0.30426227210722523
2023-07-16,12700.639958775988,11673.09493238336,13740.610792744572,-0.9605956249352454
2023-07-17,12580.807782895205,11467.382003100058,13675.495237970363,-0.9435128959622285
2023-07-18,12437.434395985521,11368.455890355239,13468.270516653125,-1.1396198827917314
2023-07-19,12277.085382957539,11310.466732196277,13325.973524100133,-1.2892450960765633
2023-07-20,12109.780227304762,11072.048593926162,13191.130904529879,-1.3627432768776093
2023-07-21,12019.70211738441,10983.815991745425,13091.591416554154,-0.743845951202704
2023-07-22,12081.606824521075,11065.951676889568,13150.925198996321,0.5150269659938589
2023-07-23,11991.093288408923,10995.985308047922,13067.110193998553,-0.7491845863452862
2023-07-24,11907.247248381704,10854.646742945157,13014.858832410677,-0.6992359913359114
2023-07-25,11803.197304103562,10778.334964049629,12828.135512375746,-0.8738371019572422
2023-07-26,11684.391930626345,10554.522954639264,12732.01914184456,-1.006552465541788
2023-07-27,11559.616284543286,10459.303816134727,12694.426518801121,-1.0678830941643236
2023-07-28,11509.28778440998,10428.91944179457,12607.119210996983,-0.43538210001488054
2023-07-29,11604.71273443401,10485.276973635573,12614.502910197118,0.8291125551077805
2023-07-30,11551.230452055173,10461.436131594224,12627.111197028042,-0.46086692193716416
2023-07-31,11501.772058904595,10395.044199362766,12577.092114385645,-0.4281655824966979
2023-08-01,11429.824387924138,10311.430142487709,12455.744909057557,-0.6255355314988664
2023-08-02,11340.179310768748,10302.787351963094,12365.577651683036,-0.7843084382827659
2023-08-03,11240.957114596831,10208.758649344698,12269.645448859319,-0.8749614397868921
2023-08-04,11209.469357631306,10087.943264751955,12241.602281869333,-0.2801163339075208
2023-08-05,11314.30286707624,10239.492525978638,12418.109712559906,0.9352227665760493
2023-08-06,11271.31577169731,10163.592310056421,12307.099271163945,-0.37993587306222043
2023-08-07,11228.08917688276,10141.67590789775,12283.683650536908,-0.38350974890697387
2023-08-08,11159.276635921447,10062.431935723833,12228.75229146444,-0.6128606557827321
2023-08-09,11069.804116030968,10044.120064442324,12156.349047440011,-0.8017770578647498
2023-08-10,10967.879464980062,9925.461842647086,12035.534592445701,-0.9207448477186797
2023-08-11,10928.40378971631,9934.028398069508,12061.06328129493,-0.3599207612537625
2023-08-12,11017.866278750555,9941.231928005422,12071.749197950714,0.8186235680496035
2023-08-13,10963.178191426394,9976.994856961433,12011.376252074479,-0.49635824161011755
2023-08-14,10907.006385049766,9872.43109439311,11983.95611339587,-0.5123679045968221
2023-08-15,10825.500458076682,9827.407219024431,11859.103850105947,-0.747280455293442
2023-08-16,10723.938925230195,9650.59461776257,11822.861605349386,-0.9381694014036435
2023-08-17,10610.722860080159,9459.730878932496,11697.661109214807,-1.0557320956357974
2023-08-18,10558.338296094407,9407.182263941144,11626.329823909984,-0.4936945830791073
2023-08-19,10631.06666123938,9582.066452368053,11650.983791271998,0.6888239712102617
2023-08-20,10566.664512374977,9490.328357513501,11636.032622457155,-0.6057919766340292
2023-08-21,10502.589301989752,9367.950539079638,11534.6566000183,-0.6063901272741701
2023-08-22,10416.116632426383,9393.407193513121,11438.901529299403,-0.823346196608743
2023-08-23,10312.446441903705,9243.74334196456,11330.528408715052,-0.995286383410332
2023-08-24,10199.697409598115,9124.829015049236,11248.082199259363,-1.093329627850903
2023-08-25,10147.435359793004,9107.144074027749,11157.40599797071,-0.5123882376739108
2023-08-26,10217.216086578166,9181.012495483074,11280.45600001686,0.6876686010896194
2023-08-27,10157.12696505624,9096.770493087948,11282.766462816966,-0.5881163813385659
2023-08-28,10098.920421244873,9134.252670555135,11229.023568601371,-0.5730611029242549
2023-08-29,10020.535522035078,8965.196205245284,11177.264262615978,-0.7761710751269857
2023-08-30,9926.677094211178,8893.417412533696,11051.018719690197,-0.9366607963966156
2023-08-31,9824.82114309718,8785.745834554826,10902.9867482054,-1.0260830502222706
2023-09-01,9781.318550366594,8706.568715363053,10762.079544225315,-0.4427825412491204
2023-09-02,9854.776465062878,8831.736462857996,10957.908027202147,0.7510021713128978
2023-09-03,9803.46572100382,8757.257908226791,10875.003900974774,-0.5206687766177609
2023-09-04,9753.363459939728,8644.050271489898,10790.890292904296,-0.51106682565073
2023-09-05,9683.078068669243,8679.921048056553,10764.404964940546,-0.7206272129524405
2023-09-06,9596.897917981358,8540.653277812817,10691.051694930133,-0.8900078061616745
2023-09-07,9501.802339441647,8369.574843984024,10577.163664650825,-0.9908991358711261
2023-09-08,9461.133261754114,8392.236474869482,10550.003935491857,-0.42801435174795177
2023-09-09,9530.80726429224,8488.074894237716,10604.167266849157,0.7364234348096188
2023-09-10,9479.575400861808,8477.89562207072,10542.705523725084,-0.5375396019430045
2023-09-11,9427.967003907908,8335.809847700511,10473.65545177883,-0.5444167567801417
2023-09-12,9355.605241844027,8327.112008161625,10441.072249228211,-0.767522436532575
2023-09-13,9266.713689089858,8169.574926406754,10307.265893719383,-0.9501421923681752
2023-09-14,9168.12129684654,8026.826885597083,10270.401949637147,-1.0639412800612869
2023-09-15,9120.491046225297,8049.26964554354,10074.429166085376,-0.5195202929702325
2023-09-16,9177.350489384422,8178.860797480984,10305.008062507499,0.6234252396164264
2023-09-17,9118.201211628313,8093.900119823977,10174.28149507697,-0.6445136624620318
2023-09-18,9058.350671021788,8085.724810057497,10169.823945351516,-0.6563853902477934
2023-09-19,8978.614382391552,7871.683842535379,10063.667033981215,-0.8802517315356084
2023-09-20,8883.276490701179,7773.374142929091,9847.743603117897,-1.0618330137592835
2023-09-21,8779.086618334559,7791.573819145388,9741.212467341962,-1.1728766123139778
2023-09-22,8724.04527814376,7637.354703466,9820.069170843897,-0.6269597577024499
2023-09-23,8769.255470305741,7780.262966951614,9875.09902751654,0.5182250976533354
2023-09-24,8704.881894031718,7652.882713751987,9842.368255773032,-0.7340825739654111
2023-09-25,8640.87866394196,7607.133360069185,9758.814169288162,-0.7352567314398706
2023-09-26,8559.083113999193,7515.353382911964,9636.722911284203,-0.9466114862148878
2023-09-27,8463.637466541397,7352.7205438419915,9494.765864275338,-1.1151386916863348
2023-09-28,8360.985433113134,7267.051820849339,9383.635113379767,-1.212859527999266
2023-09-29,8306.22275690535,7110.148992889151,9331.62802640351,-0.6549787300298315
2023-09-30,8347.778426985942,7292.827671688751,9392.249237025755,0.5002956373406198
2023-10-01,8286.232095542102,7213.868173320328,9307.237993856357,-0.7372779714046929
2023-10-02,8225.945735517578,7256.550890704025,9242.847827207856,-0.7275485326672992
2023-10-03,8177.149715147136,7117.489146853828,9196.010911412042,-0.5931964778196019
2023-10-04,8115.876765326599,7060.438131160665,9186.128635786852,-0.7493191632169438
2023-10-05,8048.025199027432,7022.744065807378,9087.687709736847,-0.8360349505188158
2023-10-06,8026.298936970818,6910.743754737506,9130.547304070637,-0.2699576792980052
2023-10-07,8097.638059880681,7103.19162695556,9181.327921404207,0.8888171680381696
2023-10-08,8069.983953919668,7060.290221204392,9086.95861455392,-0.34150829854971976
2023-10-09,8043.4615177080395,6989.125720098424,9069.44665777215,-0.32865537729782623
2023-10-10,8001.056000357652,6982.568908501581,9096.757637176432,-0.5272048266412366
2023-10-11,7946.2072886742,6797.514882665013,9041.650966987208,-0.6855184075827081
2023-10-12,7884.539699881025,6802.853911143726,9038.96505577803,-0.7760631777259386
2023-10-13,7867.063899927034,6897.0389058348965,8951.990009347159,-0.22164641969212306
2023-10-14,7939.195926982687,6884.402765102633,8919.824495058052,0.916886248455695
2023-10-15,7914.742753464552,6795.594759578354,8984.201463314925,-0.30800566887417835
2023-10-16,7890.736199947226,6816.316043613627,8976.886884875363,-0.30331438765736074
2023-10-17,7850.687102699286,6804.131427654474,8900.007421866103,-0.5075457629442504
2023-10-18,7797.942341009523,6707.211405617203,8918.918620941093,-0.6718489859521615
2023-10-19,7737.972570541522,6662.018796738083,8792.600650513297,-0.7690460873584382
2023-10-20,7720.201620843711,6685.774181959302,8813.778256725473,-0.22965899059225192
2023-10-21,7788.609403704739,6743.451483664005,8846.179050920755,0.8860880352701495
2023-10-22,7762.934213205399,6701.722339494283,8808.983782727142,-0.329650508435142
2023-10-23,7737.155722520739,6678.914590581506,8787.957279926906,-0.33207148195084635
2023-10-24,7695.3250195140245,6687.423769580653,8747.147142571073,-0.5406470349944792
2023-10-25,7640.68414064131,6584.581273621891,8716.106174440887,-0.7100529052919136
2023-10-26,7578.512759540893,6559.476378026744,8701.604093153486,-0.8136886691824219
2023-10-27,7601.724467570309,6482.978092581529,8694.121652249558,0.306283155625664
2023-10-28,7708.812915411821,6621.349191852632,8825.916077257945,1.4087388762689557
2023-10-29,7723.709366837093,6619.873097919813,8737.564167800669,0.1932392391504223
2023-10-30,7737.762562293884,6602.959498833407,8802.6261330035,0.1819487863840452
2023-10-31,7734.965521680747,6649.688162568373,8808.791282045371,-0.03614792507031783
2023-11-01,7718.151047206017,6612.407060033059,8815.497040006674,-0.21738266870873213
2023-11-02,7692.2675552262135,6579.138865935552,8794.710738251471,-0.3353587124881874
2023-11-03,7705.472609646848,6630.32161392548,8769.02537745515,0.17166660319378746
2023-11-04,7801.661963239298,6804.335879146922,8819.020124631013,1.2483251640142967
2023-11-05,7803.2211339438245,6729.809263507501,8943.828706996654,0.019985109735243256
2023-11-06,7802.100860196323,6766.723315791623,8805.939530097085,-0.014356555174732666
2023-11-07,7782.0613574085355,6728.861092075912,8866.282142088474,-0.25684752282583156
2023-11-08,7745.881744234321,6688.87435988398,8792.354783711247,-0.4649104075717947
2023-11-09,7698.50978961058,6703.9704725368765,8755.846684631942,-0.6115760114592805
2023-11-10,7688.4877021927105,6610.77786587765,8801.516898652073,-0.13018217410588617
2023-11-11,7760.110029287918,6657.6251897696075,8862.634765168097,0.9315528601909762
2023-11-12,7734.464339575005,6762.038343869237,8792.491454930481,-0.3304810062759622
2023-11-13,7704.396279948623,6633.485882648628,8750.1762186179,-0.3887542602340699
2023-11-14,7653.766766574992,6596.160874982126,8690.254691044252,-0.6571509503658035
2023-11-15,7585.669152306083,6425.358983035255,8591.739416940098,-0.8897268017925564
2023-11-16,7505.445146365232,6462.433378165787,8670.955390828945,-1.0575732256456472
2023-11-17,7462.4337128889965,6392.786337936398,8443.76106118929,-0.573069719882846
2023-11-18,7501.747482120111,6343.418305748528,8568.712822739362,0.5268223577411746
2023-11-19,7443.591247029565,6369.139343217397,8683.0649200908,-0.7752358397714265
2023-11-20,7383.5783629221905,6259.116254809269,8514.575509717306,-0.8062356208950017
2023-11-21,7304.5321511854845,6195.651204829797,8287.350406563182,-1.0705677904584765
2023-11-22,7210.181336761141,6202.446795504387,8284.433040337384,-1.2916749830313323
2023-11-23,7106.535005373883,5967.450483559979,8087.4363955677045,-1.4374996487094838
2023-11-24,7043.987467844354,5995.66842631571,8102.743873584013,-0.8801411304135032
2023-11-25,7068.688923484261,6056.396266562405,8125.980678258945,0.3506743269017454
2023-11-26,6999.819919463629,5903.494357967766,8036.56106739274,-0.9742825687494738
2023-11-27,6932.878437928579,5883.530523604058,8009.123972229904,-0.9563314814558743
2023-11-28,6852.516162507126,5831.121523600159,7958.646755324405,-1.1591473316740264
2023-11-29,6762.892453703391,5653.052864339353,7833.346602414111,-1.3078948911365185
2023-11-30,6670.380025702663,5641.356541752766,7801.197967129976,-1.3679417295785479
2023-12-01,6626.0422788669985,5698.989770441687,7676.093205661564,-0.6646959643201722
2023-12-02,6676.549043534589,5603.41124114809,7752.114491586377,0.7622463386428358
2023-12-03,6639.418530937368,5603.527178224144,7790.407066094602,-0.556133301127737
2023-12-04,6610.8834098027155,5509.916783948185,7657.139609796177,-0.42978343663211405
2023-12-05,6575.196685355368,5494.259327363906,7706.096417857852,-0.5398177858413122
2023-12-06,6536.173132010351,5332.635375206828,7528.479812856241,-0.593496365392876
2023-12-07,6499.740315917406,5429.340145073075,7541.028444074271,-0.5574028618446136
2023-12-08,6516.805320969679,5428.57714147812,7553.66335122639,0.2625490284662968
2023-12-09,6633.733497777947,5590.386151875676,7725.2428721040205,1.7942560971097032
2023-12-10,6665.57640004212,5619.359125150341,7739.124639441472,0.48001479521055934
2023-12-11,6708.535457199506,5616.175527709843,7773.212226084211,0.6444912574569583
2023-12-12,6745.75571441725,5602.988307346546,7801.307852126357,0.5548194155819752
2023-12-13,6780.072140530209,5693.9984688872755,7830.8241062353045,0.5087113670543486
2023-12-14,6816.422122412156,5705.745911047318,7889.8091150023465,0.5361297214619976
2023-12-15,6905.115980444717,5771.691510468843,8014.449557471222,1.3011790707758486
2023-12-16,7091.890988036655,6006.753635646394,8172.805016268179,2.704878645353448
2023-12-17,7189.135072880433,6152.185115813625,8268.338779883195,1.3712010662292995
2023-12-18,7292.95508354117,6164.169025782648,8372.343891263065,1.4441238008223944
2023-12-19,7385.462377152965,6393.9637408059825,8490.128567685437,1.268447324193267
2023-12-20,7468.724822809444,6359.932004457581,8589.261246191938,1.1273829775919397
2023-12-21,7547.038345187156,6470.709962117517,8626.841939418318,1.0485527882690526
2023-12-22,7670.5955719681015,6661.773860706594,8744.282276014235,1.63716177299853
2023-12-23,7885.106319288459,6822.914268189605,8987.692811750005,2.7965331414979033
2023-12-24,8001.005281276078,6890.229368145114,9099.369202793221,1.4698465346511203
