ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-24,2870.0169792069555,2252.923699944344,3488.6001855661425,
2023-05-25,2842.100099280537,2220.5803080015517,3456.4110636754012,-0.9727078316495663
2023-05-26,2804.6259280467075,2156.453905375392,3436.6366735878605,-1.3185380502015343
2023-05-27,2770.1179330261893,2165.290477427833,3377.0646375765305,-1.230395635846926
2023-05-28,2743.516750170567,2113.435797277849,3398.3924307633874,-0.9602906265641309
2023-05-29,2723.897749840088,2135.36356237128,3361.9418443339623,-0.7151040841744116
2023-05-30,2750.5702348462005,2091.8023110619943,3370.085491456152,0.9792028723426993
2023-05-31,2782.71714908355,2177.882657326381,3399.0002613555384,1.1687363525602512
2023-06-01,2745.547266693019,2127.5230827012792,3353.7331695595058,-1.3357405873166917
2023-06-02,2703.3347835138975,2089.30465495022,3284.1676373748433,-1.5374888529952724
2023-06-03,2669.2192027894275,2058.3717237783026,3261.6013211785025,-1.2619813473537023
2023-06-04,2648.666485054406,2022.4607454102202,3328.574493917127,-0.7699898799447769
2023-06-05,2641.173791326397,2000.583584327856,3264.1277648037308,-0.28288551126720574
2023-06-06,2686.447820309263,2092.252869334688,3288.921311164012,1.7141631925754242
2023-06-07,2743.7858181037445,2136.2560660188096,3365.0044436138733,2.1343425083864442
2023-06-08,2738.3112601321336,2123.8443564077834,3305.113108842787,-0.19952570406513992
2023-06-09,2734.3580074930815,2104.505312358969,3343.469324825017,-0.14436827166468547
2023-06-10,2744.8767854413595,2164.1263673032877,3352.612360917615,0.3846891270072428
2023-06-11,2774.9827390359064,2152.8768605197783,3395.4653237918074,1.096805282999469
2023-06-12,2823.6646466426887,2202.9808401933496,3444.815174134147,1.7543138889467569
2023-06-13,2930.061618575077,2345.732299518408,3560.402424537051,3.76804561614259
2023-06-14,3052.606136616589,2444.935159189598,3650.458556709535,4.1823188039679104
2023-06-15,3115.364992011541,2510.463074240373,3744.3772381614062,2.0559106739040933
2023-06-16,3181.7902949270674,2564.595250577666,3785.2509098255555,2.132183647368935
2023-06-17,3263.7548239458242,2642.511450058981,3854.803277206467,2.576050632546023
2023-06-18,3365.207709156,2781.692591950283,3989.6667685299153,3.108471398213686
2023-06-19,3483.9087352971883,2863.466829234544,4138.35654953042,3.5273016229645737
2023-06-20,3657.8223982054055,2985.8976650258182,4275.621913736994,4.991912134385523
2023-06-21,3844.0398358646466,3219.96376621939,4449.044731992476,5.0909371037424656
2023-06-22,3965.2393098804628,3329.3860604729452,4599.824870762452,3.1529193034118164
2023-06-23,4083.815376149872,3421.90910694895,4736.035810625873,2.990388650035447
2023-06-24,4210.551105999504,3587.6569907035523,4791.198739158461,3.103365803209157
2023-06-25,4348.386335406221,3733.854026456775,4952.39739230827,3.273567424708834
2023-06-26,4494.177768162418,3902.825204246857,5141.8633134018355,3.3527709249085547
2023-06-27,4685.207277549805,4049.0106388672075,5273.672871721598,4.250599759107776
2023-06-28,4877.875835435354,4224.9603633566485,5480.70419740172,4.112273939485278
2023-06-29,4994.272940032229,4393.26865024002,5599.793862095535,2.386225244835205
2023-06-30,5096.669859696438,4473.4976314241885,5688.469741883536,2.050286816393898
2023-07-01,5195.811430698728,4589.112699354333,5781.998580870301,1.9452225420030445
2023-07-02,5294.7767371299005,4651.378107302715,5922.571989516654,1.9047132050722615
