ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-19,6000.214589589341,5811.281259334417,6206.814734948217,
2023-05-20,5990.662867006928,5786.493383641677,6184.692889857364,-0.15918968296544378
2023-05-21,5972.883764884185,5762.352335930321,6174.303436615229,-0.2967802147681997
2023-05-22,5953.436672488648,5763.788962126506,6149.349802354714,-0.3255896675885661
2023-05-23,5956.312455089923,5762.700856815022,6158.242514996228,0.04830458035380847
2023-05-24,5932.216132262758,5745.420021603592,6121.76191477614,-0.40455102059955284
2023-05-25,5913.2965798145815,5725.436700039793,6128.022528685767,-0.31892891334962536
2023-05-26,5928.298004578014,5740.893663541201,6127.180744761251,0.2536897069333799
2023-05-27,5913.462847603296,5716.965186895273,6105.127380386287,-0.2502431045683262
2023-05-28,5893.6408275308495,5703.446586657225,6080.772607566841,-0.33520156604146534
2023-05-29,5875.567112322045,5682.331062559292,6076.590500850748,-0.3066646872061929
2023-05-30,5883.512631177573,5689.272369804057,6073.118983802165,0.13522982043494558
2023-05-31,5867.646161596681,5664.121974505034,6062.932729238799,-0.26967681681880906
2023-06-01,5860.333240132896,5675.120970712145,6060.514092966501,-0.12463126204929065
2023-06-02,5890.42781132116,5710.237200171461,6084.287791913626,0.5135300324249359
2023-06-03,5893.28168898788,5698.938869704066,6081.7014074706785,0.04844941247281742
2023-06-04,5893.687994228936,5711.863990864357,6087.714352596113,0.006894380117872245
2023-06-05,5898.087879444946,5685.635893626329,6110.922020552766,0.07465419310148658
2023-06-06,5930.588250196592,5742.10819878008,6126.328107288089,0.5510323246438853
2023-06-07,5940.414195258722,5749.285071219373,6132.772430438978,0.16568246938750697
2023-06-08,5959.787139817615,5755.216566822926,6167.9168705538805,0.3261211074196524
2023-06-09,6017.365530890096,5812.324736025426,6221.2649450296085,0.9661148917181617
2023-06-10,6047.368307301643,5861.956853935338,6240.652202583778,0.498603188679958
2023-06-11,6074.358567361163,5882.6355032550655,6267.757079660748,0.4463141434089879
2023-06-12,6104.382903919061,5905.586949520377,6302.47796091246,0.4942799511248097
2023-06-13,6161.358705014824,5975.346297113989,6373.585894278347,0.9333588995405817
2023-06-14,6193.617143299186,5984.4011118080825,6396.886078314383,0.5235604649686421
2023-06-15,6233.358825507499,6044.141254888186,6408.419271550636,0.6416554541365027
2023-06-16,6309.2398496647165,6117.394111970327,6517.236830460181,1.2173376550489001
2023-06-17,6354.603796027769,6150.664288022213,6552.30081380304,0.7190081126090542
2023-06-18,6394.0984600273905,6182.33691640034,6602.350296386251,0.6215126114441638
2023-06-19,6433.739149424797,6235.446609514503,6634.542883106081,0.6199574442780298
2023-06-20,6497.65566374802,6307.312835706145,6695.378141351471,0.9934582804610237
2023-06-21,6533.714960156753,6338.759910764085,6736.278968306471,0.5549585615919339
2023-06-22,6574.542729625426,6371.545565641483,6771.437147327103,0.6248783382446943
2023-06-23,6649.2428840812345,6453.664091424406,6846.895914653507,1.1362030414556967
2023-06-24,6690.726081170968,6504.459986844184,6888.497456250745,0.6238785048602757
2023-06-25,6724.147817483807,6546.426869621721,6916.045299381949,0.499523308940919
2023-06-26,6755.884585628937,6559.991394402412,6952.522785741737,0.47198201179650123
2023-06-27,6810.630337478359,6610.775488137873,7010.259065455396,0.810341727356878
2023-06-28,6836.089818365586,6636.02832462187,7035.771849814431,0.3738197439248081
2023-06-29,6865.558495595937,6670.453171712503,7072.974398423807,0.43107504455515144
2023-06-30,6928.76954284233,6732.971602913328,7119.891120489195,0.9206978177659142
2023-07-01,6958.314769445281,6762.66733338147,7152.920757177049,0.4264137581754701
2023-07-02,6979.901860309164,6773.860995632822,7163.283207048804,0.31023446882101346
2023-07-03,7000.243153720301,6790.0570468576825,7203.72396631157,0.2914266392025855
2023-07-04,7044.503327381524,6849.671617980166,7262.884896265321,0.6322662326050832
2023-07-05,7060.067066565308,6849.277707826753,7272.520075611291,0.22093451391085317
2023-07-06,7080.682831719514,6889.107653734909,7290.576644990102,0.2920052311094601
2023-07-07,7136.444491456434,6928.50995641679,7322.522411526766,0.7875181117719787
2023-07-08,7159.313268874556,6960.857123241692,7347.791382887255,0.3204505751498665
2023-07-09,7175.2039571459445,6991.5099979386,7377.104785932532,0.2219582755300431
2023-07-10,7187.551269749691,6998.137412632345,7385.1017308161845,0.17208308889182788
2023-07-11,7224.829807311594,7023.770903749832,7426.973329400646,0.5186542142495476
2023-07-12,7233.764296119699,7031.662157340402,7434.206855065784,0.12366365778004873
2023-07-13,7248.167449501761,7055.852896633316,7464.4619209147695,0.19911007315773777
2023-07-14,7298.076341698136,7086.799051098628,7482.314477445858,0.6885725605001891
2023-07-15,7314.651257140888,7108.853394656241,7511.855504971277,0.22711348397452813
2023-07-16,7323.713139012086,7133.512825490766,7519.923429596291,0.12388672477516849
2023-07-17,7331.685394133614,7136.11223814044,7538.913000231899,0.10885537117861777
2023-07-18,7363.663474514216,7169.519450972135,7556.326402413681,0.43616274651103737
2023-07-19,7365.755843328832,7160.371143682186,7548.858043518895,0.02841478052137969
2023-07-20,7371.737043471488,7170.154870850541,7574.556042332879,0.0812028021275335
2023-07-21,7411.6187382131275,7211.7699706365265,7601.839314160423,0.5410081030624792
2023-07-22,7415.9586806035495,7206.160236008908,7609.456873332149,0.05855593148695881
2023-07-23,7410.624133916136,7215.751697576743,7608.723255674344,-0.07193333885969766
2023-07-24,7402.0203903378515,7185.4843037060455,7596.302256598205,-0.11610012089140476
2023-07-25,7415.403612324503,7225.315966382261,7606.196186546391,0.18080498675903112
2023-07-26,7396.611388819801,7204.052493958698,7602.0754391612545,-0.25342145198232746
2023-07-27,7379.761925111789,7174.960810776085,7585.848893700769,-0.22779976968209104
2023-07-28,7395.249178502235,7192.8625596180655,7591.438175653618,0.20986115199388422
2023-07-29,7373.450560300776,7169.794039099752,7553.98564385869,-0.2947651617314917
2023-07-30,7340.70444262896,7134.139570347186,7531.868039079677,-0.4441084591808697
2023-07-31,7303.813339612864,7094.711759925627,7507.538743515076,-0.5025553515254244
2023-08-01,7288.588128849008,7090.997056351937,7475.850616309569,-0.2084556389369996
2023-08-02,7240.9568228423905,7043.990374836145,7435.775822575131,-0.6535052490905358
2023-08-03,7195.699329262266,7004.532761232028,7402.548279413925,-0.6250209010686958
2023-08-04,7174.180043950875,6971.292116906807,7367.154632878509,-0.2990575943588869
2023-08-05,7116.624207112664,6943.315970208158,7329.801665236411,-0.8022636243530168
2023-08-06,7050.015634068047,6852.759790977991,7245.48952173901,-0.9359574301822216
2023-08-07,6981.617430370006,6773.501530067526,7177.542162517872,-0.9701851350161217
