ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-12-13,2012.8667292960993,1992.4168543218434,2033.6016462196626,
2022-12-14,2009.0885003618719,1987.7878979163577,2029.790477698034,-0.18770387921055454
2022-12-15,2011.2613641972175,1991.0349288289867,2032.0329452389744,0.10815172327920397
2022-12-16,2008.20497286674,1989.1924525818454,2027.1288785151937,-0.15196390607828958
2022-12-17,2005.1874272977982,1984.9007510155097,2025.405140986132,-0.15026083540836677
2022-12-18,2003.2302442993944,1982.5162179464887,2023.4483482194557,-0.0976059879370661
2022-12-19,2001.614259286657,1981.891001638101,2022.1038621976447,-0.08066896041211136
2022-12-20,2003.855267373858,1982.7228295138614,2025.3062337158465,0.11196003809443855
2022-12-21,2000.4974331724227,1980.6799570549913,2020.2450772796487,-0.16756869900268478
2022-12-22,2003.2681818042452,1983.6935228077753,2021.9190687799974,0.13850298360185143
2022-12-23,2000.9488613435453,1981.6664483023264,2020.9802576203267,-0.11577683316523757
2022-12-24,1998.7994283833384,1979.369288734806,2019.4770817382346,-0.10742068434290708
2022-12-25,1997.8198318974032,1978.5509218384682,2018.2749079421815,-0.049009243850317574
2022-12-26,1997.2619295820684,1978.9543138660583,2018.8819516415579,-0.02792555697102017
2022-12-27,2000.6186414516644,1980.500228389783,2021.4849606341454,0.16806568131493282
2022-12-28,1998.3816530944562,1980.80663255293,2019.2876738972136,-0.11181483121566194
2022-12-29,2002.2699397641777,1982.8594932901144,2022.2163812546783,0.1945717758017107
2022-12-30,2001.0075963766103,1981.2221132145064,2019.8380040507177,-0.06304561450470869
2022-12-31,1999.8334076208644,1980.151222310172,2020.82267424118,-0.0586798749726003
2023-01-01,1999.7191583695294,1979.2732058438532,2019.8837758017053,-0.005712938432755887
2023-01-02,1999.8878808914312,1980.3889980958345,2018.8227446078079,0.008437310869169323
2023-01-03,2003.816633109212,1983.5121048721805,2021.8558269455282,0.19644862371133165
2023-01-04,2001.9583959727124,1981.6767325538872,2021.503684203288,-0.09273488930053864
2023-01-05,2006.0439194642543,1985.8164479158688,2025.8514113453293,0.20407634343253545
2023-01-06,2004.766204268987,1983.509872292464,2025.0002029520854,-0.06369328123227991
2023-01-07,2003.3742481318004,1982.0679861853337,2024.0437964592481,-0.06943234249572328
2023-01-08,2002.8474013949767,1981.56805905513,2024.6527321311228,-0.02629796890496472
2023-01-09,2002.4189150372044,1981.7531536600186,2021.4998184545072,-0.02139385943601413
2023-01-10,2005.591194380656,1984.3709553711117,2025.4112894404514,0.15842236205567684
2023-01-11,2002.820656066807,1983.2024115134266,2021.9190709708948,-0.1381407298561843
2023-01-12,2005.891610944585,1984.7506010610125,2024.8268736494842,0.15333149618141917
2023-01-13,2003.5061040402488,1983.2544032045196,2023.5864633615433,-0.11892501525607724
2023-01-14,2000.9605713023002,1983.0481405946293,2021.8285429462842,-0.12705390479297307
2023-01-15,1999.2750427955407,1979.482431645214,2019.5038913227982,-0.0842359680112259
2023-01-16,1997.7208997065904,1976.5565340746743,2016.8459948765897,-0.07773533184194381
2023-01-17,1999.8476521387813,1979.9249258598559,2021.0031469901771,0.10645893690670594
2023-01-18,1996.1299751155204,1975.4655322887272,2017.0153565588778,-0.18589801174528908
2023-01-19,1998.4130488892772,1977.454048009878,2017.8215142462109,0.11437500574704718
2023-01-20,1995.4073916268967,1975.2535572568684,2015.6400336436923,-0.15040220359104906
2023-01-21,1992.4482972175254,1972.900969508209,2011.1966234600304,-0.14829525147537215
2023-01-22,1990.5799965604456,1969.583970706361,2009.4733556487838,-0.09376909100672348
2023-01-23,1989.087975032966,1969.65123757245,2008.2186545567035,-0.07495411036269051
2023-01-24,1991.537860065904,1971.9956004078463,2011.0541900536416,0.12316624823482947
2023-01-25,1988.2961737679752,1968.3707688992856,2008.1475839257687,-0.1627730189282639
2023-01-26,1991.3157155999745,1971.847224176811,2012.6917934910093,0.15186579704959957
2023-01-27,1989.2698935080996,1968.0997399481928,2009.9430073443436,-0.10273720414336607
2023-01-28,1987.4836649571005,1966.3745735379807,2008.5667992916362,-0.08979317270262355
2023-01-29,1986.9750435805572,1967.0871968025413,2006.549952505374,-0.02559122298769756
2023-01-30,1986.9937416667692,1967.6900358785233,2006.514416479443,0.0009410327659775675
2023-01-31,1991.0721651686492,1970.8895894752377,2011.426687808152,0.20525598125229472
2023-02-01,1989.6051825915845,1969.949772698856,2009.2701423499768,-0.07367802145636926
2023-02-02,1994.4307863582014,1975.6785649346057,2013.6254470869717,0.24254077184957534
2023-02-03,1994.1537788503194,1972.7579526867187,2013.3014146845148,-0.013889050940085745
2023-02-04,1994.0600747613378,1974.1940671419388,2013.3960896662868,-0.004698939970204652
2023-02-05,1995.1221214301638,1974.2645432552572,2015.060815149285,0.053260515180464374
2023-02-06,1996.5435132839052,1977.0002622601555,2016.388109235896,0.07124335089434553
2023-02-07,2001.8221802398245,1981.1221274916247,2021.1176942783516,0.26439027853877306
2023-02-08,2001.3003022226333,1980.32782859438,2021.191905330017,-0.026070148604750987
2023-02-09,2006.8079311587292,1986.890831673585,2028.000897734583,0.27520252357824404
2023-02-10,2006.9078251809503,1988.2844205191207,2026.2029170701267,0.004977756997570637
2023-02-11,2006.8818634315592,1985.8919689778043,2026.8097895814576,-0.0012936194211499163
2023-02-12,2007.699519593067,1988.348038816139,2026.8709871674716,0.040742615517475045
2023-02-13,2008.5673515006008,1987.5322008842825,2028.0085171536894,0.04322518878272508
2023-02-14,2013.0030781827488,1991.205988180031,2031.9348955557364,0.22084032575926393
2023-02-15,2011.3541624520806,1992.128400315841,2033.2334758175061,-0.08191322450220584
2023-02-16,2015.502781543071,1996.7021267961752,2037.2666282189084,0.20625999977710308
2023-02-17,2014.0301115103591,1994.14845145653,2033.3379317519482,-0.07306712976027363
2023-02-18,2012.2731145383693,1992.3292635798773,2032.151168973156,-0.0872378700769394
2023-02-19,2011.2543352796538,1988.91559380465,2032.1332488553235,-0.05062827959857463
2023-02-20,2010.2345943565822,1990.5351350356832,2030.5364411987787,-0.0507017389687725
