ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-09-09,2505.1212093739264,2493.7885170238187,2516.4886269976523,
2023-09-10,2502.6198138627487,2491.308144475348,2514.5385908011467,-0.0998512767293569
2023-09-11,2500.35682284804,2489.3784626822626,2511.4918088899512,-0.09042488204454857
2023-09-12,2498.2242042654457,2486.8978327056666,2509.6876573486784,-0.085292569568729
2023-09-13,2496.3281512953417,2485.6588993065157,2507.263419963704,-0.07589602914208626
2023-09-14,2495.2353156249173,2484.251929109632,2507.391456293562,-0.043777724889948466
2023-09-15,2493.3215154256977,2482.281049198328,2504.3651633298837,-0.07669818502630266
2023-09-16,2491.4506453744098,2481.2459037274707,2503.5235886539176,-0.0750352507574048
2023-09-17,2489.9107889406987,2477.808166591984,2500.9629364704383,-0.061805616602117475
2023-09-18,2488.5442073022537,2477.2426605441137,2499.2303757560976,-0.0548847631214322
2023-09-19,2487.2273347505215,2476.3359909115284,2497.8283077732017,-0.052917386312367753
2023-09-20,2486.0490427768186,2475.0223112827193,2497.1987426910973,-0.04737371438631177
2023-09-21,2485.5526785570814,2473.8528350065862,2496.959499041265,-0.019965986639702837
2023-09-22,2484.1348373359588,2472.3142531953554,2495.3754592979312,-0.05704329798980057
2023-09-23,2482.636999091382,2471.622094137538,2493.4001882623115,-0.060296173221530136
2023-09-24,2481.3390497162545,2470.3222073586685,2492.905016507723,-0.05228107756400924
2023-09-25,2480.0870235229236,2468.7018801184427,2491.1481965757653,-0.05045768305923515
2023-09-26,2478.7640560180507,2467.381612004565,2489.3042955447886,-0.05334359207257444
2023-09-27,2477.4650909083357,2466.561845849742,2488.544472633222,-0.05240374155666139
2023-09-28,2476.733981519813,2465.9915441178273,2487.644563002189,-0.02951038104253012
2023-09-29,2475.011574420248,2463.237043074268,2485.826590131919,-0.06954348397594234
2023-09-30,2473.1393322295353,2461.9185571837183,2484.334726755699,-0.07564579535961347
2023-10-01,2471.4095593118254,2460.4853469429854,2482.5638585126,-0.06994239649855682
2023-10-02,2469.6902518250095,2458.495557459465,2480.6537764602017,-0.06956789012723119
2023-10-03,2467.886440631632,2456.3637488137033,2479.6529174953757,-0.07303795251426548
2023-10-04,2466.110870126534,2455.263977404662,2477.921706018926,-0.07194701003517823
2023-10-05,2464.915803513833,2453.443587081374,2475.9920626151315,-0.04845956551172703
2023-10-06,2462.790180813634,2452.3191061166945,2473.241681034496,-0.08623510373737542
2023-10-07,2460.575121128386,2449.019814802531,2470.9999695807646,-0.0899410636969522
2023-10-08,2458.5708795050123,2447.6301453027622,2469.855163104047,-0.0814541936217994
2023-10-09,2456.6589636125777,2445.749912960402,2467.4509836116767,-0.07776533547894093
2023-10-10,2454.754153128441,2444.1420155130295,2466.65028712134,-0.07753662646505788
2023-10-11,2452.971555107655,2441.9262857786885,2463.248869795784,-0.07261818942292386
2023-10-12,2451.8415820790315,2439.811872642738,2462.8000373551176,-0.04606547622906243
2023-10-13,2449.892854692673,2439.334182077301,2461.579679890845,-0.07948015078143023
2023-10-14,2447.944231265388,2436.453441034514,2459.002914894509,-0.0795391285603575
2023-10-15,2446.2811979804924,2435.330181403576,2457.554586787301,-0.06793591388460918
2023-10-16,2444.7760055818453,2433.667942788135,2455.4379104306463,-0.06152981921659917
2023-10-17,2443.3311075373554,2431.754183776017,2454.7184392167624,-0.05910144901581926
2023-10-18,2442.0433088044992,2430.430258341789,2454.4342326307833,-0.05270668100951781
2023-10-19,2441.4266625130012,2430.712155171987,2453.0636516860022,-0.025251243058410644
2023-10-20,2440.009683819642,2428.8346966366757,2450.6426370889985,-0.05803896201824754
2023-10-21,2438.576310684995,2427.873304000601,2449.3300766620187,-0.05874456745610379
2023-10-22,2437.388274985132,2425.6818376050483,2448.4989048809134,-0.04871841388179865
2023-10-23,2436.303548153565,2425.630106161032,2447.292253106465,-0.04450365346791996
2023-10-24,2435.2113609367007,2423.9194129801604,2446.247495237563,-0.04482968543438881
2023-10-25,2434.1934874632498,2422.989085823237,2444.8473352870396,-0.04179815722686886
2023-10-26,2433.742931069184,2422.7484356930045,2444.1007882266986,-0.018509473317795955
2023-10-27,2432.411278909258,2421.7121599285056,2442.812570336917,-0.054716220966744
2023-10-28,2430.9622319225396,2419.7421880454694,2442.738815310829,-0.059572449744926814
2023-10-29,2429.65132075744,2418.3060007149834,2440.5416582102116,-0.05392560805286273
2023-10-30,2428.3425388190085,2416.8258207505564,2439.5257612460628,-0.053867068383428585
2023-10-31,2426.9338367849446,2415.4033221786717,2437.9790120666185,-0.05801084532123246
2023-11-01,2425.5149721106923,2414.687394875509,2436.9083995603955,-0.05846326145141356
2023-11-02,2424.5812236391016,2413.191037683935,2435.357761342804,-0.03849691642093811
2023-11-03,2422.7301111069432,2412.336845336418,2433.4046205336463,-0.07634772199464068
2023-11-04,2420.726724985885,2408.98338877452,2431.8361567210354,-0.08269126271530647
2023-11-05,2418.8403542555916,2407.181780364312,2430.0578068531213,-0.07792580264526228
2023-11-06,2416.957726973703,2406.5558754727767,2427.3998325139432,-0.07783181219779278
2023-11-07,2414.9992818787982,2403.5005655113728,2426.7424175961505,-0.08102934830211961
2023-11-08,2413.072784733486,2401.532511074312,2424.6355757231763,-0.07977216224318573
2023-11-09,2411.681689412611,2400.3445072543586,2421.396034267129,-0.05764829513954517
2023-11-10,2409.470970203261,2398.113006340549,2420.940817558867,-0.09166712253342313
2023-11-11,2407.204138044407,2395.845044207891,2418.1510327572614,-0.0940800776140005
2023-11-12,2405.156661867143,2393.754206121999,2415.9516038996117,-0.08505619215689597
2023-11-13,2403.2264449492327,2391.671112637567,2414.383702435224,-0.0802532720014959
2023-11-14,2401.2441060747956,2390.140570044509,2412.354184574199,-0.08248656212165306
2023-11-15,2399.4123915059968,2387.8442700931187,2409.854171819245,-0.07628189754489423
2023-11-16,2398.220727151969,2387.254446543989,2409.690109112004,-0.049664841202212706
2023-11-17,2396.3372931857957,2385.3091864014955,2407.3512940896458,-0.07853463798597193
2023-11-18,2394.4980695084487,2383.340533198562,2404.760997860107,-0.07675145241770043
2023-11-19,2392.9580719458145,2381.6654488495237,2404.201251586893,-0.06431400309920843
2023-11-20,2391.5999898599407,2381.102878444843,2402.5539512299056,-0.05675327544579778
2023-11-21,2390.3325628498114,2379.3146104910224,2401.932125023307,-0.05299494127375404
2023-11-22,2389.237724613976,2378.5946987406396,2401.0447109523957,-0.04580275786103538
2023-11-23,2388.7700880147504,2376.789627932549,2398.9167790985102,-0.019572627470587634
2023-11-24,2387.603995382559,2376.2751993328716,2398.8695441801688,-0.048815607581587095
2023-11-25,2386.434548558035,2375.750710411605,2397.6394000367936,-0.04897993246725241
2023-11-26,2385.487702680201,2374.2041760235666,2396.7410421651875,-0.03967617207043528
2023-11-27,2384.627355047932,2373.324831058773,2395.670447561478,-0.0360659009603137
