ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-01-01,1870.034945078496,1772.7037190923943,1970.63933612845,
2022-01-02,1884.971104037766,1784.610116228781,1982.1168589230267,0.798710152373272
2022-01-03,1899.1483995441986,1789.153930146656,2002.9099140171056,0.7521226970569339
2022-01-04,1916.1267365981187,1812.5676389207506,2017.2213157942174,0.8939973863019368
2022-01-05,1921.9419467161038,1824.3847739798612,2020.7553201436444,0.30348776032995683
2022-01-06,1936.1588973756943,1836.2286403817113,2046.7520082418935,0.7397180067734155
2022-01-07,1941.6419753812659,1843.9091054236212,2053.2663297204654,0.28319359599067173
2022-01-08,1946.4783048999009,1837.5112950321568,2044.0559013481854,0.24908451609289006
2022-01-09,1960.8470616988443,1859.3172505054054,2062.9732581039016,0.7381924968170805
2022-01-10,1974.0036748824557,1870.515037619613,2072.3605853814615,0.6709658004746544
2022-01-11,1989.5942954310494,1893.1828425884407,2088.6565377341813,0.7897969363974022
2022-01-12,1993.3175874403196,1894.3913335660336,2102.998065830844,0.18713825315141985
2022-01-13,2005.2323100932938,1907.0181364692244,2100.804764787378,0.5977332828470239
2022-01-14,2007.8039438187025,1905.4705533814097,2107.3442402781775,0.1282461743940866
2022-01-15,2009.3451562954215,1905.96310422426,2110.6289239597986,0.07676110416376947
2022-01-16,2020.3148727687412,1920.5094478739275,2126.144129471794,0.545934900181333
2022-01-17,2029.7466255565869,1936.1085275527462,2130.398124576325,0.4668456840551727
2022-01-18,2041.4187418526126,1936.0298211783702,2140.120065334739,0.5750528735489313
2022-01-19,2040.7356688998423,1941.856309943943,2137.6204873340034,-0.03346069763964232
2022-01-20,2048.2890931648853,1947.189294934826,2152.6586693765366,0.3701324174490095
2022-01-21,2046.179866262372,1947.360262284161,2146.624245055261,-0.10297505901641912
2022-01-22,2042.9749888266379,1935.8252697116466,2146.5756240121627,-0.15662735659637272
2022-01-23,2049.435837348681,1948.4269831738952,2155.4787321587014,0.3162470689743513
2022-01-24,2054.3902066010937,1950.0549864444981,2166.4721264739537,0.24174307690558727
2022-01-25,2061.757916908906,1957.5092375191737,2167.3441561863624,0.3586324683664488
2022-01-26,2056.6515347994405,1953.1219345283982,2162.6074101639133,-0.2476712744782894
2022-01-27,2060.1910543425465,1965.1231178314738,2160.9503976453966,0.17210108193905782
2022-01-28,2054.1013090826514,1945.5254491631388,2161.1743217117287,-0.2955912873739974
2022-01-29,2047.1858150217577,1952.9883877162397,2155.535962157788,-0.33666762346702406
2022-01-30,2050.4846400190595,1949.8963661114783,2148.8510967091443,0.1611395005326699
2022-01-31,2052.590756149154,1954.4675716281242,2159.56252582059,0.10271308982225946
2022-02-01,2057.5317973869355,1956.6550946394725,2160.3281760677532,0.2407221811254523
