ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-01-01,1662.9530784765318,1527.5013113642794,1804.1572840944336,
2022-01-02,1683.275816991206,1552.7107611110773,1807.138945159588,1.222087308277664
2022-01-03,1703.1383445353893,1563.3785704396512,1837.4618103102491,1.179992449465983
2022-01-04,1715.668393816728,1581.594135945271,1842.790331398697,0.7357035511261989
2022-01-05,1726.479110111849,1602.6215384144716,1860.139605383037,0.6301168882100416
2022-01-06,1737.590864885689,1610.8564225567209,1862.9112234057698,0.6436078321920835
2022-01-07,1738.499424566094,1614.3824703183777,1873.8158754126796,0.052288470132166864
2022-01-08,1732.383408612445,1598.089727179373,1863.4683151880215,-0.35179856071424487
2022-01-09,1752.5845405240173,1609.2149848052748,1882.801388496253,1.1660889737885594
2022-01-10,1772.085833046178,1632.7090829345555,1899.8344348170467,1.112716224024779
2022-01-11,1783.8166279830987,1649.8530193179813,1927.2726140951734,0.6619766784521808
2022-01-12,1793.537623883352,1663.247930382364,1927.0119037070758,0.5449548876133248
2022-01-13,1803.3182611220439,1680.0129220833985,1936.5894377738498,0.5453265718237343
2022-01-14,1802.3647916106381,1676.1551313184361,1934.3676538309853,-0.052873058070879164
2022-01-15,1793.943359772572,1657.9047502918024,1931.5409896667522,-0.46724347242383946
2022-01-16,1812.2973142067817,1681.0696537467625,1943.3126750000167,1.0231066847359527
2022-01-17,1829.6811947481244,1687.3670586842152,1961.6189825932727,0.9592179166778347
2022-01-18,1838.843780012282,1711.478266367848,1975.3714674689522,0.5007749596190658
2022-01-19,1845.713467133087,1715.3017609833823,1971.6953614124816,0.37358731587080474
2022-01-20,1852.4309083005244,1725.8398657225116,1983.0325238552387,0.36394821227974106
2022-01-21,1847.9365822695713,1713.8908294121254,1983.497581567928,-0.24261774141288717
2022-01-22,1835.60902956886,1699.2697783072044,1968.895661010008,-0.6670982553725446
2022-01-23,1850.6186984828234,1722.3614386827785,1972.8091785294514,0.8176942187677616
2022-01-24,1864.5171638001968,1729.1801268420425,1995.1383968893056,0.7510172316300245
2022-01-25,1869.8975834759683,1738.7272736882092,2001.3354819523424,0.2885690612150382
2022-01-26,1872.8798198503016,1734.3082955245025,2008.2358727402668,0.15948661577440681
2022-01-27,1875.697722235585,1746.519863645001,1997.0118212616078,0.15045825981021554
2022-01-28,1867.045617225596,1745.7849128334901,1993.497670561884,-0.46127395194982546
2022-01-29,1850.4311544052716,1719.1212815827353,1975.3079140931043,-0.8898798544094144
2022-01-30,1861.9651981640818,1727.380136097932,1984.802466172691,0.6233165568657606
2022-01-31,1872.505859506635,1739.8041135222177,1993.710143578612,0.5661041008149015
2022-02-01,1874.4960258877095,1738.8792676158391,2002.4304907280439,0.10628358629536372
2022-02-02,1874.2479812912798,1742.6307276889374,2006.490171070186,-0.013232601883605977
2022-02-03,1874.0851936991892,1742.1044074392798,2009.2329535863691,-0.008685488458060053
2022-02-04,1862.4476898653327,1726.1569577319904,1992.9683052088922,-0.6209698402710129
2022-02-05,1842.9595864737753,1709.4015596083918,1968.8318100339254,-1.046370510033845
2022-02-06,1852.6552114533972,1719.8043585263395,1983.9569770503872,0.5260899398327634
2022-02-07,1861.678237670465,1737.3668846737346,1992.8611678840612,0.48703213427334635
2022-02-08,1862.2966734210286,1734.9327791146507,1992.2965602968582,0.033219260882444424
2022-02-09,1860.9874582837597,1736.0088916360146,2001.7397066074996,-0.0703011048644453
2022-02-10,1860.1333100957568,1726.562173604775,1982.8775887570125,-0.045897578954701146
2022-02-11,1847.8876026487715,1715.8333988559002,1986.1489426311593,-0.6583241846443211
2022-02-12,1827.9572489707407,1687.5945439368436,1955.2748734405338,-1.0785479403326526
2022-02-13,1838.2657498916458,1708.7140392797724,1963.6765864974434,0.5639355584879935
2022-02-14,1848.2081409539078,1713.012944456351,1982.2527690400377,0.5408571128982853
2022-02-15,1849.8441499851192,1722.4759255368394,1982.5764241651868,0.08851865733947584
2022-02-16,1849.7834524055907,1713.663475434906,1984.7068842114982,-0.003281226665985404
2022-02-17,1850.4382212915402,1726.878835691339,1970.4247632554677,0.03539705607691346
2022-02-18,1839.6480953134962,1718.5560843198054,1974.2532150998045,-0.583111927428348
2022-02-19,1821.1789305886896,1701.810224780947,1954.8438294445277,-1.0039509606134422
2022-02-20,1833.8232098634594,1701.8220774456117,1966.642357734672,0.6942908828119654
2022-02-21,1846.2111420580625,1715.3314070488843,1974.445217471565,0.6755248885482956
2022-02-22,1850.1822255356194,1707.3847939987309,1982.2347969025507,0.21509367954144487
2022-02-23,1852.4712955646391,1711.2509253119883,1978.1225576081058,0.12372132849547413
2022-02-24,1855.5168025254984,1714.0141656974881,1985.1799994058292,0.16440238335411195
2022-02-25,1846.8457886451872,1713.602544994716,1989.7240020344311,-0.46730990894339186
2022-02-26,1830.2883245411022,1691.8869168598758,1958.5268509223804,-0.8965266188375898
2022-02-27,1845.5149993208124,1710.3886406813401,1973.2813264391496,0.8319276572737788
2022-02-28,1860.4038068877976,1722.802702213391,1995.502960239778,0.8067562481185231
2022-03-01,1866.5896740540884,1736.7734321575715,1999.1387567184674,0.33250131736930477
2022-03-02,1870.9507979043076,1743.878713525956,2008.4072406480605,0.2336412716109848
2022-03-03,1875.9721033182286,1748.2430476239458,2005.5010513952213,0.2683825475018109
2022-03-04,1868.8896489809226,1731.455533496732,2017.4233272621173,-0.3775351629578316
2022-03-05,1853.6201548186764,1721.3934551666948,1988.7886102313971,-0.8170356216897323
2022-03-06,1870.7349814099423,1747.0444624055776,2002.83418479562,0.9233189737807956
2022-03-07,1887.3822296867836,1751.7411523797562,2021.2731314577638,0.8898774247699359
2022-03-08,1895.0136939301942,1763.432254048684,2027.6034725724553,0.40434121522259225
2022-03-09,1900.6709963247529,1768.432464709675,2029.5073240851973,0.2985362276103354
2022-03-10,1906.9037904907123,1776.2631688691695,2045.6991441107305,0.327925989190736
2022-03-11,1900.6732329915947,1769.6417007327827,2030.5869295215866,-0.3267368563735551
2022-03-12,1885.9963152529936,1759.2768343206812,2010.6705653894048,-0.7721957401115254
2022-03-13,1904.356128609188,1755.7627676758757,2037.9621863094778,0.9734808709704001
2022-03-14,1922.1790592348536,1791.6785029677542,2056.9486432982976,0.9359032356349273
2022-03-15,1930.7391335310915,1801.2173890499823,2051.895147836565,0.4453317840037885
2022-03-16,1937.2440006464037,1796.735015642666,2064.2018545843425,0.3369107199591159
2022-03-17,1944.308011221599,1816.502377316541,2077.820318936028,0.36464227391272974
2022-03-18,1938.6149549482657,1817.7757732929774,2070.2407105108887,-0.2928062961462752
2022-03-19,1924.2774598314413,1789.7699143771085,2056.9303231109866,-0.7395741521661225
2022-03-20,1943.683857356489,1802.606478439834,2075.5364255435693,1.0085030838924647
2022-03-21,1962.530826805881,1844.767846697798,2094.1048319626993,0.9696520027194566
2022-03-22,1971.9055140441626,1844.03113923278,2106.3678421699974,0.4776835660482037
2022-03-23,1979.1717566144373,1839.7943550589378,2110.95030421085,0.36848837424123815
2022-03-24,1986.9984326486126,1863.6539016851448,2124.754606698526,0.3954520878755696
2022-03-25,1981.7818469421584,1852.0499199489504,2111.297273741422,-0.2625359749026446
2022-03-26,1964.2709413559478,1829.9175701800123,2098.19450959578,-0.883594004720023
2022-03-27,1981.1491660209674,1843.5651471737913,2106.2612021225914,0.8592615361589839
2022-03-28,1997.3791206138515,1866.5213271523896,2123.7326956753946,0.8192192123261943
2022-03-29,2003.921184640563,1862.9561966678616,2138.423381339742,0.32753241281009426
2022-03-30,2008.2752449458271,1875.679564118199,2132.9228280885286,0.2172770235993493
2022-03-31,2013.1440296436183,1878.5977414272031,2137.5948399831746,0.2424361257274965
2022-04-01,2004.798993448745,1878.8976541576624,2135.43951429873,-0.414527528681119
2022-04-02,1987.5325858508097,1857.7477815825698,2119.5256834282445,-0.8612538042147011
2022-04-03,2004.8908017659253,1880.0263189618731,2124.7329588463394,0.873355035217438
2022-04-04,2021.5322633489077,1890.4446738897404,2151.30627159794,0.8300432905534949
2022-04-05,2028.3380806871558,1902.8540511657627,2159.2844394972376,0.33666627348174494
2022-04-06,2032.8714370677994,1907.5907561189695,2171.7237702942493,0.22350102400621186
2022-04-07,2037.8579946925063,1905.954655501561,2170.8233078470175,0.24529626093323653
2022-04-08,2029.4528343959212,1890.1622134788474,2154.1041996913928,-0.4124507359431262
2022-04-09,2011.9867264487125,1881.6593279147885,2136.10960847208,-0.8606313805961219
2022-04-10,2029.378133321538,1894.4009202209509,2160.906367751336,0.8643897419503555
2022-04-11,2045.9870347360998,1907.6795028320687,2177.4872484308685,0.8184231978186185
2022-04-12,2052.6200903525414,1920.5783671203938,2185.0833884974504,0.32419832109529256
2022-04-13,2056.9079123654074,1920.5113796301932,2192.726195178307,0.20889506212178333
2022-04-14,2061.6024137199383,1925.0118739984325,2202.342488181349,0.22823099305073757
2022-04-15,2052.744718676578,1916.3438997863973,2184.974406493286,-0.4296509833521922
2022-04-16,2034.7054011390499,1904.154767213814,2160.683797526464,-0.8787901083559091
2022-04-17,2051.775953573602,1918.9886896208698,2179.061514974396,0.8389692397236193
2022-04-18,2068.0174171925014,1931.7907646700644,2201.7259704335115,0.7915807566908795
2022-04-19,2074.1609531339627,1939.705266146998,2202.783921803245,0.29707370404072897
2022-04-20,2077.902948414525,1952.4380219959023,2213.8878696860806,0.18041007256008879
2022-04-21,2082.0194854942715,1955.7427241335197,2213.518187416574,0.19811017077999704
2022-04-22,2072.435427253748,1942.1170530307381,2199.1770440540645,-0.46032509817016676
2022-04-23,2053.558841947469,1927.5163134446784,2177.897781965018,-0.9108406977626826
2022-04-24,2070.0521629832165,1936.8778368540957,2197.694352636703,0.8031579470158423
2022-04-25,2085.675844241062,1957.7360619120898,2211.3892611308784,0.7547481912402398
2022-04-26,2091.0845447616016,1955.4503019882643,2230.904596305067,0.25932603743166194
2022-04-27,2094.0402482001327,1963.9370866583638,2234.5839329096016,0.14134786878585714
2022-04-28,2097.3439999231837,1959.9625632149434,2235.2527632758306,0.15776925614923165
2022-04-29,2086.806270671331,1950.8419818775367,2224.4332996062826,-0.5024320880236521
