ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-19,12317.513054213245,11537.328559562458,13059.740447236836,
2023-05-20,12302.41012877332,11539.419080893509,13063.64904348773,-0.12261343157058402
2023-05-21,12266.967768825876,11503.307300333423,13046.16938807685,-0.28809281739476944
2023-05-22,12236.79192972588,11517.742659796366,13028.433825098553,-0.24599265008816706
2023-05-23,12172.24977729276,11397.192023069018,12893.600833355516,-0.5274434084012847
2023-05-24,12225.338794105222,11464.142291454898,12999.151227913271,0.43614794129100964
2023-05-25,12458.668118355376,11669.308100873961,13210.68126694459,1.9085714365859374
2023-05-26,12370.100088687435,11633.04186055189,13128.286322122849,-0.7108948470780141
2023-05-27,12353.017617819869,11574.264476164428,13151.2784063308,-0.13809484761718727
2023-05-28,12313.183582230378,11470.55625870241,13074.09297316551,-0.32246400694861954
2023-05-29,12276.162038140263,11545.347391337858,13046.14517418949,-0.30066589881387884
2023-05-30,12202.85121557739,11394.920805396847,12921.819089103525,-0.5971803103861473
2023-05-31,12244.3470866345,11475.023016558109,12993.146526562923,0.34005061869588626
2023-06-01,12463.099557813097,11659.0010023581,13245.2744649456,1.7865588882022054
2023-06-02,12361.25953902403,11541.31635480118,13109.634516917384,-0.8171323539273523
2023-06-03,12329.544126545496,11579.570338281583,13152.08332421144,-0.2565710426062129
2023-06-04,12274.86929606806,11439.995148697475,12992.285633141184,-0.4434456774417228
2023-06-05,12223.0206514524,11462.554045776164,12978.853835256941,-0.4223967144991847
2023-06-06,12135.615272791598,11362.340858092619,12869.744982315688,-0.7150882024437699
2023-06-07,12162.954319798675,11371.213600332643,12994.454550288589,0.2252794472511921
2023-06-08,12367.35104887257,11627.448586067218,13077.063372849436,1.6804858729197125
2023-06-09,12255.182869144459,11451.462341372659,13022.287528851328,-0.906970128727258
2023-06-10,12214.356309920324,11401.620122826967,12982.45832858772,-0.3331370870599315
2023-06-11,12152.71745150768,11406.307009940303,12974.200897714947,-0.5046427077174842
2023-06-12,12095.978975088845,11343.52107358758,12893.32743058276,-0.46687892354311256
2023-06-13,12006.119772886135,11236.561137738223,12798.807402616194,-0.742884907354513
2023-06-14,12032.2373769807,11241.53635181768,12788.316900819165,0.2175357616666984
2023-06-15,12236.060160609937,11493.087578432114,13008.971599250504,1.69397242793079
2023-06-16,12127.717948780972,11369.19096161223,12968.354647233264,-0.8854337949214974
2023-06-17,12091.821149707206,11316.704071983831,12846.48530878597,-0.29598972556393877
2023-06-18,12036.66369272238,11286.607741077734,12752.814782151583,-0.4561550845147977
2023-06-19,11987.421103817702,11146.121707171495,12744.773150371277,-0.40910496597534873
2023-06-20,11906.00212314484,11134.727218503082,12648.337904171765,-0.6792034747734932
2023-06-21,11939.914303343507,11173.29145040574,12694.933365500798,0.2848326402759671
2023-06-22,12149.972440233823,11408.944436953208,12908.757248404405,1.7592935054106196
2023-06-23,12049.79812566426,11271.646353229198,12811.144729553504,-0.8244818254718234
