ds,yhat,yhat_lower,yhat_upper,growth_percent
2025-01-26,2562.0594891812975,2405.39388014815,2722.6051336195287,
2025-02-02,2517.479995569865,2361.4844039513514,2677.064914715802,-1.7399866708668
2025-02-09,2346.394740033893,2177.1786547892716,2514.9785539068885,-6.795893347197968
2025-02-16,2547.3783491404515,2394.003058655406,2712.083044466576,8.565635000684303
2025-02-23,3111.160610796379,2949.720640587385,3275.2790354469776,22.13186203165154
2025-03-02,3523.125811437168,3353.9914404676874,3702.428912516727,13.241527911197636
2025-03-09,3361.570526310303,3202.6717464191966,3524.6604784553983,-4.585566731747304
2025-03-16,2762.944455371746,2605.4815287836464,2927.489195149721,-17.807928355310043
2025-03-23,2248.7184210633914,2088.254827504693,2417.917338194582,-18.611522693067194
2025-03-30,2172.4183768107605,2003.596179646069,2332.2834376153833,-3.3930457249756296
2025-04-06,2423.2818844072767,2260.5296317631232,2582.177164664609,11.547660905207358
2025-04-13,2643.479466272298,2484.9623516351367,2810.5517935793273,9.086750628636864
2025-04-20,2628.362958601026,2467.341482256852,2796.7065451253434,-0.5718413123362853
2025-04-27,2461.9263502691038,2313.36788296186,2616.18831840239,-6.332329703067718
2025-05-04,2328.1375897240337,2164.335216887899,2478.508335800725,-5.434312059353285
2025-05-11,2293.172270415409,2136.2562501969464,2449.470768922483,-1.5018579427158896
2025-05-18,2291.682385753436,2127.997849183523,2455.6516731675856,-0.06497046389380978
2025-05-25,2253.656216822209,2089.2968534803863,2415.7723813559187,-1.659312353562692
2025-06-01,2180.954772115292,2034.46963302244,2343.2746009155558,-3.2259332263831375
2025-06-08,2116.274891382911,1950.8256912158072,2276.0872616285305,-2.965668135779298
2025-06-15,2091.327510241226,1940.326149366354,2251.9369281314393,-1.1788346231988323
2025-06-22,2111.873801851833,1943.0528941629002,2272.815769360594,0.9824521271772024
2025-06-29,2146.7793578770898,1976.315420282814,2307.5869697719545,1.6528239516323984
2025-07-06,2110.568688615838,1952.1292408192835,2264.572662378323,-1.686743871855556
2025-07-13,1908.4808098334966,1740.1960092868947,2062.739243733248,-9.575043914579984
2025-07-20,1564.5389562106966,1403.6450873019182,1737.1178336787184,-18.02176117520442
2025-07-27,1292.8388589960753,1138.4316322506318,1459.8100071694373,-17.3661445843878
2025-08-03,1351.78335806558,1190.535088094997,1510.342254810839,4.559307500648346
2025-08-10,1760.6234551721088,1605.1626753868968,1917.7985339410966,30.244498474340187
2025-08-17,2195.0487271809507,2036.0552611734272,2347.3057119857003,24.674513493083893
2025-08-24,2256.7064848766886,2091.9199696429364,2417.1512479773455,2.808947105922499
2025-08-31,1886.7423912556603,1727.9853353621088,2054.4134053568896,-16.393983714778216
2025-09-07,1460.6486193519718,1284.0710791269373,1606.5573535042959,-22.58356911248046
2025-09-14,1406.918432697318,1246.5758918742288,1570.781682453766,-3.678515554171524
2025-09-21,1740.578215294846,1581.2335328700758,1900.2512615356832,23.715645117950544
2025-09-28,2043.6010979137038,1877.6576668485836,2207.6303831280875,17.40932294545161
2025-10-05,1938.076897127674,1783.4867611033728,2100.960929421355,-5.163639855828938
2025-10-12,1521.0336005322245,1354.015053834963,1683.5581171601737,-21.51840812991107
2025-10-19,1253.0155173749897,1092.0260369966823,1419.4008592103721,-17.620786487783867
2025-10-26,1420.3544231431467,1253.0242504123173,1579.1270998181885,13.354894927297023
2025-11-02,1796.530174557512,1629.1845382823167,1954.94445660074,26.48463969872492
2025-11-09,1903.9432125682933,1741.8177062065813,2077.315607290177,5.978916443039273
2025-11-16,1574.5349995767742,1408.7380389838816,1734.4911685582501,-17.301367541690972
2025-11-23,1153.2099525669032,995.2982108113824,1312.6280554188324,-26.758696829420792
2025-11-30,1103.6151830132144,945.5733717030167,1263.7703115075797,-4.300584593750423
2025-12-07,1472.6027686483656,1309.8178770591855,1624.2607733145808,33.43444266757003
2025-12-14,1829.830036121425,1658.5010334317415,1997.1392135440708,24.25822326824376
2025-12-21,1744.3504363136392,1571.4291536541655,1905.066372209743,-4.671450250591125
2025-12-28,1249.5040586476507,1087.2586052355432,1413.983221217658,-28.368518582295565
