ds,yhat,yhat_lower,yhat_upper,growth_percent
2025-01-01,6141.166260382259,5580.8945587188255,6715.914464742153,
2025-01-02,6031.048976236166,5482.628763961293,6630.321928292432,-1.793100519953006
2025-01-03,6022.04018008216,5466.26354248376,6596.7678017509115,-0.14937361957269024
2025-01-04,5978.41451198941,5415.898971806578,6520.1347509791485,-0.724433361255894
2025-01-05,6045.712016737617,5492.6476782337295,6577.18964606855,1.125674785735331
2025-01-06,6112.333752120833,5521.079344348719,6677.020168716536,1.1019667360729901
2025-01-07,6078.657957636045,5526.566669750099,6644.960310123994,-0.5509482278042155
2025-01-08,6060.711217047327,5465.665597718121,6617.026355278325,-0.2952418233398424
2025-01-09,5973.559824589841,5401.291906823759,6509.900071473242,-1.437973025547734
2025-01-10,5984.881374073395,5397.198447819948,6557.967480276131,0.18952768225319883
2025-01-11,5958.794206737437,5422.793681912236,6509.3810273290665,-0.4358844512602711
2025-01-12,6039.826701565404,5458.530780085507,6585.945357048306,1.3598807412470437
2025-01-13,6116.380628784806,5544.232989231779,6696.6016978426505,1.2674854925814438
2025-01-14,6088.930819242129,5542.0273295442685,6678.341360450228,-0.44879171537319795
2025-01-15,6072.998650248871,5498.809099770551,6662.622628406718,-0.26165790786962795
2025-01-16,5983.981082585613,5425.983393400075,6522.184749902276,-1.465792646925912
2025-01-17,5989.153488713725,5445.29985231937,6579.604061661741,0.08643754144150861
2025-01-18,5953.411565475421,5408.080201014307,6489.685910881253,-0.5967775463704084
2025-01-19,6021.211971164127,5469.0826293853515,6539.693064311071,1.1388496317286112
2025-01-20,6081.874249144734,5558.878015817058,6628.252394647482,1.0074762069683274
2025-01-21,6036.835776008738,5448.982739499939,6611.968521993827,-0.7405360796851279
2025-01-22,6001.90114260323,5432.638293805806,6572.994548345789,-0.5786911339272005
2025-01-23,5893.485010881967,5286.055806296768,6443.056569473166,-1.8063631696912497
2025-01-24,5879.025609409595,5337.591431060412,6430.586742306826,-0.24534552044629399
2025-01-25,5824.622422099591,5264.0640936543805,6374.999968974883,-0.9253776207902464
2025-01-26,5874.935849828584,5353.933561167365,6434.989093365719,0.8638058243585878
2025-01-27,5920.320116444021,5366.607329592053,6455.676686304616,0.7725065902934203
2025-01-28,5863.130775718903,5258.955670494629,6424.101056107137,-0.965983926549352
2025-01-29,5819.252351961827,5242.264267541245,6413.770190250517,-0.7483787320383684
2025-01-30,5705.762222993377,5176.64122599221,6272.836007491967,-1.9502527490527166
2025-01-31,5689.766679844196,5093.517453141003,6342.649293554544,-0.2803401635757097
2025-02-01,5637.950577962335,5094.631029694107,6219.275147661258,-0.9106893972545049
2025-02-02,5694.456018987159,5170.5341533375795,6287.543867561743,1.0022337060862752
2025-02-03,5749.869373251567,5169.5391860619,6276.051542217691,0.9731105847449184
2025-02-04,5706.607088883034,5173.993657818835,6342.699219237984,-0.7524046471349299
2025-02-05,5679.748843958167,5094.092045936993,6261.785660642911,-0.4706517288913914
2025-02-06,5586.150680933546,5002.222599249042,6141.646704821419,-1.647927850263764
2025-02-07,5591.73183979215,5025.057112944445,6145.002302519655,0.09991063931829025
2025-02-08,5562.963716805801,4996.7442681107195,6101.751890588761,-0.5144760838069584
2025-02-09,5642.753233067312,5096.538119063263,6213.787204539604,1.434298699818326
2025-02-10,5721.307180485315,5175.691681762577,6309.971316475601,1.3921209057604411
2025-02-11,5700.616302825557,5148.034290157577,6234.180297639575,-0.36164598416131843
2025-02-12,5694.610227194695,5108.9976749887655,6271.969375837871,-0.10535835621642287
2025-02-13,5619.731761179927,5078.744111263542,6192.030507823599,-1.3149006345892555
2025-02-14,5640.681755833952,5074.010177126347,6223.011755241847,0.3727934987705961
2025-02-15,5623.84972234316,5031.575136224805,6160.043131933779,-0.29840423940569183
2025-02-16,5711.199241364044,5155.179260094838,6286.402341484045,1.5531979575103216
2025-02-17,5793.002048775475,5246.923391108431,6358.313866903432,1.4323227741551037
2025-02-18,5771.4080738862485,5176.5390226614,6335.812489732525,-0.37275966256201665
2025-02-19,5759.905450274055,5199.13473863314,6308.045879145392,-0.19930359220723393
2025-02-20,5675.335370738962,5055.27966935522,6228.4569451789985,-1.4682546487124748
2025-02-21,5682.071066155803,5129.667257475474,6267.281380422677,0.11868365438929551
2025-02-22,5647.36355416174,5104.873155974744,6185.798345172098,-0.6108250247131242
2025-02-23,5713.2007281206215,5135.072057902792,6326.910138476806,1.1658037122537435
2025-02-24,5770.88182169904,5238.014119400699,6303.327549035891,1.0096108350352573
2025-02-25,5723.6439103939465,5160.287523169129,6276.600623787174,-0.818556206219212
2025-02-26,5685.398251281428,5111.143081070284,6262.202121887883,-0.6682047260673452
2025-02-27,5574.158546541086,4960.745396147886,6165.473741847385,-1.9565859738193359
2025-02-28,5554.629305565764,4981.74549143504,6148.1177275356595,-0.35035316653202475
2025-03-01,5495.445156934223,4915.160823936007,6079.568438559812,-1.0654923195727695
2025-03-02,5538.985874460721,4927.449926032788,6088.258433479536,0.7923055600246975
2025-03-03,5577.7778519011745,5014.635016790543,6122.648763093769,0.7003444009365811
2025-03-04,5516.168502300388,4997.3803593329085,6080.124431552273,-1.1045500777659423
2025-03-05,5468.335452305714,4894.5818460352,5992.786169692544,-0.8671426548106043
2025-03-06,5353.129973787953,4782.672519989547,5955.444653863633,-2.1067741641414006
2025-03-07,5335.081714153475,4791.506983132413,5902.785848284948,-0.3371533985322972
2025-03-08,5283.543623963182,4666.293115186618,5845.583136407928,-0.9660225082132823
2025-03-09,5340.479728928739,4791.409318316183,5924.270649756604,1.0776120917659782
2025-03-10,5398.71473858461,4895.095964094369,5983.0991704138405,1.0904452897821049
2025-03-11,5362.681207191459,4822.1415425277155,5932.235970282681,-0.6674464782445266
2025-03-12,5345.729503629313,4818.0169206775645,5952.667635971461,-0.3161050024643286
2025-03-13,5266.416614864278,4693.695107407545,5818.721120777433,-1.4836682011536095
2025-03-14,5287.958886048563,4707.703113676154,5827.155687292346,0.40904988647276763
2025-03-15,5279.3147534978225,4725.7471799026125,5864.936608933014,-0.16346822539687889
2025-03-16,5380.977090947995,4821.629969283365,5917.272445466931,1.9256729745620094
2025-03-17,5485.10151197244,4886.08167973369,6031.493568129416,1.9350467259859894
2025-03-18,5495.3547108642615,4930.787356876982,6099.710931681917,0.1869281520030519
2025-03-19,5523.550666954422,5005.208859290977,6060.345407656647,0.5130870994445091
2025-03-20,5487.406579798798,4898.266529017816,6064.236486898776,-0.6543632770830254
2025-03-21,5548.461044241341,4977.017179209179,6122.385972675332,1.1126287719832595
2025-03-22,5575.10715595818,5036.663085833183,6113.648104196455,0.480243287361537
2025-03-23,5706.396759358278,5161.54406801221,6248.151592921798,2.3549252010302224
2025-03-24,5834.049289217014,5269.168462708697,6416.534896938225,2.2370076116665194
2025-03-25,5861.39756725267,5297.139388092152,6475.332673750805,0.46877008883356996
2025-03-26,5899.3410136251005,5335.475115617698,6446.13968425794,0.6473446978655373
2025-03-27,5865.554202888439,5318.017384971128,6443.95179435071,-0.572721777883789
2025-03-28,5920.851048583876,5332.640081904408,6502.786873731495,0.9427386361583023
2025-03-29,5934.144446156555,5369.311446534511,6525.692717048612,0.2245183583170718
2025-03-30,6044.234806291379,5480.845547567072,6621.324063392381,1.8552018936129455
2025-03-31,6143.6687743418515,5577.6255902264675,6735.320972546801,1.645104322336599
2025-04-01,6136.749597804803,5584.977505576232,6724.368387155978,-0.11262287716332642
2025-04-02,6134.773120803133,5553.6942179145,6684.843656902578,-0.03220722909040852
2025-04-03,6056.654324300636,5482.432316625981,6629.236712395174,-1.273377107257545
2025-04-04,6063.7034027760365,5508.26656388347,6621.435445371262,0.11638568255609716
2025-04-05,6026.479276229346,5476.634166248041,6551.710588752366,-0.6138843553866513
2025-04-06,6084.532074160117,5494.961163352368,6671.4785250852465,0.9632954046610909
2025-04-07,6132.084555624682,5553.999689406128,6698.6544106475,0.7815306236368169
2025-04-08,6075.083767319895,5535.995973074187,6668.021636270978,-0.9295499399548102
2025-04-09,6025.701072155715,5441.917232661386,6581.571566433604,-0.8128726624285765
2025-04-10,5904.362964237719,5338.2513234883445,6490.236483532994,-2.0136761924465563
2025-04-11,5872.930746603585,5342.468013669989,6414.972782060096,-0.5323557820634761
2025-04-12,5803.445263893275,5214.812782230224,6354.785018002136,-1.1831483412348187
2025-04-13,5835.826408430016,5287.000872233117,6432.449369212745,0.5579641586042516
2025-04-14,5865.385953053739,5294.242778908203,6441.399412480698,0.5065185726056409
2025-04-15,5798.934623019296,5247.285860666687,6323.040332022373,-1.1329404504037188
2025-04-16,5748.565316221203,5210.463202473358,6291.252615840485,-0.8685958727340792
2025-04-17,5635.111877093324,5100.996160162084,6198.640432052453,-1.9735957214878863
2025-04-18,5619.759955545429,5040.754732391094,6194.007463383415,-0.2724333053670258
2025-04-19,5574.7137051080545,4992.659805380894,6112.328091019014,-0.8015689423339856
2025-04-20,5638.885406702333,5077.439113356305,6199.128390070678,1.1511210259188553
