ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-01-01,1639.2083849813166,894.0417784069402,2452.3926813884686,
2023-01-08,1529.8052318744378,828.0072970460119,2287.9957482617497,-6.674145527148811
2023-01-15,1342.768016086934,570.0495423455974,2066.16082184765,-12.226211016308985
2023-01-22,1150.732409368866,306.91857073453457,1915.555346133102,-14.30147310759562
2023-01-29,975.1962794483237,212.9238530085461,1713.2995297856778,-15.254296176190717
2023-02-05,822.5004067167334,54.70922096420137,1588.9654473562866,-15.657963012120135
2023-02-12,716.5920491538996,-46.99581899360874,1456.7542219592117,-12.876389689045876
2023-02-19,675.7303137548643,-100.53813185174799,1415.8035755704418,-5.70223119936677
2023-02-26,676.3539494543697,-75.13098279891409,1439.2411888745578,0.09229062050510883
2023-03-05,672.0986248257605,-141.33003734475344,1386.3202487681767,-0.6291564693371221
2023-03-12,652.2921316739998,-155.76006293056358,1394.912049505824,-2.946962308827128
2023-03-19,655.3749106088438,-158.9849653146737,1426.200742018885,0.4726071011975197
2023-03-26,708.2159869464174,-31.715513107155914,1473.0633303420389,8.062724935332689
2023-04-02,774.3469295979636,-52.349697355481425,1484.355444958285,9.337680011528683
2023-04-09,798.958755562752,5.138267857927202,1527.237968645634,3.17839782454703
2023-04-16,807.3247698289074,9.552387864606262,1532.5868098346841,1.0471146611645388
2023-04-23,915.8649174371648,129.1012158124455,1673.6729988080567,13.444421831781494
2023-04-30,1204.5370326465722,473.9723031506427,1949.1863002872753,31.519071176695945
2023-05-07,1588.0978901284482,836.4395274431138,2321.8498755880737,31.843010807158635
2023-05-14,1865.1540470384448,1054.7805714411495,2627.182354578609,17.44578584432146
2023-05-21,1928.1742040124593,1166.1930182134306,2626.381551090633,3.3788178018904214
2023-05-28,1901.987405501587,1047.7218005916786,2680.561693859524,-1.3581137252214326
2023-06-04,2024.1310062354328,1263.8290973673663,2767.8079865610366,6.4218932460088585
2023-06-11,2371.480802140063,1638.2318385758865,3195.3476510218197,17.160440447510684
2023-06-18,2740.8637431683214,1995.9603208267592,3485.6350122496046,15.57604601710969
2023-06-25,2843.4269614979053,2171.3848572910174,3610.85284619963,3.7420035412276675
2023-07-02,2617.3705191103727,1829.7196734862007,3429.795833137647,-7.950140638338987
2023-07-09,2310.5522639861015,1500.990116101945,3115.4393264034156,-11.722385229148102
2023-07-16,2227.9678573578935,1390.9068708899529,3025.8954888559556,-3.5742280283128314
2023-07-23,2412.830848734743,1641.2758175898052,3155.042910711978,8.297381435119778
2023-07-30,2606.3685742535095,1828.6309859542,3410.657475907583,8.021189119836357
2023-08-06,2522.388815123777,1711.4194522667096,3255.416314842768,-3.2220983616557453
2023-08-13,2133.3799248361006,1353.61348254323,2899.439508758358,-15.422241327556286
2023-08-20,1675.3147035617533,972.9333994190129,2483.624532294289,-21.471338318210652
2023-08-27,1403.9758197465962,619.524473263034,2167.3203792171407,-16.196293343470636
2023-09-03,1388.2274824115023,619.6788711526395,2176.2418447927475,-1.121695766664732
2023-09-10,1533.675691625646,751.893033338417,2274.339963351722,10.477260467534077
2023-09-17,1742.8602772093152,952.1416522181256,2519.3899622889307,13.639427600364474
2023-09-24,1991.9234140009028,1217.8062759246181,2713.040164882347,14.29048214871187
2023-10-01,2260.4394606956607,1489.3185081414567,3027.747318885501,13.480239491508694
2023-10-08,2456.893209490905,1664.1138064928134,3238.110131658528,8.690953781827226
2023-10-15,2470.7309680096123,1697.8209016950932,3246.421269980662,0.5632218146581325
2023-10-22,2290.4022891482296,1541.351362799607,3043.6286763323915,-7.298596293818793
2023-10-29,2024.8309694063917,1261.298691617201,2784.15268488437,-11.594963950223802
2023-11-05,1790.373647441998,980.5032936057409,2521.7216508525603,-11.579105886212727
2023-11-12,1605.894578005865,819.2817116193125,2391.0402215285194,-10.303942403291511
2023-11-19,1430.1172999327962,596.1488956627994,2185.863054494203,-10.945754502225292
2023-11-26,1284.667436491229,593.3825850597163,2058.7868028780053,-10.170484858018447
2023-12-03,1287.1194966468381,493.8424184857527,2076.947932356251,0.19087120027783122
2023-12-10,1529.5294822472063,747.4653888942354,2297.037645264824,18.83352604260029
2023-12-17,1937.164849673293,1172.00191339969,2656.994577195545,26.651030408853792
2023-12-24,2293.399032054348,1524.4978385713289,2979.635567868416,18.389461404956563
2023-12-31,2393.8373096349774,1624.8465741451105,3179.1484254027064,4.3794505961162855
2024-01-07,2241.852433227795,1484.3970299866664,2986.487283315883,-6.349006083055741
2024-01-14,1959.018447298519,1211.253674357035,2749.915310876514,-12.616083990954497
2024-01-21,1663.022915119348,906.3159198685646,2403.1355260939463,-15.109379525616419
2024-01-28,1391.23936793481,577.311730358644,2137.687227411093,-16.342742166305825
2024-02-04,1154.01713387924,388.49271596901207,1934.240168129569,-17.05114443445548
2024-02-11,979.759765575492,224.0730206583989,1747.3975783988012,-15.100067684262196
2024-02-18,895.5528429396296,85.15686046627235,1611.18122973223,-8.59464999426679
2024-02-25,877.1840036276496,107.62472577504884,1660.5467469508699,-2.0511173022113027
2024-03-03,862.2295848489567,121.26760402864772,1668.1626147795473,-1.7048211910896671
2024-03-10,824.8969841684348,49.327224345203376,1586.0702412268306,-4.329774962089916
2024-03-17,806.548448535461,1.9892978233087222,1573.732456621005,-2.22434267370617
2024-03-24,848.4774995772941,57.10809126828775,1557.763836312272,5.198578103766516
2024-03-31,917.5043699821083,112.42450012858168,1665.1918024577374,8.135380188538054
2024-04-07,942.7151206263703,207.13936994993566,1746.8856342931956,2.7477526504591676
2024-04-14,932.9956499540302,155.83877852323198,1728.2384852929451,-1.0310082504969453
2024-04-21,1011.6678691402561,250.16442680755594,1764.4288336337877,8.432217148075893
2024-04-28,1285.8114816368281,519.8096459156795,2024.0410333197522,27.09818319420849
2024-05-05,1687.584396709165,928.2938626968458,2460.7586048979942,31.24664235855812
2024-05-12,1999.320654339667,1199.3730172334608,2776.312339316375,18.47233585700343
2024-05-19,2074.3060940094574,1309.955473162488,2804.3063412142187,3.7505459420443144
2024-05-26,2012.387952647703,1234.852578564346,2771.709721851696,-2.9850050356874713
2024-06-02,2066.4569765781857,1293.4829984211972,2848.5966834943492,2.6868091641745195
2024-06-09,2356.8973621593937,1630.5781575959347,3105.3830953295383,14.054993105259017
2024-06-16,2712.1652126857816,1959.6969785669044,3437.441985119393,15.073539316149564
2024-06-23,2833.0826389787767,2076.3427446358846,3581.427938576518,4.458335566263449
2024-06-30,2614.290673727104,1876.0666497448526,3342.921687326089,-7.722752673763833
2024-07-07,2267.2060570674275,1523.8638753360012,3027.5584931135186,-13.276435560428713
2024-07-14,2102.695040672075,1326.1785235370446,2969.6434872684954,-7.256112248047863
2024-07-21,2209.2616932276505,1362.0411300135047,2968.9884497452354,5.068098344946592
2024-07-28,2373.5983375994783,1582.673368400057,3151.582516038242,7.438532287758903
2024-08-04,2315.514295034085,1569.7711109550523,3091.173012054755,-2.447088104389905
2024-08-11,1970.7557460967223,1208.1234587756271,2719.8971287292834,-14.889070202535192
2024-08-18,1530.365857898866,796.4804368634148,2290.854161989368,-22.346244026947137
2024-08-25,1233.8129234175447,472.07700023885087,1984.5330265129408,-19.377911036807703
2024-09-01,1165.7356789765413,395.9020904784346,1964.9009296881623,-5.5176310078221436
2024-09-08,1252.0255831061977,486.5416785756895,1953.4449129596533,7.40218436184561
2024-09-15,1397.3445455160752,665.8441217821996,2134.7116887801317,11.606708710324455
2024-09-22,1570.5065120071959,779.013972509292,2394.4021712333497,12.39221686925951
2024-09-29,1759.5722825121,995.8510504238833,2497.021932747181,12.038521907385613
2024-10-06,1902.1702298462606,1155.5187319631334,2606.4348510052273,8.104125573663667
2024-10-13,1911.0488085976008,1152.7993703777665,2701.7687015689,0.46676047243456864
2024-10-20,1765.8151707351133,1013.1534118812859,2521.374099072859,-7.599682290117194
2024-10-27,1543.1518216662375,735.1226549314182,2316.314116906758,-12.609663387147164
2024-11-03,1338.8643629944802,567.1087413429349,2096.0426056558117,-13.238325341908052
2024-11-10,1179.750579395289,389.1589057182285,1906.2915230019123,-11.884234728850362
2024-11-17,1035.889098037875,326.2127524891621,1888.909242404534,-12.194228497955361
2024-11-24,909.3018583770354,143.83574266308293,1675.6750662235845,-12.220153672880073
2024-12-01,872.4121430112267,151.18838174853155,1657.3938118944905,-4.056927303728508
2024-12-08,994.2752403896304,230.95079347182815,1748.7201902542097,13.968523748165618
2024-12-15,1240.3838871548733,501.48541885538543,2002.967693248879,24.75256717333112
2024-12-22,1491.110378453005,709.0278276724863,2277.3624403891977,20.213620468195124
2024-12-29,1598.3836346045605,814.6735166349347,2331.6177253883316,7.1941861381750405
2025-01-05,1530.1159138194691,695.2564289355597,2306.517320575054,-4.271047282211493
2025-01-12,1355.9153253639201,514.0828104763422,2081.84497641754,-11.384796856383916
2025-01-19,1172.4805570895714,437.89194545184796,2002.5488987000067,-13.528482556616561
2025-01-26,1004.7204460319748,293.8354789244637,1802.1160795226497,-14.308135861461512
2025-02-02,853.0337686464617,41.4112844585179,1619.6762915630118,-15.09740127063024
2025-02-09,734.996811733257,-3.96519403064054,1468.4025902415676,-13.83731350993267
2025-02-16,676.71910999792,-95.79248804819751,1459.051343786131,-7.92897340573594
2025-02-23,672.353253344584,-118.80949669847729,1445.610079488629,-0.6451504898907667
2025-03-02,678.3897793130658,-95.5197161442,1449.818097445072,0.897820593334453
2025-03-09,665.6871820783603,-16.893485849908718,1566.6430354279598,-1.8724629441746798
2025-03-16,659.1088417590637,-46.1382600938401,1448.3417945605374,-0.9882029422225269
2025-03-23,699.6643514184991,-58.752345069393094,1438.9731216268217,6.153082327222137
2025-03-30,774.5727063296451,-26.1028621180377,1554.9672428144763,10.706327220942002
2025-04-06,822.9110577152724,71.6222876980279,1577.2220466509748,6.240647390569842
2025-04-13,831.6889014844749,76.15669164167505,1623.4736285011404,1.0666819563189822
2025-04-20,896.9160030302985,83.29246497237975,1651.4166332866519,7.842728384303355
2025-04-27,1137.5282687763709,357.733721305899,1937.627964727323,26.82662199505257
2025-05-04,1534.9102349834234,763.3988541942427,2285.805132343575,34.9338101842966
2025-05-11,1901.0912243301352,1151.5656973720904,2706.9989229055977,23.856834165332575
2025-05-18,2057.5368120779485,1268.5430696378642,2805.3091407321085,8.229252007774534
2025-05-25,2044.9626430112105,1293.3207209100112,2831.469534433483,-0.6111272951680125
2025-06-01,2105.0649483722655,1344.7765609138423,2873.919127742155,2.939041726090119
2025-06-08,2414.955307897106,1640.7707618401223,3195.460799782882,14.721178069325713
2025-06-15,2858.6643754241713,2063.1721630623306,3663.0473103078184,18.373386293158276
2025-06-22,3114.645729530633,2349.817798609609,3897.118781219471,8.954578799355527
2025-06-29,2992.911527856259,2226.4134054434435,3729.918928096238,-3.9084445630585107
2025-07-06,2655.3572478180176,1919.0361510933808,3460.461818845494,-11.278458347214237
2025-07-13,2460.8203721123054,1675.8343925184279,3230.0157343931696,-7.3262035029587285
2025-07-20,2590.2023075354377,1805.061670488955,3352.18143474789,5.257674915624744
2025-07-27,2857.5119403759527,2110.901529728231,3603.8119863583634,10.320029136830566
2025-08-03,2908.8445449006567,2227.54289741634,3667.1653503992065,1.7964090997971693
2025-08-10,2585.801194570257,1815.4602927718865,3335.7506718963177,-11.105555671467915
2025-08-17,2066.908750671686,1302.8174449863886,2744.5201448046673,-20.06698910141108
2025-08-24,1668.9470181327815,940.6431342064167,2401.007594975855,-19.253957505844333
2025-08-31,1559.5128279117794,793.9518706110098,2247.490048748006,-6.557079945140332
2025-09-07,1682.2297227848292,890.1378682044534,2483.1803780015707,7.868925005084471
2025-09-14,1909.5236920163893,1204.5290521481286,2681.1533377248425,13.5114702916608
2025-09-21,2187.0362141637956,1423.3341879027198,2996.4694229280835,14.533075620253921
2025-09-28,2504.6514781852825,1722.7209689415624,3248.2545903783653,14.522633963010346
2025-10-05,2787.716181402546,2035.190519849231,3618.4236438646444,11.30156054375897
2025-10-12,2899.2169127942757,2173.6741708792374,3737.1817057951066,3.9997160448246083
2025-10-19,2770.4181452058015,2019.2654366313682,3511.850031585035,-4.442536431823497
2025-10-26,2485.1210726737563,1657.4871635369752,3222.2663724390013,-10.297978773556283
2025-11-02,2194.992282858596,1404.3220538787782,2916.942578882687,-11.674634004974616
2025-11-09,1968.2529547081415,1124.743766892691,2753.7297288639543,-10.329846256004416
2025-11-16,1766.484787984725,1009.4563914589968,2551.8608148439157,-10.251129878442644
2025-11-23,1575.1843851233284,798.9451719382931,2330.464314188045,-10.829439583209744
2025-11-30,1503.2176336686962,709.6337632876737,2331.4295297163576,-4.568782685653505
2025-12-07,1695.9409545462477,984.2351975952997,2500.3844486456665,12.82071980536832
2025-12-14,2147.5424970918893,1373.0080710022182,2952.0528271278768,26.628376497132745
2025-12-21,2642.7437651817736,1948.0388912201877,3435.3862656086385,23.058974095295646
2025-12-28,2916.2367319464815,2109.0046914595464,3671.514538865437,10.348826487379736
