ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-21,3226.1730835521,2273.3596063903155,4220.7861603301935,
2023-05-28,3290.0836489914846,2322.578536142513,4234.957622751987,1.9810023760107098
2023-06-04,3416.9552854398503,2421.057089557373,4376.183905828631,3.856182698797217
2023-06-11,3629.170042961652,2708.0005545361455,4591.280247031786,6.210638998586848
2023-06-18,3880.9437973945523,2873.1289005230283,4804.362951740644,6.937502278825036
2023-06-25,4062.9847085048577,3098.924895273325,5033.1549820434775,4.6906350778003425
2023-07-02,4058.2341551608265,3066.1537837917117,5016.036505504673,-0.11692274731153196
2023-07-09,3830.8539854225787,2821.586182644804,4769.820763352264,-5.602933715618407
2023-07-16,3477.020089347805,2501.556006859087,4461.677900186375,-9.236423456002395
2023-07-23,3167.4517156384222,2230.9201126352846,4171.047311902924,-8.903266755857297
2023-07-30,3004.9541472436217,2095.300802031677,3969.6154975763725,-5.13023032340204
2023-08-06,2925.06627152533,1959.174110231108,3974.2103631239547,-2.658538926178655
2023-08-13,2754.404003273292,1802.8436884803225,3686.945994512151,-5.834475270300232
2023-08-20,2391.422604807998,1475.2052162857738,3413.204686909816,-13.17821924575815
2023-08-27,1934.8818345703114,928.8580028879841,2909.864500453051,-19.090760843349198
2023-09-03,1619.1731369740085,664.6858388399565,2538.2578118522974,-16.31669138422678
2023-09-10,1607.1988727062637,606.5106537122547,2540.9171057973535,-0.7395295780488809
2023-09-17,1842.8960827934693,907.8403449180627,2782.52160459197,14.665093044168787
2023-09-24,2109.5177573582782,1139.71246069592,3062.150062900053,14.467537103918682
2023-10-01,2231.3670250034024,1253.0881229382949,3140.7102167465314,5.776166956646733
2023-10-08,2217.15127009366,1301.1951830809603,3135.7922039301375,-0.6370872541562544
2023-10-15,2215.347296593736,1188.9390659634435,3166.5128175524865,-0.08136447540848524
2023-10-22,2347.2514117764213,1308.2212832435334,3376.5144950945883,5.954105497837658
2023-10-29,2589.751691342601,1696.2853567282102,3552.00973702538,10.331244380108974
2023-11-05,2805.5791617521527,1838.5073560376636,3746.207623285379,8.333905954422228
2023-11-12,2865.103818539558,1878.8701691858166,3839.2855104654695,2.121653083216879
2023-11-19,2740.5683551496722,1804.552086656308,3741.0567238950875,-4.3466300447488
2023-11-26,2512.980760512335,1527.5373110307567,3480.6680568021984,-8.304394021396622
2023-12-03,2323.8286449238426,1347.9984145142948,3282.3332466679226,-7.527002138684457
2023-12-10,2308.4692836829595,1311.578003075326,3283.172131458175,-0.6609506804399756
2023-12-17,2528.3292764957287,1603.4320747930499,3526.4613556438853,9.524059703406662
2023-12-24,2917.383205743346,1935.2443598622283,3847.2713749489103,15.38778721839773
2023-12-31,3290.5460262970273,2331.8338958752515,4251.565159039523,12.791011472851732
2024-01-07,3447.5217225329707,2447.487612509924,4392.470402868291,4.770506018801801
2024-01-14,3317.7783249500408,2339.3507815230773,4327.180442750728,-3.7633815832088358
2024-01-21,3020.403939212378,2062.9412007897768,4000.642825577873,-8.963057703444989
2024-01-28,2765.270134792201,1813.2227244910523,3680.0554281035816,-8.447009391952642
2024-02-04,2673.777278435927,1682.641925250983,3622.441697260953,-3.3086408161403513
2024-02-11,2689.23777098678,1752.3796048882334,3648.58164386073,0.5782266412218462
2024-02-18,2663.6058095159337,1762.263675925909,3654.5768582976666,-0.9531310971227724
2024-02-25,2525.481979889294,1608.4381075715648,3460.9918249568154,-5.185595748934835
2024-03-03,2355.762654455571,1332.7699500922713,3303.8571242696576,-6.720274655896086
2024-03-10,2296.4644226921237,1299.649184490275,3217.0702733675726,-2.517156456797276
2024-03-17,2398.7067774774805,1476.189040213885,3357.843781263036,4.452163672777432
2024-03-24,2575.7565135115497,1630.0581386962674,3534.2878681020916,7.381049559557162
2024-03-31,2705.565088866206,1810.342630331411,3650.270641029868,5.039629121530886
2024-04-07,2747.584477482171,1770.129032197613,3708.406837326804,1.5530725462448158
2024-04-14,2765.3561191810736,1788.620722878109,3714.763522393152,0.6468096557012082
2024-04-21,2842.1175490410105,1933.1981712036636,3794.241976429775,2.7758243984383757
2024-04-28,2993.419031936855,2046.7461579442063,3982.960814112141,5.323547681794394
2024-05-05,3161.639217479088,2174.7919237543574,4180.263111103111,5.619667134720796
2024-05-12,3282.7141184663506,2321.4261984608424,4193.624634971724,3.8294976959388993
2024-05-19,3346.338285980953,2338.9944205565207,4270.809723344839,1.9381574276205127
2024-05-26,3400.2286986448444,2473.352588144567,4424.502117498371,1.6104293128300418
2024-06-02,3509.53158233552,2558.497469798616,4463.552910699899,3.2145744706595147
2024-06-09,3707.0799233849166,2705.860456180808,4700.560809455477,5.628909055661846
2024-06-16,3958.6079578972845,2922.550833990131,4904.647313589145,6.785071800736864
2024-06-23,4160.330495601038,3158.3669329124177,5034.297372066538,5.0957947806203885
2024-06-30,4187.319674404989,3150.35659041248,5096.621702174399,0.648726797846666
2024-07-07,3982.889956374012,3009.697632704782,4986.614805695248,-4.882113951809197
2024-07-14,3623.434823639759,2624.076015897408,4570.340434929611,-9.024982780631419
2024-07-21,3280.078313497922,2419.079817540571,4243.232343404155,-9.475995204929166
2024-07-28,3082.5872940053596,2063.737803025898,4022.1030450182666,-6.020923911476828
2024-08-04,2993.9973896777037,2052.609077561527,3934.069316056614,-2.873881446923976
2024-08-11,2845.260648236495,1943.7118495220097,3799.784512544602,-4.96783136665393
2024-08-18,2506.7156110965784,1535.7208715316403,3430.2828033939604,-11.898559710153378
2024-08-25,2041.5280331453864,1039.232424185782,2954.6276704168827,-18.55765272661676
2024-09-01,1676.5450615656034,689.3963838004885,2657.8190488497585,-17.87793092497746
2024-09-08,1604.6195746109133,615.4796960296321,2537.391967189402,-4.290101626467713
2024-09-15,1809.6266589645813,851.1056917643643,2817.707602373686,12.77605530914565
2024-09-22,2087.628542603735,1111.435852653192,3029.6000069490833,15.3623888254508
2024-09-29,2238.957319561134,1205.1602558311642,3189.3703080555624,7.2488363647614795
2024-10-06,2237.3125868044276,1239.032401397904,3216.4025619150784,-0.07345976371845309
2024-10-13,2218.345737366669,1198.4004119336166,3167.0229405789432,-0.8477514295331168
2024-10-20,2320.7444708780154,1352.467898497857,3309.403605979219,4.615995234038728
2024-10-27,2548.7626487652924,1566.0117164612675,3480.6937007586507,9.825216896930055
2024-11-03,2777.15001035293,1767.7880167400847,3726.435652027999,8.960715180688815
2024-11-10,2866.0527470032994,1995.5984019306154,3829.3498377426054,3.2012219836504707
2024-11-17,2766.733922088297,1838.006571499105,3670.9878818809184,-3.4653523044489987
2024-11-24,2544.4259482122698,1552.7170591287972,3497.2532510662327,-8.035032646299134
2024-12-01,2334.451649196322,1385.8425340226797,3319.465963283865,-8.252325015136607
2024-12-08,2277.1210059975983,1193.0384536588717,3264.4939481219435,-2.4558505299718036
2024-12-15,2450.3895328920653,1480.980267083131,3450.5755122068526,7.609104937247668
2024-12-22,2812.226795058354,1919.4078013453363,3798.282063201465,14.76652006994299
2024-12-29,3195.014707348079,2168.661038997872,4152.301308190552,13.611559101931592
2025-01-05,3393.0377820803033,2415.747292387214,4272.6677029311295,6.197876782125578
2025-01-12,3306.570321685065,2370.0048606458663,4299.373383459867,-2.5483789438449422
2025-01-19,3025.529680762744,2096.8441536062355,4031.340971259025,-8.499460576392625
2025-01-26,2753.683187086973,1759.960989521647,3674.0812357888553,-8.98508764942072
