ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-01-08,3414.976435991017,1623.0629503863322,5401.799023702072,
2023-01-15,3957.897446763953,2021.651175403897,5899.114894158,15.898235930737314
2023-01-22,4566.544929298753,2720.5696304241546,6458.059331620173,15.378050864669103
2023-01-29,4963.732381056698,3010.789477040262,6746.467209038448,8.697767303450954
2023-02-05,4924.008742298521,3081.56782311793,6902.50012893306,-0.8002776078294582
2023-02-12,4482.814127560197,2629.7564300538465,6449.156288526744,-8.960069687698692
2023-02-19,3898.1079326846607,1990.41931484422,5802.372813823484,-13.043284379800223
2023-02-26,3417.8025270281223,1495.8466170370925,5378.208206634465,-12.321500942272468
2023-03-05,3115.212028826138,1190.6818692124937,4973.0141125500295,-8.853363990724628
2023-03-12,2941.944198593137,974.1120355282666,4910.5247448019745,-5.561991563646185
2023-03-19,2871.4064515731425,1060.6553571273728,4756.40341087776,-2.397657544073284
2023-03-26,2929.147542537945,1013.9843198813139,4940.485942296271,2.010899255769516
2023-04-02,3106.8498095420114,1080.3049303701691,4918.469474225342,6.066688837739376
2023-04-09,3334.5730371203917,1403.865217832508,5114.800914426808,7.329714712277946
2023-04-16,3581.220290489162,1678.1920435556247,5510.583948560669,7.396666698347842
2023-04-23,3914.4728510313685,2090.0447573585416,5779.545591009237,9.305558818239778
2023-04-30,4391.376407897738,2526.966959226639,6367.46297541937,12.18308505424217
2023-05-07,4887.640886543528,2907.899273876267,6845.804594439761,11.300886841612456
2023-05-14,5191.902713270118,3284.0865968470857,7090.772688491608,6.225126472860798
2023-05-21,5262.218554812091,3210.497675126692,7115.471990257042,1.3543366550812008
2023-05-28,5394.21297163378,3409.6655276774063,7324.776259515805,2.5083415948390364
2023-06-04,5961.5658441444475,4026.8848205924432,7961.603157066953,10.5178063138065
2023-06-11,6960.404703268523,5015.983692275337,8981.102920656382,16.754639388997973
2023-06-18,7911.507053632177,6051.08513743842,9830.307755281994,13.664469106473476
2023-06-25,8332.730011282927,6396.936443332335,10217.896973963987,5.3241810289149205
2023-07-02,8207.287678701274,6294.539441438539,10142.781653684175,-1.5054169811310136
2023-07-09,8166.528675432472,6247.703418527184,10036.52623471051,-0.49661964907816714
2023-07-16,8736.289309978047,6831.964121311003,10549.179734482388,6.976778717003684
2023-07-23,9713.61072611277,7818.747211154976,11654.622306222886,11.186916795652447
2023-07-30,10321.28718729442,8283.601041985194,12301.361413175538,6.255927670109873
2023-08-06,10200.86849791825,8181.035071853972,12075.781149827291,-1.1667022454757925
2023-08-13,9970.991468326438,7972.670996698375,11975.589480009294,-2.2535044897277645
2023-08-20,10229.177339510685,8281.795496193095,12162.830903212756,2.5893700942819287
2023-08-27,11106.511953479325,9298.229569715466,13164.475233959896,8.576785648049068
2023-09-03,12162.044050999355,10368.157872072114,14055.956872185003,9.503722698370343
2023-09-10,12861.684085417355,10912.97791325876,14673.458586480649,5.75265170463275
2023-09-17,13052.968922160902,11220.822672388449,15092.429307966093,1.487245647406521
2023-09-24,12960.675248017718,11048.952502341213,14944.401150729398,-0.7070703584261984
2023-10-01,12835.171199984887,10804.949053042563,14733.428056659763,-0.9683449791863863
2023-10-08,12717.86414814486,10689.627533341507,14705.342015043181,-0.9139500362890796
2023-10-15,12528.365421975845,10423.073596237684,14571.976661138659,-1.4900200533802477
2023-10-22,12254.659507213584,10230.0714041452,14067.741323433866,-2.1846897463747017
2023-10-29,12494.83383292705,10528.984311322776,14420.314316276728,1.9598612721315467
2023-11-05,13012.203266421462,11066.343212237018,14976.184165809931,4.1406667780648165
2023-11-12,13570.601995656929,11705.884366852259,15434.750766249952,4.291346498378479
2023-11-19,14122.165689711079,12320.40201118246,15914.439235755053,4.064401079853863
2023-11-26,15290.465343367032,13488.074086518443,17155.01444902758,8.272808004987041
2023-12-03,16941.848042850208,15102.506709778088,18801.051963371887,10.800081373583193
2023-12-10,18400.89539884655,16325.872272979515,20353.479415956837,8.612090914202764
2023-12-17,19250.14975731744,17312.176339243208,21313.961969537264,4.6152882240943605
2023-12-24,19278.06807713953,17295.426007667258,21228.844112584335,0.14502910457347973
2023-12-31,18893.804734372017,16994.029832547152,20703.22359565215,-1.9932668627889338
2024-01-07,18963.410409341137,17051.17183447682,20898.700554819214,0.3684047546151037
2024-01-14,20013.08995222511,18107.81189565693,21934.63598352051,5.5352888548302115
2024-01-21,21551.684163363196,19707.044758902714,23389.79831362308,7.687939317771475
2024-01-28,22320.24179941874,20313.286025497855,24326.780594403597,3.5661140457972085
2024-02-04,21351.000509803547,19600.942195707878,23318.800489885543,-4.342431853226769
2024-02-11,18806.777013083607,16749.279127129943,20726.097900812667,-11.916179270155192
2024-02-18,15769.837323144015,13826.774889336586,17602.130921684293,-16.148113458392345
2024-02-25,12920.262276018108,11002.128154177006,14861.249477603385,-18.069780865423603
2024-03-03,10986.461082007318,8976.355389999295,13004.733625715922,-14.967197667497878
2024-03-10,9742.177636424205,7815.622521080972,11678.138794537652,-11.325607366150802
2024-03-17,8956.628444730564,6942.936348361689,10950.250385319305,-8.063383988776973
2024-03-24,8537.579104619936,6597.582641560453,10415.141115681132,-4.6786504843479015
2024-03-31,8484.687912097406,6620.6270318269635,10372.532232970769,-0.6195104241424665
2024-04-07,8604.240538939841,6581.58028789494,10590.042561429296,1.4090397676498778
2024-04-14,8750.179113577287,6731.933653240271,10745.177708338097,1.6961238354155528
2024-04-21,9042.229934104054,7078.1555023879055,10872.545164642503,3.3376553409472987
2024-04-28,9622.482690964574,7848.97870134173,11651.913463876563,6.417142243552276
