ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-07-22,4128.195265005816,3518.1827317651923,4724.013398841867,
2023-07-23,4018.797224654768,3447.2849197144396,4610.996728486053,-2.6500209735329405
2023-07-24,3886.238426405947,3303.3398584965157,4451.7913314112475,-3.2984694384576296
2023-07-25,3829.5720965201,3247.214494164102,4413.646717488484,-1.4581279805380598
2023-07-26,3703.593665615876,3067.8623137720892,4252.935087925841,-3.2896216007709977
2023-07-27,3549.513588153044,2942.7120435935126,4111.886877266394,-4.160285694764787
2023-07-28,3497.7330773589124,2902.787063943454,4122.77002309156,-1.458805819675002
2023-07-29,3441.6798700289733,2841.5134505276965,4013.6606169575484,-1.602558173829094
2023-07-30,3432.375266307968,2857.3767038175215,4010.073577817685,-0.27035064481248927
2023-07-31,3398.1492448303334,2836.367386710731,4002.858056864834,-0.9971526660734198
2023-08-01,3435.2508638065315,2858.860404001718,4060.0687396253506,1.091818407700651
2023-08-02,3399.4891772923243,2833.666954230068,3959.066057480363,-1.0410211053576535
2023-08-03,3330.39622436731,2744.606542497989,3909.8069374241445,-2.032451033718141
2023-08-04,3355.4718007148317,2743.3411785576222,3923.113354433074,0.7529307222982284
2023-08-05,3369.0102161250193,2767.8633611893615,3968.7993693335075,0.4034727816011774
2023-08-06,3420.6566766215865,2872.39386037122,3992.4405037417473,1.5329861645824838
2023-08-07,3439.410546355498,2832.74441035248,4002.846592926884,0.548253493607942
2023-08-08,3519.774937907696,2915.40944916633,4104.623177830528,2.3365745516293224
2023-08-09,3519.674749069536,2937.1413602658354,4125.9706487706935,-0.002846455808314108
2023-08-10,3478.08457493532,2870.4118020321,4061.682888636425,-1.1816482231834402
2023-08-11,3520.7181764480447,2931.9571264203773,4123.077336736914,1.2257781716972227
2023-08-12,3543.823375844351,2962.406665024301,4100.84022460159,0.6562638143225774
2023-08-13,3596.706934720039,3046.8055915351947,4155.3450660207745,1.4922741137765705
2023-08-14,3610.007542119025,3040.89586634378,4189.813682725154,0.36979958724441264
2023-08-15,3677.3689640908483,3085.7432974446197,4253.676968952109,1.8659634692143268
2023-08-16,3659.622604302282,3072.938246531706,4263.750361760036,-0.4825830631045691
2023-08-17,3595.8709318885976,3016.8615634609787,4189.293715164684,-1.7420285998544616
2023-08-18,3610.6154813366893,3041.6956564738116,4239.0559612558945,0.4100411201451992
2023-08-19,3602.5169870469276,3056.3719085468865,4197.559232656805,-0.22429678074619153
2023-08-20,3620.8886469934955,3017.081185691303,4235.9791236034125,0.5099673370764002
2023-08-21,3598.2419733131237,3004.0382842919967,4159.44521740222,-0.6254451845453923
2023-08-22,3627.4889234570473,3068.689778481192,4228.155830256762,0.81281221109748
2023-08-23,3572.3966319294136,3014.3333863380403,4171.16002749333,-1.5187445831021273
2023-08-24,3472.1358300887705,2874.043603833319,4039.865505305372,-2.806541718927036
2023-08-25,3449.858178316371,2870.6484140863827,4060.334303493909,-0.6416123349595515
2023-08-26,3406.4331497727594,2827.4046100350643,3980.165121231414,-1.2587482238126113
2023-08-27,3390.922240339722,2787.9947798036796,3965.5390333121577,-0.4553416653449438
2023-08-28,3337.409345796062,2756.6855778560416,3929.025998410707,-1.5781221376016785
2023-08-29,3337.7437009681116,2731.7027364081714,3922.8809760203735,0.010018404618850063
2023-08-30,3258.277608168209,2690.40130312723,3828.676524795098,-2.380832679778655
2023-08-31,3137.8895997996015,2546.967949441623,3690.873485672855,-3.694835825738285
