ds,yhat,yhat_lower,yhat_upper,growth_percent
2023-05-19,15298.813572821708,13409.94416637574,17244.555841126716,
2023-05-20,15057.682168218953,13341.943510299036,16879.833696980993,-1.576144473262453
2023-05-21,14809.202412198014,13056.085180490798,16529.831227564515,-1.650185953223171
2023-05-22,14551.601516999983,12833.827230680723,16388.787684163508,-1.7394650166024483
2023-05-23,14285.722171436655,12472.548272441181,16100.528278575532,-1.8271483400140731
2023-05-24,14013.267774365517,12105.099542175785,15738.450672126548,-1.9071797267336765
2023-05-25,13748.775669845863,11902.899744258331,15559.432056939282,-1.887440594002554
2023-05-26,13482.845401878041,11814.237875202081,15370.89269019955,-1.9342105388414077
2023-05-27,13208.934561938784,11373.64942947013,15033.670847079267,-2.031550698497986
2023-05-28,12928.801382244876,11083.413825367938,14854.181592998653,-2.1207855817614973
2023-05-29,12641.813549762186,10827.653780018702,14386.120525581251,-2.2197559077426154
2023-05-30,12349.65917266288,10508.840106409982,14258.99527337215,-2.3110163423095464
2023-05-31,12054.736941809055,10261.518055651411,13927.64552460742,-2.388100163174245
2023-06-01,11770.769787014497,9878.128300638351,13581.852008764472,-2.355647876559497
2023-06-02,11490.041870208497,9722.620479342066,13322.702969655267,-2.384958009421767
2023-06-03,11207.319559842657,9220.247543549052,12960.68193909473,-2.4605855536426358
2023-06-04,10924.624737274356,9070.381214191575,12740.308298278078,-2.5224124382179136
2023-06-05,10641.722797974331,8795.160802973684,12507.086195353606,-2.5895803847135856
2023-06-06,10360.28417984753,8449.703712928282,12160.435905058865,-2.6446715768651097
2023-06-07,10082.447117433545,8370.209391274153,12091.713793822508,-2.6817513650293834
2023-06-08,9820.101497359008,7992.292661516933,11563.820678396314,-2.602003432489275
2023-06-09,9566.16555174254,7718.963723787649,11311.348650821823,-2.5858790327651926
2023-06-10,9315.66315960294,7463.402573182701,11206.499606031153,-2.6186290712266636
2023-06-11,9069.858372444789,7256.156026066723,10895.458963297451,-2.638618238410284
2023-06-12,8827.951523240728,7015.356027255571,10553.022120232603,-2.6671513409624925
2023-06-13,8590.717827284925,6824.299741543202,10388.356163530902,-2.6873017520684717
2023-06-14,8362.002903546496,6528.949600867666,10197.019370334725,-2.662349390780938
2023-06-15,8148.471055785358,6333.544026341898,9966.48692018111,-2.5535969100246914
2023-06-16,7943.184740293636,6109.497277310046,9848.244006801877,-2.519323123151662
2023-06-17,7741.083362873642,5849.674479012296,9613.801029696582,-2.5443368627043106
2023-06-18,7542.493822776346,5660.268490825131,9362.510128488148,-2.5653972549854465
2023-06-19,7346.030284614442,5508.402715359378,9168.66694088708,-2.6047557051838144
2023-06-20,7151.710720657945,5221.62457024716,9031.126260921108,-2.645232274136977
2023-06-21,6959.902946981188,5036.2234323724415,8709.159277800618,-2.68198450928272
2023-06-22,6778.000541742716,4886.9615559679805,8450.27417826417,-2.613576749908131
2023-06-23,6599.726406505909,4772.810277082212,8492.17463478036,-2.630187680554108
2023-06-24,6420.561857956385,4703.877209048062,8203.957420573131,-2.7147269070564195
2023-06-25,6240.611982942689,4404.1370047729,8079.350776322329,-2.80271227027743
2023-06-26,6058.674528181267,4226.512523279253,7912.850176423608,-2.915378415750036
2023-06-27,5874.813271140908,4137.26438742867,7559.486427930145,-3.034677901662297
