ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-01-09,2092.3537841155776,1881.4846230458154,2302.2759157025703,
2022-01-16,2167.027081220656,1938.8596376305927,2381.1641608757277,3.5688657277737734
2022-01-23,2182.9052124845616,1963.738459037119,2397.60183113937,0.7327149439665392
2022-01-30,2124.403723878408,1910.2510633977083,2342.854309307446,-2.6799830002498193
2022-02-06,2053.088093587445,1837.148762254516,2270.13226569504,-3.356971628762062
2022-02-13,2038.9464640039387,1827.3662929539742,2261.2621814639065,-0.6887979930172539
2022-02-20,2075.4821753148517,1849.5918133124683,2283.119094446126,1.7918916438427024
2022-02-27,2079.6775965957117,1857.0265766045175,2281.1936772874806,0.20214200491621703
2022-03-06,1985.5779455990476,1767.6232440385472,2213.893321804355,-4.524723022005849
2022-03-13,1829.7759652763464,1609.81901231165,2047.9923776650362,-7.846681650953558
2022-03-20,1728.893459245134,1524.7078011779156,1948.9439079635154,-5.513380214062236
2022-03-27,1767.029676050299,1533.6388083680602,1978.6983029102557,2.2058164776570965
2022-04-03,1912.3923893216042,1686.8228543546566,2133.4613259547987,8.226387776136445
2022-04-10,2050.7939669427933,1831.7504133465097,2289.5687098398403,7.237091006740792
2022-04-17,2095.7791668642417,1891.6527509900825,2308.1118582277913,2.193550432007063
2022-04-24,2056.7539162120415,1846.2838304027657,2272.5904219821173,-1.86208791790744
2022-05-01,2002.4131048359702,1784.9551165606615,2211.9914454193367,-2.6420667512889295
2022-05-08,1975.5556677105087,1754.7721355279466,2192.0655685890883,-1.3412535635428546
2022-05-15,1959.233009521996,1741.6855869207072,2172.3496227388746,-0.8262312449757059
2022-05-22,1921.4219202378151,1695.5200588265052,2140.5560338442997,-1.9298924171048948
2022-05-29,1871.37496937226,1654.5139120274387,2078.9774292930388,-2.604683039077682
2022-06-05,1856.1073624676874,1630.9497361325616,2065.1962339578527,-0.8158496909731583
2022-06-12,1905.6736590228531,1689.6491108071089,2109.0810336968257,2.6704433998509414
2022-06-19,1997.2143067015345,1783.6737304797255,2216.4883602260584,4.803584666517313
2022-06-26,2081.843596344748,1875.7292375870654,2292.115551614696,4.23736648386932
2022-07-03,2128.2171035096126,1895.5880607963568,2347.8136975197854,2.2275211858511224
2022-07-10,2147.4907303016303,1924.2575393523994,2363.5954582266236,0.9056231509573909
2022-07-17,2162.5485044052525,1953.976496559952,2372.551438892433,0.7011799348492387
2022-07-24,2176.6937880374476,1952.4638045485472,2407.568920436631,0.6541024908056414
2022-07-31,2178.208794007924,1952.7535154290852,2420.2621131263872,0.06960124473192053
2022-08-07,2167.538346725784,1955.5432390447188,2376.13407104538,-0.48987256462712514
2022-08-14,2165.597559632726,1947.9859936153523,2380.4871071285816,-0.08953876622249668
2022-08-21,2190.914798365812,1972.1189825424567,2400.9444772017205,1.1690647978648272
2022-08-28,2236.614175851664,2013.78588407542,2444.824949375525,2.085858268881058
2022-09-04,2277.509905861492,2066.8548880025915,2500.2025277146568,1.828466011320673
2022-09-11,2296.803872553074,2079.1375065438215,2504.549272960684,0.8471518232226583
2022-09-18,2297.6502464901528,2067.4439314991605,2501.611894562936,0.036850074453154136
2022-09-25,2288.238700487891,2067.6675899049064,2492.6248515684865,-0.4096161292015066
2022-10-02,2265.5571496793614,2054.469785677055,2489.195610548576,-0.9912231098833213
2022-10-09,2222.2251032341187,2007.5738649672535,2424.75068028937,-1.9126441569295771
2022-10-16,2165.630493952041,1943.2527556361927,2380.9689651028225,-2.546754115940486
2022-10-23,2119.660858767354,1915.6800744948384,2331.6192328326583,-2.122690611951872
2022-10-30,2103.6453507470005,1899.438572486443,2317.364093515757,-0.7555693616792536
2022-11-06,2116.1399702332697,1892.9760881663037,2342.6170019378123,0.5939508521164205
2022-11-13,2145.0080434573742,1923.0317128987324,2367.03320339201,1.364185433391829
2022-11-20,2187.17144363234,1977.704078971311,2403.9913625721306,1.9656523108885882
2022-11-27,2246.247867995055,2045.4454633604512,2454.983632675632,2.7010422312667037
2022-12-04,2309.46783591347,2089.992251325425,2538.833528203484,2.8144698018052416
2022-12-11,2342.1752174667854,2126.4296796413682,2551.4251902533156,1.4162302260589232
2022-12-18,2321.613750366602,2106.162805184442,2536.205269957512,-0.8778791162525446
2022-12-25,2274.870181249873,2053.7224935310182,2489.2568330915897,-2.013408522815119
2023-01-01,2265.179875553585,2043.5076942676355,2460.222712445946,-0.42597181044254917
2023-01-08,2326.3119834313115,2101.120413143853,2542.8885440524073,2.6987749863699673
2023-01-15,2415.898304759758,2222.1647623441436,2632.3308840226227,3.8510020137671575
2023-01-22,2451.481779767482,2231.2740401838428,2646.9743940091976,1.472887949696311
2023-01-29,2399.6434086196305,2182.705367517101,2615.5586609992984,-2.114572972790696
2023-02-05,2317.077186656508,2096.012618150592,2542.2546685795846,-3.4407704772526193
2023-02-12,2288.888509542235,2084.8163542481943,2492.690398196138,-1.2165618511374765
2023-02-19,2327.0128861166963,2113.086941603801,2537.9475366772153,1.6656283788189397
2023-02-26,2346.1493854989817,2126.155033678053,2575.13094217081,0.8223632751007237
2023-03-05,2259.8220707499954,2046.832382987358,2481.411308688037,-3.6795318866972404
2023-03-12,2087.6628051015155,1871.1132769768494,2308.1067189875257,-7.618266405874308
2023-03-19,1952.55042329292,1742.506342028899,2178.7758930150226,-6.471944677963714
2023-03-26,1965.167385400097,1737.031939179826,2179.454994841778,0.6461785548103283
2023-04-02,2114.174671942853,1903.8685487664995,2316.4194064768963,7.582422120872878
2023-04-09,2279.5248637309905,2060.7213182811784,2500.7852925327065,7.8210279397674665
2023-04-16,2350.0681695321387,2148.412977524079,2566.00182564864,3.094649544014483
2023-04-23,2317.0486521993976,2114.307391053383,2532.331862832952,-1.405045085960832
2023-04-30,2252.7383899799765,2034.2176394731434,2466.3747402340205,-2.7755248970873447
2023-05-07,2215.853027772966,1997.6666713797326,2438.557616553508,-1.6373566664941719
2023-05-14,2197.641486889068,1995.6865956218314,2407.045747559458,-0.8218749463813291
2023-05-21,2159.632145929753,1955.5569383132397,2379.636501607461,-1.7295514844470894
2023-05-28,2101.821390202873,1903.1582262683276,2340.7963653970287,-2.676879756389794
2023-06-04,2072.972671971913,1860.4024378831728,2295.6167289579184,-1.3725580282621164
2023-06-11,2114.626462268938,1891.7289193004044,2335.6996637875372,2.009374791101437
2023-06-18,2211.6151322061946,2005.649018447664,2413.8539077481996,4.5865627649996465
2023-06-25,2307.827256856708,2084.084517358295,2537.0229155632246,4.3503104699115225
2023-07-02,2363.375108612548,2154.168405693998,2584.8436548279587,2.406932823537966
2023-07-09,2384.134415264321,2186.0403776584476,2588.2847690329772,0.8783754460357285
2023-07-16,2396.6215528831,2178.296771873651,2610.6220706890695,0.5237597988951626
2023-07-23,2409.3528722564106,2186.589208089441,2624.320737404733,0.5312194308690454
2023-07-30,2410.2460573477383,2206.034373752027,2628.341929975841,0.03707157642256487
2023-08-06,2395.6770219505174,2177.2171022893413,2612.2706120475177,-0.6044625756281841
2023-08-13,2385.8700042300716,2166.0075084925297,2591.2048828571865,-0.4093630998915354
2023-08-20,2404.124796109984,2181.089489471916,2611.864768364857,0.765120976731648
2023-08-27,2448.2566661043134,2242.0025424059263,2678.0544869722394,1.8356730093935791
2023-09-03,2492.0778773889156,2282.229158620979,2713.3540765426164,1.7898944947766005
