ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-01-01,3684.6524222525145,3216.0811809269458,4095.929894124479,
2022-01-02,3687.18980298985,3220.414494312405,4140.703452649923,0.0688635031627749
2022-01-03,3656.4931009230054,3214.3965281785404,4094.099055419837,-0.8325229702564552
2022-01-04,3654.480775373889,3198.479962488405,4121.760332928982,-0.05503430455285896
2022-01-05,3733.6679388575317,3294.2631787687787,4160.693602875722,2.16685128068681
2022-01-06,3723.3552873148933,3288.774939885204,4179.671969165488,-0.2762069822897506
2022-01-07,3674.8675189069722,3231.43105952078,4127.783864758112,-1.3022600495073422
2022-01-08,3694.4468661194855,3262.6489729806503,4168.60435418994,0.5327905594359139
2022-01-09,3704.30031470728,3226.406575242012,4130.595467894246,0.2667097117611039
2022-01-10,3680.2525445387305,3231.27797285769,4098.922964360515,-0.6491852205684268
2022-01-11,3684.089621661527,3229.0353758073775,4105.823209231392,0.10426124501945466
2022-01-12,3768.220272186219,3339.0353375670243,4216.785555750181,2.283621170072103
2022-01-13,3761.781451731173,3320.7515482893364,4193.501858706394,-0.17087165796999537
2022-01-14,3716.055840021331,3196.109442150747,4147.301526334711,-1.2155307876484778
2022-01-15,3737.2987530597193,3266.905442859202,4169.727381904545,0.5716521482160175
2022-01-16,3747.6891313511974,3288.4119093710374,4162.417402501931,0.2780184025419796
2022-01-17,3723.0758284844924,3307.6618517256197,4153.078768202788,-0.6567594590704773
2022-01-18,3725.3317933638814,3265.2076590272095,4154.17761748995,0.060594115814915916
2022-01-19,3806.9741156186114,3359.238761390496,4236.675992614564,2.1915449893661343
2022-01-20,3797.1804264327466,3359.24420394363,4253.041664061326,-0.257256521542526
2022-01-21,3747.380144858902,3323.026931618706,4185.962391877891,-1.3115068545907715
2022-01-22,3764.010066216472,3286.9922682634824,4206.662430311005,0.4437746029151812
2022-01-23,3769.3651515713213,3323.772575217203,4240.278940064251,0.14227075009478618
2022-01-24,3739.4350236673063,3303.362651014702,4201.291662033788,-0.794036308515722
2022-01-25,3736.266392533422,3268.0419628961868,4193.541483838197,-0.08473555801423727
2022-01-26,3812.540558028125,3384.3498248365695,4251.356535571909,2.0414541545305642
2022-01-27,3797.5002711810894,3352.3972878776326,4232.879701300085,-0.39449513042857376
2022-01-28,3742.7152886184426,3300.382180264756,4200.552619513563,-1.4426590823022556
2022-01-29,3754.768078282546,3331.066706488266,4239.749609524218,0.3220333029540168
2022-01-30,3756.0066689090536,3293.192415701824,4202.548391155599,0.032987140635176715
2022-01-31,3722.4743406184043,3253.2427320829365,4180.109002631158,-0.892765408757612
2022-02-01,3716.283901759719,3250.835484788663,4171.123857498672,-0.16629903371361276
2022-02-02,3790.156753578967,3334.424194031616,4209.758845433324,1.9878150801198924
2022-02-03,3773.264679312429,3332.971004676779,4236.718925452823,-0.4456827346411729
2022-02-04,3717.1743940407537,3259.8605131140052,4167.09051996897,-1.4865187056503082
2022-02-05,3728.4681299804943,3301.085925372879,4195.956344386989,0.3038258295829932
2022-02-06,3729.4032393306156,3267.249239730089,4164.843975850419,0.02508025595289176
2022-02-07,3695.939565720767,3266.8390475118576,4149.937343344301,-0.8972929839535126
2022-02-08,3690.1297224649365,3229.3569032467094,4119.525165143777,-0.1571952991254455
2022-02-09,3764.623417692656,3318.2252638082505,4203.330316681739,2.018728359987265
2022-02-10,3748.427318036874,3272.31091793243,4181.312958816426,-0.43021832089936707
2022-02-11,3693.031108343625,3225.16244132054,4141.864894412652,-1.4778520428204822
2022-02-12,3704.964778217802,3263.934029747281,4163.567140164785,0.3231402477822609
2022-02-13,3706.3660697255923,3283.0994671619746,4177.45477642198,0.03782199269555253
2022-02-14,3673.105874169705,3200.4976516403667,4099.059217527137,-0.897380208273646
2022-02-15,3667.194117816079,3222.721007043849,4135.981539627402,-0.160947071937112
2022-02-16,3741.2482436865835,3286.3380157469496,4225.71920256432,2.0193674916397786
2022-02-17,3724.169386179817,3246.3156631254224,4187.971819263198,-0.45650158434653587
2022-02-18,3667.4475854843663,3270.781477152373,4130.315582205689,-1.5230725247337595
2022-02-19,3677.6529140089337,3221.3243686356923,4143.903483271453,0.27826787668241426
2022-02-20,3676.907498113849,3241.852727278202,4157.809030212827,-0.020268794051914174
2022-02-21,3641.105370848385,3208.1801063476832,4077.1583781962145,-0.9737021473569696
2022-02-22,3632.330209686045,3173.2645354545207,4063.235454405808,-0.24100267002972187
2022-02-23,3703.2841529023035,3287.536651194923,4132.819459675368,1.9534001349065466
2022-02-24,3682.8765137673004,3242.662168081155,4139.61736657344,-0.5510686809979015
2022-02-25,3622.7045426033123,3155.7226924539596,4051.474452018556,-1.6338308096688459
2022-02-26,3629.47505660527,3155.2153726627166,4068.228184464364,0.1868911450640276
2022-02-27,3625.378066136358,3196.750918317513,4048.837591458025,-0.11288107522480217
2022-02-28,3586.3985624711654,3122.78357422029,4028.0160027812194,-1.0751845174242436
2022-03-01,3574.7441040544727,3136.6623934688755,4017.034320265768,-0.32496272273381255
2022-03-02,3643.232531313616,3219.6949514122416,4074.3363984765024,1.9158973416157021
2022-03-03,3620.7923841804627,3139.0570733047493,4074.2621900795084,-0.6159405676217533
2022-03-04,3559.11898913655,3124.263151946923,3997.3724707682827,-1.703312106857291
2022-03-05,3565.0269782948144,3111.9397357596076,4003.341354205712,0.16599583144865093
2022-03-06,3560.726491381767,3096.434744927244,4009.6229281690494,-0.12062985607766974
2022-03-07,3522.228414507114,3103.417078423185,3968.629617040491,-1.0811860154895991
2022-03-08,3511.7838199843595,3077.005772751691,3970.8715817408715,-0.2965337080280128
2022-03-09,3582.2330042964672,3138.1160364031502,4052.721767704403,2.0060797567095445
2022-03-10,3562.4203729186743,3119.438681260053,4013.462315769313,-0.5530804767314157
2022-03-11,3504.0288667652826,3056.263479388738,3962.5374523577916,-1.6390964580508482
2022-03-12,3513.8665410695667,3072.228409729498,3952.695771906286,0.28075323230329907
2022-03-13,3514.048572877326,3049.713917271093,3913.8939007790173,0.00518038478787286
2022-03-14,3480.499143602928,3012.9029395957477,3936.9298739071096,-0.9547229805912272
2022-03-15,3475.4057951613186,3045.0956187719403,3944.839399393187,-0.1463395976111892
2022-03-16,3551.532637038107,3096.455394604951,3969.8213641978205,2.190444695200111
2022-03-17,3537.5522494260954,3113.8638457338106,3961.200802237985,-0.3936437882117061
2022-03-18,3485.060637851592,3045.216650564225,3912.348616471588,-1.4838398947469633
2022-03-19,3500.799643702191,3038.119446573776,3969.3766599831456,0.4516135438120017
2022-03-20,3506.74607145614,3066.2361794347134,3959.6775624017964,0.169859128175065
2022-03-21,3478.711045779719,3061.352290463179,3891.987586433493,-0.7994598155999233
2022-03-22,3478.8096206994637,3070.358828286796,3919.772358882056,0.0028336621940683315
2022-03-23,3559.738003107052,3129.1546901744596,4025.657015410892,2.3263239795029866
2022-03-24,3550.021851420338,3094.827404292092,4018.737055223863,-0.2729456965156807
2022-03-25,3501.2106983849444,3031.190879256205,3937.2117727515333,-1.3749535940423718
2022-03-26,3520.034727183826,3027.689000430068,3993.0353432089764,0.5376434159636512
2022-03-27,3528.399271771157,3089.133310000519,3959.0260264293574,0.23762676324570187
2022-03-28,3502.079546121166,3044.7925214636202,3962.6691404363455,-0.7459395499982424
2022-03-29,3503.20325576971,3042.717580446178,3949.445772863624,0.032086925318086656
2022-03-30,3584.4894464584354,3119.4185774345015,4016.259421154091,2.3203389798992946
2022-03-31,3574.4107590997933,3115.948982037688,4001.279723047983,-0.28117497649770007
2022-04-01,3524.564889276489,3080.33290935962,3964.0886498787936,-1.3945199134264619
2022-04-02,3541.7634259769993,3093.1268734774976,3974.027743034131,0.4879619822814707
2022-04-03,3547.929473463697,3084.9955500569854,3986.2716953737813,0.17409540799571133
2022-04-04,3518.885868435014,3066.5960003690902,3949.7722097519454,-0.8186071692211194
2022-04-05,3516.849067275139,3076.3293356034424,3953.25400065203,-0.05788198981232506
2022-04-06,3594.628223067199,3128.8948658074996,4028.3158234406883,2.2116148377195888
2022-04-07,3580.7003245112196,3106.8938131818095,4032.181482835774,-0.3874642297248543
2022-04-08,3526.757955414713,3089.371176314893,3988.044398434735,-1.5064753877126025
2022-04-09,3539.7297969427855,3091.1882266485036,3972.5854494061255,0.36781207250575765
2022-04-10,3541.5813576382925,3090.530391555547,3933.935730807107,0.05230796704047691
2022-04-11,3508.196896365221,3064.8252794282002,3994.216283807808,-0.942642788681658
2022-04-12,3501.8851445106297,3069.552727347094,3977.324819255728,-0.17991441304594513
2022-04-13,3575.5394035452096,3103.126631844006,4003.710518946729,2.103274550567047
2022-04-14,3557.626562430559,3071.2007170545503,4013.669432598449,-0.5009829033596924
2022-04-15,3499.9123044079065,3024.338184974091,3924.9527570810565,-1.6222685829965888
2022-04-16,3509.4145203634816,3057.115755864198,3955.1438489167645,0.27149868708447045
2022-04-17,3508.10844153218,3055.3421015647546,3954.9049705703965,-0.03721643093805849
2022-04-18,3471.9035574717022,2995.2647916228193,3923.332257224102,-1.0320343473950722
2022-04-19,3463.1624080503457,3012.924710543957,3892.8490039741487,-0.25176820947532264
2022-04-20,3534.822837700308,3119.334552527044,3973.592797886441,2.0692194360675265
2022-04-21,3515.3018909232756,3074.7785952344625,3951.4083077538708,-0.5522468217878829
2022-04-22,3456.3992993258717,3021.8245589620847,3927.195244494456,-1.6756054934995435
2022-04-23,3465.184450979517,3008.548029491122,3922.6567136971994,0.25417062361281495
2022-04-24,3463.606370547705,2987.130575923944,3907.8599437031285,-0.045541022538231335
2022-04-25,3427.565874461162,2976.5224486868187,3880.0646297565036,-1.040548267638275
2022-04-26,3419.4474793803674,2977.323174056795,3868.9540318478907,-0.23685598988146817
2022-04-27,3492.2036805073963,3038.1121260676878,3950.4142164097057,2.127718047016547
2022-04-28,3474.1734376322324,3033.5719750308094,3897.0157735955777,-0.5162998646328743
2022-04-29,3417.163531471956,2981.1437210887675,3867.2518324660723,-1.6409631581067674
2022-04-30,3428.26859192084,2951.2283370913283,3893.6760276763434,0.3249788997982339
2022-05-01,3429.385383671594,2955.4369301122047,3864.868574935764,0.03257597007964019
2022-05-02,3396.3796554372534,2968.6595077321053,3829.434053987571,-0.9624385871442542
2022-05-03,3391.6306645184136,2958.9179804422893,3829.8950843249568,-0.1398250902615472
2022-05-04,3468.07706406993,3041.500669006688,3906.424901316782,2.253971823974288
2022-05-05,3453.949688928805,3053.906312845236,3897.7792730646775,-0.4073547063728311
2022-05-06,3401.030648747035,2949.5586803886436,3881.0043104454294,-1.532131181626506
2022-05-07,3416.4064680398947,2941.127174238271,3897.372419062354,0.45209293537311623
2022-05-08,3421.8869346618226,2983.657744254157,3871.1437578295045,0.1604161177306329
2022-05-09,3393.2671148031627,2986.5727330028813,3874.926526487696,-0.8363753801669205
2022-05-10,3392.8851797770662,2949.056340158659,3854.0672172888035,-0.011255672282040052
2022-05-11,3473.630792538964,3064.9334038669535,3910.6778022296066,2.379851025999158
2022-05-12,3463.593267394111,3046.809699171915,3914.078729844281,-0.2889635008537117
2022-05-13,3414.4996276641236,2949.1463163843937,3833.817965760774,-1.4174193082123643
2022-05-14,3433.40219980462,3029.8615622175826,3891.323848218004,0.5535971357955027
2022-05-15,3442.003434679949,2991.9766905963456,3873.584125927732,0.25051637922928194
2022-05-16,3416.0145127734277,2965.318630485279,3871.950353521612,-0.7550521781782504
2022-05-17,3417.727854497234,2992.359605475196,3863.8854893353164,0.05015616056078809
2022-05-18,3499.9892840138596,3044.667415028283,3947.0682144390908,2.4069040315302326
2022-05-19,3490.7626771914456,3050.960636228812,3947.315351575113,-0.26361814490565294
2022-05-20,3441.7478760115832,2976.34286728732,3852.4584965115805,-1.4041287166304373
2022-05-21,3460.003352556712,3027.9677121331497,3889.7772883002704,0.530412953033732
2022-05-22,3467.177294615835,3028.0462029597898,3918.7300741875774,0.207339164969933
2022-05-23,3438.9627290083786,3020.656238690477,3891.2697381881744,-0.8137618359254528
2022-05-24,3437.6842505961044,2981.7883404182326,3886.984656511043,-0.037176279972150894
2022-05-25,3516.2330886159075,3085.0583171993135,4000.9857632727653,2.2849346331380582
2022-05-26,3502.5469538857624,3046.971926843614,3975.1022610325513,-0.38922717536715723
2022-05-27,3448.4061163259726,3022.010174581159,3910.3121089255687,-1.5457562246160683
2022-05-28,3460.9890642697646,3012.1177006853263,3905.08312214465,0.36489170704749885
2022-05-29,3462.0074366714525,2994.1586966332643,3882.427601263799,0.02942431723351735
2022-05-30,3427.254954807585,2971.37104822991,3867.125503213421,-1.0038245873116969
2022-05-31,3419.20543177126,2973.117831119027,3890.425737230156,-0.2348679378239238
2022-06-01,3490.9076489954873,3007.425924079771,3924.9619369927977,2.097043265022047
2022-06-02,3470.3772395988804,2987.0595446394836,3943.755831227626,-0.5881109287584452
2022-06-03,3409.567785067581,2943.7090571424355,3850.00157720595,-1.7522433537608073
2022-06-04,3415.8564390994425,2953.9736140528303,3861.4490809813046,0.18444138460607107
2022-06-05,3411.0798840649923,2956.2955851423667,3820.481097041693,-0.1398347711506709
2022-06-06,3371.1745507352384,2956.214658826074,3824.9871107355602,-1.169873901698204
2022-06-07,3358.783778809393,2921.577815609945,3797.6368374252816,-0.36755058924916595
2022-06-08,3427.110846332043,3003.5361058651047,3863.08647121773,2.0342800258154714
2022-06-09,3404.2217748470357,2962.7274585114874,3896.9934664834473,-0.6678824383373749
2022-06-10,3342.1909316581596,2888.8763542454885,3814.038558245498,-1.8221739737171894
2022-06-11,3348.516747879132,2878.352095154015,3800.1111767587013,0.18927153924848117
2022-06-12,3345.059497417105,2915.1568914906898,3817.8676299895337,-0.10324722025705224
2022-06-13,3307.774278411402,2862.5714029357277,3747.955585565743,-1.114635450714485
2022-06-14,3299.3294612750174,2868.002847583548,3766.8767530435557,-0.25530209819638605
2022-06-15,3372.9206379534976,2931.461242117265,3802.4374573379337,2.2304888778837295
2022-06-16,3356.4876945212022,2896.2082385382882,3787.085297717507,-0.48720219644022844
2022-06-17,3302.0387735809795,2856.566182794791,3731.36856580716,-1.622199331435048
2022-06-18,3317.000359700913,2890.071508976983,3794.4888334319185,0.45310146687671526
2022-06-19,3323.0614758999477,2851.138929727121,3757.7256609974584,0.18272883755674485
2022-06-20,3296.004222804666,2848.2049003137604,3722.064270782244,-0.8142266789678998
2022-06-21,3298.338389522072,2846.884706872514,3731.92482680274,0.07081807423838793
2022-06-22,3383.08114571984,2902.926962934986,3814.002525084898,2.56925597649329
2022-06-23,3377.8930186591065,2922.4126084141312,3810.40227959817,-0.15335508778137052
2022-06-24,3334.5845341906047,2872.841982966762,3760.1785898997905,-1.2821153372611471
2022-06-25,3360.4045467229703,2906.2173712623976,3785.112649505892,0.7743097308712477
2022-06-26,3376.794159380274,2919.624162221809,3827.94281112579,0.48772736822078055
2022-06-27,3359.317462441666,2917.22768211847,3812.667694532187,-0.5175529248669153
2022-06-28,3370.314187184106,2894.827898030011,3829.22262613264,0.3273499710993999
2022-06-29,3462.6461896686237,3045.181029433704,3904.734377947835,2.7395666206912583
2022-06-30,3463.7525001129684,3037.8651668321663,3906.947725963123,0.0319498552189712
2022-07-01,3425.337903435337,2965.1613982675303,3868.0287785063524,-1.1090456571703267
2022-07-02,3454.5978626332962,3046.8447260601115,3919.871305804963,0.8542211023506274
2022-07-03,3472.879628965883,3020.4115598998633,3918.100754143174,0.5292009970344624
2022-07-04,3455.7098061403653,2970.382857807317,3905.131236703261,-0.4943972915822159
2022-07-05,3465.460909656838,3006.962080149061,3900.0586355139053,0.2821736796054575
2022-07-06,3555.0598362412675,3097.18841484283,4006.9443964283682,2.5854836894784627
2022-07-07,3551.9566274877125,3093.726251526729,3987.8449473086844,-0.08728991624613602
