ds,yhat,yhat_lower,yhat_upper,growth_percent
2022-01-01,1897.4218216294628,1746.5805458647114,2042.590523308748,
2022-01-02,1904.9990773481804,1755.1496137335967,2051.3647315415196,0.3993448179177461
2022-01-03,1896.7250097112383,1755.1144951360393,2039.9006832274185,-0.43433446951900434
2022-01-04,1904.767853672515,1771.2957609488042,2041.283845812813,0.4240384831800892
2022-01-05,1901.521821113787,1757.2928063292352,2038.5928337917815,-0.17041617709315782
2022-01-06,1910.725765373829,1767.9796134959845,2046.2776184072768,0.48403043067111184
2022-01-07,1911.7673581383071,1761.335117490179,2055.133092342606,0.05451293866203244
2022-01-08,1922.8089525350929,1775.4334533954914,2058.0152408230174,0.5775595210255169
2022-01-09,1931.1938557273993,1778.1706912229417,2068.186039259624,0.43607573083386253
2022-01-10,1923.613646036467,1788.981630118225,2061.518582350629,-0.3925141781313979
2022-01-11,1932.7789794326723,1790.3036677040589,2072.7943352715383,0.4764643573354821
2022-01-12,1930.5398878430874,1785.6772724857033,2079.924188169992,-0.11584829995626711
2022-01-13,1941.015476173873,1799.2286041617756,2093.1911884171527,0.5426248064985373
2022-01-14,1943.1728378385278,1805.0154167661915,2086.4659011844733,0.11114603109232402
2022-01-15,1955.4499271765756,1804.935394338828,2103.3955845121864,0.6318063477927183
2022-01-16,1964.9136560637116,1821.0273396422033,2106.945783795884,0.48396682296030225
2022-01-17,1957.971864669302,1816.617335122012,2102.732168766334,-0.35328735046383786
2022-01-18,1967.8731717107719,1829.261020004893,2102.158559571044,0.5056919979359531
2022-01-19,1965.9272803824288,1823.555888733597,2108.597310685352,-0.09888296442658318
2022-01-20,1976.6456300727305,1835.2765355698382,2122.6997778823675,0.5452058068097454
2022-01-21,1978.5947668475726,1835.9644405325098,2123.9244249978974,0.09860830617223204
2022-01-22,1990.5157434250532,1860.4177548257626,2131.33120889843,0.6024971245867539
2022-01-23,1999.233372822479,1862.2187473463068,2144.4695372273036,0.4379583244302987
2022-01-24,1990.912018148357,1848.6799384215826,2125.3586597722065,-0.4162272792782584
2022-01-25,1999.3835062262551,1854.6511713805653,2135.58195473415,0.42550790796758164
2022-01-26,1995.4663404337423,1865.0561381520722,2129.755337756211,-0.19591868094912535
2022-01-27,2004.1161145256785,1850.5859408585031,2141.1784903830485,0.4334713102730703
2022-01-28,2003.552084247566,1865.1347515537227,2145.329195449104,-0.028143592780105475
2022-01-29,2012.871811836449,1858.0968844772294,2159.907706681785,0.4651602352720108
